Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
John Egan\John-Egan,ie IRL,DF,Sheffield Utd,eng Premier League,27,1992,29.2,13,0.45,12,0,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
Johannes Eggestein\Johannes-Eggestein,de GER,FWMF,Werder Bremen,de Bundesliga,22,1998,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,de Bundesliga,23,1996,32.7,58,1.77,49,1,0,2,4,2,9,0.28,9,0,0,0,0,0,Matches
Lilian Egloff\Lilian-Egloff,de GER,MF,Stuttgart,de Bundesliga,17,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,de Bundesliga,25,1995,12.6,16,1.27,11,1,2,1,1,0,3,0.24,1,0,1,1,0,0,Matches
Albin Ekdal\Albin-Ekdal,se SWE,MF,Sampdoria,it Serie A,31,1989,25.5,28,1.10,19,0,2,1,2,4,1,0.04,1,0,0,0,0,0,Matches
Hugo Ekitike\Hugo-Ekitike,fr FRA,MFFW,Reims,fr Ligue 1,18,2002,1.0,2,2.05,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Elanga\Anthony-Elanga,se SWE,FW,Manchester Utd,eng Premier League,18,2002,1.7,2,1.16,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niclas Eliasson\Niclas-Eliasson,se SWE,MFFW,Nîmes,fr Ligue 1,24,1995,20.0,52,2.60,25,21,2,1,3,0,4,0.20,3,1,0,0,0,0,Matches
Elif Elmas\Elif-Elmas,mk MKD,MFFW,Napoli,it Serie A,20,1999,8.2,21,2.55,16,0,3,1,1,0,5,0.61,1,0,3,1,0,0,Matches
Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,eng Premier League,32,1987,9.3,21,2.25,18,1,0,1,0,1,1,0.11,0,1,0,0,0,0,Matches
Mohamed Elneny\Mohamed-Elneny,eg EGY,MF,Arsenal,eng Premier League,28,1992,17.2,16,0.93,13,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,es La Liga,26,1994,20.9,15,0.72,14,0,0,1,0,0,2,0.10,1,0,0,1,0,0,Matches
Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,23,1996,28.2,13,0.46,9,0,0,3,0,1,4,0.14,2,0,0,2,0,0,Matches
Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,es La Liga,26,1993,5.2,3,0.58,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sepe Elye Wahi\Sepe-Elye-Wahi,fr FRA,FW,Montpellier,fr Ligue 1,17,2003,6.2,15,2.43,8,0,1,1,5,0,3,0.49,1,0,0,1,1,0,Matches
Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'Gladbach,de Bundesliga,23,1997,16.0,47,2.94,31,0,3,9,4,0,10,0.62,4,0,0,3,3,0,Matches
Emerson\Emerson,br BRA,DF,Betis,es La Liga,21,1999,33.2,64,1.93,53,6,1,0,3,1,5,0.15,4,0,0,0,1,0,Matches
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,it ITA,MF,Atalanta,it Serie A,18,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Renaud Emond\Renaud-Emond,be BEL,FW,Nantes,fr Ligue 1,28,1991,3.9,9,2.29,2,0,0,2,4,1,1,0.25,0,0,0,0,1,0,Matches
Alan Empereur\Alan-Empereur,br BRA,DF,Hellas Verona,it Serie A,26,1994,2.4,1,0.41,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,es La Liga,23,1997,25.7,37,1.44,22,0,4,5,3,3,8,0.31,2,0,2,1,2,1,Matches
Keita Endo\Keita-Endo,jp JPN,MFFW,Union Berlin,de Bundesliga,22,1997,5.1,14,2.76,8,0,1,0,3,2,0,0.00,0,0,0,0,0,0,Matches
Wataru Endo\Wataru-Endo,jp JPN,MF,Stuttgart,de Bundesliga,27,1993,32.8,67,2.04,55,0,1,2,5,4,6,0.18,5,0,0,0,1,0,Matches
Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,es La Liga,30,1990,15.6,32,2.05,21,0,0,8,1,2,3,0.19,1,0,0,2,0,0,Matches
Christian Eriksen\Christian-Eriksen,dk DEN,MF,Inter,it Serie A,28,1992,15.4,51,3.31,30,18,0,3,0,0,2,0.13,2,0,0,0,0,0,Matches
Martin Erlic\Martin-Erlic,hr CRO,DF,Spezia,it Serie A,22,1998,20.0,4,0.20,4,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Patrick Erras\Patrick-Erras,de GER,FWMF,Werder Bremen,de Bundesliga,25,1995,0.3,2,6.92,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gonzalo Escalante\Gonzalo-Escalante,ar ARG,MF,Lazio,it Serie A,27,1993,8.1,12,1.47,9,0,0,1,1,1,3,0.37,2,0,0,1,0,0,Matches
Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,es La Liga,24,1995,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,es La Liga,22,1998,9.5,23,2.42,17,0,2,0,3,1,3,0.32,2,0,1,0,0,0,Matches
Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,es La Liga,30,1989,6.3,11,1.75,10,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,es La Liga,28,1992,28.9,22,0.76,16,4,1,0,0,1,5,0.17,4,0,1,0,0,0,Matches
Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,es La Liga,21,1999,2.6,3,1.17,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Nahuel Estévez\Nahuel-Estevez,ar ARG,MF,Spezia,it Serie A,24,1995,19.6,47,2.39,33,8,0,6,0,0,9,0.46,4,2,0,3,0,0,Matches
Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,es La Liga,22,1998,13.0,28,2.16,24,0,1,1,2,0,3,0.23,2,0,0,0,1,0,Matches
Yoann Etienne\Yoann-Etienne,fr FRA,DF,Lorient,fr Ligue 1,23,1997,1.0,1,1.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,es La Liga,32,1987,9.8,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,eng Premier League,32,1988,27.5,14,0.51,14,0,0,0,0,0,4,0.15,4,0,0,0,0,0,Matches
Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,es La Liga,23,1996,27.3,84,3.08,48,17,7,3,6,3,5,0.18,4,0,0,1,0,0,Matches
Valentin Eysseric\Valentin-Eysseric,fr FRA,MFFW,Fiorentina,it Serie A,28,1992,8.1,16,1.98,11,2,1,2,0,0,2,0.25,1,0,0,1,0,0,Matches
Eberechi Eze\Eberechi-Eze,eng ENG,MF,Crystal Palace,eng Premier League,22,1998,28.4,83,2.92,48,13,10,2,8,2,12,0.42,4,2,4,1,1,0,Matches
Jokin Ezkieta\Jokin-Ezkieta,es ESP,GK,Athletic Club,es La Liga,23,1996,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,eng Premier League,35,1985,35.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabinho\Fabinho,br BRA,DFMF,Liverpool,eng Premier League,26,1993,28.5,23,0.81,20,0,0,0,2,1,4,0.14,3,0,0,0,1,0,Matches
Fábio\Fabio,br BRA,DF,Nantes,fr Ligue 1,30,1990,16.7,28,1.67,22,3,0,0,3,0,3,0.18,2,0,0,0,1,0,Matches
Cesc Fàbregas\Cesc-Fabregas,es ESP,MF,Monaco,fr Ligue 1,33,1987,9.7,47,4.82,28,16,2,0,1,0,5,0.51,5,0,0,0,0,0,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,FWMF,Paris S-G,fr Ligue 1,19,2001,0.7,2,2.86,0,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Bandiougou Fadiga\Bandiougou-Fadiga,fr FRA,MF,Brest,fr Ligue 1,19,2001,0.5,2,4.19,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Wout Faes\Wout-Faes,be BEL,DF,Reims,fr Ligue 1,22,1998,32.2,11,0.34,8,1,0,1,0,1,1,0.03,0,0,0,1,0,0,Matches
Nicolò Fagioli\Nicolo-Fagioli,it ITA,MF,Juventus,it Serie A,19,2001,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,de Bundesliga,31,1988,20.8,7,0.34,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Romain Faivre\Romain-Faivre,fr FRA,MFFW,Brest,fr Ligue 1,22,1998,32.1,150,4.67,74,37,12,8,17,2,14,0.44,5,4,1,2,2,0,Matches
Fali\Fali,es ESP,DFMF,Cádiz,es La Liga,26,1993,29.3,20,0.68,15,0,2,2,1,0,3,0.10,1,0,1,1,0,0,Matches
Iago Falque\Iago-Falque,es ESP,MFFW,Benevento,it Serie A,30,1990,4.0,29,7.29,20,2,4,2,0,1,1,0.25,1,0,0,0,0,0,Matches
Andri Fannar Baldursson\Andri-Fannar-Baldursson,is ISL,MF,Bologna,it Serie A,18,2002,2.4,4,1.66,4,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
Paolo Faragò\Paolo-Farago,it ITA,DF,Bologna,it Serie A,27,1993,0.3,2,7.83,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Paolo Faragò\Paolo-Farago,it ITA,DFMF,Cagliari,it Serie A,27,1993,4.1,8,1.95,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Davide Faraoni\Davide-Faraoni,it ITA,DF,Hellas Verona,it Serie A,28,1991,32.1,42,1.31,33,1,4,1,3,0,9,0.28,7,1,1,0,0,0,Matches
Mohamed Fares\Mohamed-Fares,dz ALG,DF,Lazio,it Serie A,24,1996,12.7,28,2.21,24,1,1,1,0,1,3,0.24,2,0,0,1,0,0,Matches
Diego Farias\Diego-Farias,br BRA,FW,Spezia,it Serie A,30,1990,16.8,52,3.09,41,0,3,4,2,2,3,0.18,1,0,0,2,0,0,Matches
Wuilker Faríñez\Wuilker-Farinez,ve VEN,GK,Lens,fr Ligue 1,22,1998,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Noah Fatar\Noah-Fatar,fr FRA,FWMF,Angers,fr Ligue 1,18,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,es La Liga,17,2002,4.8,19,3.97,12,1,1,0,5,0,2,0.42,0,0,1,0,1,0,Matches
Julien Faussurier\Julien-Faussurier,fr FRA,DF,Brest,fr Ligue 1,33,1987,10.6,31,2.92,24,3,0,2,0,2,5,0.47,5,0,0,0,0,0,Matches
Andrea Favilli\Andrea-Favilli,it ITA,FW,Hellas Verona,it Serie A,23,1997,3.8,10,2.65,7,0,1,0,1,1,1,0.27,1,0,0,0,0,0,Matches
Federico Fazio\Federico-Fazio,ar ARG,DF,Roma,it Serie A,33,1987,4.5,3,0.67,1,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,es La Liga,27,1993,29.1,138,4.74,78,18,18,7,16,1,17,0.58,9,3,3,0,2,0,Matches
Felipe\Felipe,br BRA,DF,Atlético Madrid,es La Liga,31,1989,22.9,8,0.35,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Luiz Felipe\Luiz-Felipe,br BRA,DF,Lazio,it Serie A,23,1997,10.1,7,0.69,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,de Bundesliga,22,1997,29.0,10,0.34,8,0,0,0,1,1,1,0.03,1,0,0,0,0,0,Matches
João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,es La Liga,20,1999,17.5,46,2.63,33,0,5,4,4,0,10,0.57,7,0,1,1,1,0,Matches
Zinedine Ferhat\Zinedine-Ferhat,dz ALG,FWMF,Nîmes,fr Ligue 1,27,1993,32.9,113,3.44,71,11,14,5,10,2,22,0.67,16,0,2,1,3,0,Matches
Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,eng Premier League,25,1994,34.4,168,4.88,121,22,4,10,8,3,27,0.78,23,2,0,2,0,0,Matches
Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MFDF,Mainz 05,de Bundesliga,24,1996,9.3,15,1.61,9,5,0,1,0,0,1,0.11,0,1,0,0,0,0,Matches
Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,es La Liga,29,1991,29.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,es La Liga,27,1992,21.6,40,1.85,19,20,0,0,1,0,4,0.18,3,1,0,0,0,0,Matches
Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,es La Liga,22,1998,22.0,3,0.14,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,es La Liga,33,1986,16.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,es La Liga,34,1986,4.1,1,0.24,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,es La Liga,24,1996,1.6,5,3.15,3,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,es La Liga,24,1996,4.3,11,2.54,8,0,0,1,2,0,3,0.69,2,0,0,1,0,0,Matches
Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,eng Premier League,31,1989,23.1,11,0.48,9,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,es La Liga,24,1996,23.0,12,0.52,9,0,0,2,1,0,3,0.13,1,0,0,1,1,0,Matches
Fernandinho\Fernandinho,br BRA,MF,Manchester City,eng Premier League,35,1985,13.2,29,2.20,21,0,3,0,0,5,3,0.23,2,0,0,0,0,1,Matches
Fernando\Fernando,br BRA,MF,Sevilla,es La Liga,33,1987,28.3,36,1.27,33,1,1,0,0,1,10,0.35,9,0,1,0,0,0,Matches
Alex Ferrari\Alex-Ferrari,it ITA,DF,Sampdoria,it Serie A,26,1994,9.8,6,0.61,6,0,0,0,0,0,2,0.20,2,0,0,0,0,0,Matches
David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,es La Liga,32,1988,28.1,106,3.78,61,33,5,2,5,0,11,0.39,8,2,0,1,0,0,Matches
Salvador Ferrer\Salvador-Ferrer,es ESP,DF,Spezia,it Serie A,22,1998,13.2,,,,,,,,,,,,,,,,,Matches
Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,es La Liga,29,1991,3.3,2,0.60,0,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Ferri\Jordan-Ferri,fr FRA,MF,Montpellier,fr Ligue 1,28,1992,28.6,56,1.96,47,0,0,1,3,5,6,0.21,5,0,0,0,0,1,Matches
Marco Festa\Marco-Festa,it ITA,GK,Crotone,it Serie A,28,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fidel\Fidel,es ESP,MFDF,Elche,es La Liga,30,1989,26.6,72,2.70,38,25,4,1,4,0,6,0.23,4,2,0,0,0,0,Matches
Sam Field\Sam-Field,eng ENG,MF,West Brom,eng Premier League,22,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,de Bundesliga,31,1989,6.0,19,3.14,15,0,2,2,0,0,1,0.17,1,0,0,0,0,0,Matches
Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,eng Premier League,28,1991,31.5,107,3.39,80,0,12,9,5,1,9,0.29,8,0,0,1,0,0,Matches
Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,es La Liga,23,1996,3.2,8,2.49,6,0,0,0,1,1,1,0.31,1,0,0,0,0,0,Matches
John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,eng Premier League,28,1991,28.6,66,2.31,46,13,3,2,1,1,3,0.10,2,1,0,0,0,0,Matches
Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,de Bundesliga,27,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Florian Flick\Florian-Flick,de GER,MF,Schalke 04,de Bundesliga,20,2000,4.0,3,0.75,2,0,0,0,1,0,1,0.25,1,0,0,0,0,0,Matches
Alexis Flips\Alexis-Flips,fr FRA,MF,Reims,fr Ligue 1,20,2000,0.5,1,2.09,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Alessandro Florenzi\Alessandro-Florenzi,it ITA,DF,Paris S-G,fr Ligue 1,29,1991,17.1,27,1.58,22,3,0,2,0,0,1,0.06,1,0,0,0,0,0,Matches
Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,es La Liga,21,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,eng Premier League,20,2000,18.0,67,3.73,43,8,9,4,2,1,14,0.78,9,0,1,3,1,0,Matches
Mamadou Fofana\Mamadou-Fofana,ml MLI,MFDF,Metz,fr Ligue 1,22,1998,11.9,5,0.42,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Seko Fofana\Seko-Fofana,ci CIV,MF,Lens,fr Ligue 1,25,1995,25.7,60,2.34,50,0,3,3,3,1,12,0.47,9,0,1,1,1,0,Matches
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Leicester City,eng Premier League,19,2000,25.1,18,0.72,14,0,0,1,2,1,1,0.04,0,0,0,0,1,0,Matches
Wesley Fofana\Wesley-Fofana,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,2000,3.5,3,0.86,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Youssouf Fofana\Youssouf-Fofana,fr FRA,MF,Monaco,fr Ligue 1,21,1999,31.9,65,2.04,45,9,5,1,3,2,9,0.28,6,1,1,0,1,0,Matches
Thomas Foket\Thomas-Foket,be BEL,DF,Reims,fr Ligue 1,25,1994,36.9,45,1.22,40,3,0,0,1,1,4,0.11,3,0,0,0,1,0,Matches
Ramón Folch\Ramon-Folch,es ESP,MF,Elche,es La Liga,30,1989,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lamine Fomba\Lamine-Fomba,fr FRA,MF,Nîmes,fr Ligue 1,22,1998,24.2,30,1.24,25,0,3,0,1,1,2,0.08,2,0,0,0,0,0,Matches
Thomas Fontaine\Thomas-Fontaine,mg MAD,DF,Lorient,fr Ligue 1,29,1991,3.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,es La Liga,20,2000,7.2,4,0.55,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
José Fonte\Jose-Fonte,pt POR,DF,Lille,fr Ligue 1,36,1983,35.4,26,0.73,23,0,0,1,2,0,2,0.06,0,0,0,1,1,0,Matches
Fernando Forestieri\Fernando-Forestieri,it ITA,FWMF,Udinese,it Serie A,30,1990,6.1,16,2.61,15,0,0,0,1,0,3,0.49,3,0,0,0,0,0,Matches
Pablo Fornals\Pablo-Fornals,es ESP,FWMF,West Ham,eng Premier League,24,1996,28.6,71,2.48,59,1,1,5,4,1,12,0.42,7,1,0,3,1,0,Matches
Emil Forsberg\Emil-Forsberg,se SWE,FWMF,RB Leipzig,de Bundesliga,28,1991,17.1,75,4.39,50,8,6,4,5,2,9,0.53,5,1,1,0,1,1,Matches
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,eng Premier League,32,1988,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philipp Förster\Philipp-Forster,de GER,FWMF,Stuttgart,de Bundesliga,25,1995,16.8,58,3.46,43,6,6,1,2,0,5,0.30,5,0,0,0,0,0,Matches
Steven Fortes\Steven-Fortes,cv CPV,DF,Lens,fr Ligue 1,28,1992,15.9,9,0.56,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yassin Fortune\Yassin-Fortune,fr FRA,FW,Angers,fr Ligue 1,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Manchester Utd,eng Premier League,22,1998,0.9,4,4.50,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,nl NED,DF,Leverkusen,de Bundesliga,22,1998,4.5,6,1.32,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daam Foulon\Daam-Foulon,be BEL,DF,Benevento,it Serie A,21,1999,11.3,10,0.88,8,2,0,0,0,0,1,0.09,0,1,0,0,0,0,Matches
Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,es La Liga,27,1993,29.6,23,0.78,18,2,0,1,2,0,5,0.17,4,0,0,1,0,0,Matches
Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,es La Liga,22,1998,13.0,11,0.85,10,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Gianluca Frabotta\Gianluca-Frabotta,it ITA,DF,Juventus,it Serie A,21,1999,7.7,15,1.96,13,1,1,0,0,0,2,0.26,2,0,0,0,0,0,Matches
Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,de Bundesliga,24,1995,17.1,21,1.23,17,2,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
Tyrese Francois\Tyrese-Francois,au AUS,DF,Fulham,eng Premier League,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ryan Fraser\Ryan-Fraser,sco SCO,FWMF,Newcastle Utd,eng Premier League,26,1994,10.3,38,3.69,23,13,0,1,1,0,4,0.39,2,1,0,0,1,0,Matches
Fred\Fred,br BRA,MF,Manchester Utd,eng Premier League,27,1993,26.6,67,2.52,58,1,2,1,2,3,5,0.19,4,0,0,0,0,1,Matches
Ryan Fredericks\Ryan-Fredericks,eng ENG,DFFW,West Ham,eng Premier League,27,1992,6.3,21,3.32,16,0,1,1,1,2,1,0.16,1,0,0,0,0,0,Matches
Remo Freuler\Remo-Freuler,ch SUI,MF,Atalanta,it Serie A,28,1992,30.1,78,2.59,61,2,5,2,4,4,11,0.37,8,0,1,0,0,2,Matches
Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,de Bundesliga,22,1998,30.9,24,0.78,17,4,1,0,1,1,2,0.06,1,1,0,0,0,0,Matches
Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,de Bundesliga,24,1995,34.0,26,0.76,21,0,1,3,1,0,5,0.15,4,0,0,1,0,0,Matches
Jeremie Frimpong\Jeremie-Frimpong,nl NED,DFFW,Leverkusen,de Bundesliga,19,2000,4.8,10,2.06,9,0,1,0,0,0,2,0.41,2,0,0,0,0,0,Matches
Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,es La Liga,23,1997,24.3,73,3.01,49,7,4,1,7,5,16,0.66,10,1,1,0,2,2,Matches
Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,eng Premier League,34,1986,7.8,3,0.38,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Angelo Fulgini\Angelo-Fulgini,fr FRA,MF,Angers,fr Ligue 1,23,1996,30.3,113,3.73,75,15,7,4,11,1,10,0.33,7,1,1,0,1,0,Matches
Niclas Füllkrug\Niclas-Fullkrug,de GER,FWMF,Werder Bremen,de Bundesliga,27,1993,9.7,18,1.85,11,0,2,1,4,0,2,0.21,1,0,0,0,1,0,Matches
Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,es La Liga,29,1991,8.1,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
Darnell Furlong\Darnell-Furlong,eng ENG,DF,West Brom,eng Premier League,24,1995,32.6,34,1.04,24,5,0,3,2,0,3,0.09,3,0,0,0,0,0,Matches
Daniel Fuzato\Daniel-Fuzato,br BRA,GK,Roma,it Serie A,23,1997,5.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Baptiste Gabard\Baptiste-Gabard,fr FRA,MF,Saint-Étienne,fr Ligue 1,20,2000,1.5,1,0.68,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matteo Gabbia\Matteo-Gabbia,it ITA,DF,Milan,it Serie A,20,1999,6.2,3,0.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manolo Gabbiadini\Manolo-Gabbiadini,it ITA,FW,Sampdoria,it Serie A,28,1991,9.7,26,2.69,17,1,2,3,2,1,7,0.72,3,0,1,2,0,1,Matches
Mijat Gaćinović\Mijat-Gacinovic,rs SRB,DFMF,Hoffenheim,de Bundesliga,25,1995,9.1,24,2.63,16,5,1,2,0,0,3,0.33,1,1,0,1,0,0,Matches
Roberto Gagliardini\Roberto-Gagliardini,it ITA,MF,Inter,it Serie A,26,1994,13.7,17,1.24,13,1,1,1,1,0,6,0.44,4,0,1,0,1,0,Matches
Riccardo Gagliolo\Riccardo-Gagliolo,se SWE,DF,Parma,it Serie A,30,1990,21.7,35,1.61,31,0,0,1,1,2,3,0.14,3,0,0,0,0,0,Matches
Adolfo Gaich\Adolfo-Gaich,ar ARG,FW,Benevento,it Serie A,21,1999,8.5,14,1.64,8,0,2,0,2,2,3,0.35,1,0,1,0,0,1,Matches
Andrey Galabinov\Andrey-Galabinov,bg BUL,FW,Spezia,it Serie A,31,1988,4.8,6,1.26,6,0,0,0,0,0,2,0.42,2,0,0,0,0,0,Matches
Javi Galán\Javi-Galan,es ESP,DF,Huesca,es La Liga,25,1994,34.1,69,2.03,51,9,3,0,6,0,7,0.21,4,3,0,0,0,0,Matches
Conor Gallagher\Conor-Gallagher,eng ENG,MF,West Brom,eng Premier League,20,2000,28.1,41,1.46,24,7,3,1,5,1,3,0.11,2,1,0,0,0,0,Matches
