Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,5,0.62,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,16,1.77,7,1,1,1,6,0,5,0.55,2,0,0,1,2,0,Matches
Thierry Ambrose\Thierry-Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,25,2.99,18,1,3,1,2,0,2,0.24,2,0,0,0,0,0,Matches
Wisdom Amey\Wisdom-Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri\Nadiem-Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,71,3.38,48,13,4,6,0,0,11,0.52,8,1,2,0,0,0,Matches
Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,15,0.65,13,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Sofyan Amrabat\Sofyan-Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,34,1.25,31,0,1,2,0,0,2,0.07,1,0,0,1,0,0,Matches
Jon Ander Garrido\Jon-Ander-Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,10,1.13,7,1,0,0,1,1,2,0.23,1,0,0,0,1,0,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,26,0.86,24,0,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,1,0.47,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Djavan Anderson\Djavan-Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,12,0.96,7,0,0,3,1,1,3,0.24,1,0,0,1,1,0,Matches
Nícolas Andrade\Nicolas-Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Benjamin André\Benjamin-Andre,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,55,1.72,47,0,3,2,3,0,4,0.12,4,0,0,0,0,0,Matches
