Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Claudio Bravo\Claudio-Bravo,cl CHI,GK,Betis,es La Liga,37,1983,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,de Bundesliga,25,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,de Bundesliga,22,1998,20.2,7,47,21,44.7,2.33,1.04,0.15,0.33,19.7,2,0,0,3.7,3.7,0.08,3.3,3.3
Gleison Bremer\Gleison-Bremer,br BRA,DF,Torino,it Serie A,23,1997,32.6,5,26,9,34.6,0.80,0.28,0.19,0.56,8.9,0,0,0,3.4,3.4,0.13,1.6,1.6
Joshua Brenet\Joshua-Brenet,nl NED,DF,Hoffenheim,de Bundesliga,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,eng Premier League,20,2000,12.5,0,25,7,28.0,1.99,0.56,0.00,0.00,19.6,1,0,0,1.7,1.7,0.07,-1.7,-1.7
Anthony Briançon\Anthony-Briancon,fr FRA,DF,Nîmes,fr Ligue 1,25,1994,13.6,0,4,2,50.0,0.29,0.15,0.00,0.00,17.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Jimmy Briand\Jimmy-Briand,fr FRA,FW,Bordeaux,fr Ligue 1,34,1985,6.3,1,12,3,25.0,1.89,0.47,0.00,0.00,13.9,0,1,1,1.6,0.9,0.07,-0.6,-0.9
Yan Brice Eteki\Yan-Brice-Eteki,cm CMR,MF,Granada,es La Liga,22,1997,14.7,0,7,3,42.9,0.48,0.20,0.00,0.00,19.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3
Nathan Broadhead\Nathan-Broadhead,wal WAL,MF,Everton,eng Premier League,22,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dylan Bronn\Dylan-Bronn,tn TUN,DF,Metz,fr Ligue 1,25,1995,37.9,2,13,3,23.1,0.34,0.08,0.08,0.33,24.0,1,1,2,2.1,0.6,0.05,-0.1,0.4
John Brooks\John-Brooks,us USA,DF,Wolfsburg,de Bundesliga,27,1993,30.8,2,18,4,22.2,0.58,0.13,0.11,0.50,9.6,0,0,0,1.6,1.6,0.09,0.4,0.4
Daniel Brosinski\Daniel-Brosinski,de GER,DF,Mainz 05,de Bundesliga,32,1988,15.9,2,7,1,14.3,0.44,0.06,0.00,0.00,27.6,3,2,2,1.8,0.3,0.05,0.2,-0.3
Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,eng Premier League,24,1995,31.3,0,36,8,22.2,1.15,0.26,0.00,0.00,20.4,8,0,0,1.9,1.9,0.05,-1.9,-1.9
Marcelo Brozović\Marcelo-Brozovic,hr CRO,MF,Inter,it Serie A,27,1992,28.7,2,27,6,22.2,0.94,0.21,0.07,0.33,21.9,1,0,0,1.8,1.8,0.07,0.2,0.2
Gastón Brugman\Gaston-Brugman,uy URU,MF,Parma,it Serie A,27,1992,18.0,1,18,8,44.4,1.00,0.45,0.06,0.13,22.8,4,0,0,1.2,1.2,0.06,-0.2,-0.2
Juan Brunet\Juan-Brunet,ar ARG,MF,Granada,es La Liga,22,1998,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Juan Brunetta\Juan-Brunetta,ar ARG,FWMF,Parma,it Serie A,23,1997,5.3,1,10,5,50.0,1.89,0.95,0.10,0.20,18.2,1,0,0,1.3,1.3,0.13,-0.3,-0.3
Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,de Bundesliga,26,1994,29.5,0,6,2,33.3,0.20,0.07,0.00,0.00,15.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,21,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan\Bryan,es ESP,FW,Sevilla,es La Liga,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Bryan\Bryan,es ESP,MFFW,Eibar,es La Liga,19,2001,25.2,4,40,15,37.5,1.59,0.60,0.10,0.27,17.2,1,0,0,4.0,3.6,0.09,0.0,0.4
Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,eng Premier League,26,1993,7.4,1,8,2,25.0,1.08,0.27,0.13,0.50,21.6,1,0,0,0.4,0.4,0.05,0.6,0.6
Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,eng Premier League,23,1996,11.2,1,2,1,50.0,0.18,0.09,0.50,1.00,4.8,0,0,0,0.4,0.4,0.20,0.6,0.6
Lucas Buadés\Lucas-Buades,fr FRA,MF,Nîmes,fr Ligue 1,22,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Ante Budimir\Ante-Budimir,hr CRO,FW,Osasuna,es La Liga,29,1991,18.1,11,47,23,48.9,2.60,1.27,0.23,0.48,11.2,0,0,0,7.1,7.1,0.16,3.9,3.9
Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,it Serie A,42,1978,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marius Bülter\Marius-Bulter,de GER,FWMF,Union Berlin,de Bundesliga,27,1993,10.9,1,19,7,36.8,1.75,0.64,0.05,0.14,17.0,0,0,0,2.0,2.0,0.10,-1.0,-1.0
Alessandro Buongiorno\Alessandro-Buongiorno,it ITA,DF,Torino,it Serie A,21,1999,9.5,0,3,0,0.0,0.31,0.00,0.00,,7.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Esteban Burgos\Esteban-Burgos,ar ARG,DF,Eibar,es La Liga,28,1992,12.3,3,3,2,66.7,0.24,0.16,0.33,0.50,18.5,0,2,3,3.3,1.1,0.35,-0.3,-0.1
Burgui\Burgui,es ESP,MF,Alavés,es La Liga,26,1993,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jonathan Burkardt\Jonathan-Burkardt,de GER,FWDF,Mainz 05,de Bundesliga,20,2000,15.3,2,32,11,34.4,2.10,0.72,0.06,0.18,14.6,0,0,0,4.5,4.5,0.14,-2.5,-2.5
Nishan Burkart\Nishan-Burkart,ch SUI,MF,Freiburg,de Bundesliga,20,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,eng Premier League,23,1997,14.1,1,25,6,24.0,1.77,0.43,0.04,0.17,14.6,0,0,0,2.4,2.4,0.10,-1.4,-1.4
Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,de Bundesliga,29,1990,18.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dan Burn\Dan-Burn,eng ENG,DF,Brighton,eng Premier League,28,1992,22.9,1,16,6,37.5,0.70,0.26,0.06,0.17,14.2,0,0,0,1.5,1.5,0.10,-0.5,-0.5
Patrick Burner\Patrick-Burner,fr FRA,DF,Nice,fr Ligue 1,24,1996,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Patrick Burner\Patrick-Burner,fr FRA,DF,Nîmes,fr Ligue 1,24,1996,14.6,0,6,1,16.7,0.41,0.07,0.00,0.00,23.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Maxime Busi\Maxime-Busi,be BEL,DF,Parma,it Serie A,20,1999,13.3,0,8,1,12.5,0.60,0.08,0.00,0.00,17.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5
Sergio Busquets\Sergio-Busquets,es ESP,MF,Barcelona,es La Liga,32,1988,28.0,0,3,1,33.3,0.11,0.04,0.00,0.00,17.0,0,0,0,0.2,0.2,0.07,-0.2,-0.2
Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,eng Premier League,27,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
David Button\David-Button,eng ENG,GK,West Brom,eng Premier League,31,1989,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,eng Premier League,22,1998,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Marcin Bułka\Marcin-Bulka,pl POL,GK,Paris S-G,fr Ligue 1,20,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Erick Cabaco\Erick-Cabaco,uy URU,DF,Getafe,es La Liga,25,1995,14.7,0,4,0,0.0,0.27,0.00,0.00,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,eng Premier League,38,1981,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jimmy Cabot\Jimmy-Cabot,fr FRA,FWMF,Angers,fr Ligue 1,26,1994,10.5,1,10,4,40.0,0.96,0.38,0.10,0.25,21.0,0,0,0,1.2,1.2,0.12,-0.2,-0.2
Martín Cáceres\Martin-Caceres,uy URU,DF,Fiorentina,it Serie A,33,1987,24.9,2,15,6,40.0,0.60,0.24,0.13,0.33,15.3,0,0,0,1.3,1.3,0.08,0.7,0.7
Anthony Caci\Anthony-Caci,fr FRA,DF,Strasbourg,fr Ligue 1,23,1997,31.1,0,8,0,0.0,0.26,0.00,0.00,,23.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Mathieu Cafaro\Mathieu-Cafaro,fr FRA,MFFW,Reims,fr Ligue 1,23,1997,23.0,4,61,20,32.8,2.65,0.87,0.07,0.20,24.5,10,0,0,3.4,3.4,0.06,0.6,0.6
Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,eng Premier League,34,1985,20.0,1,11,3,27.3,0.55,0.15,0.09,0.33,11.4,0,0,0,0.7,0.7,0.06,0.3,0.3
Yannick Cahuzac\Yannick-Cahuzac,fr FRA,MF,Lens,fr Ligue 1,35,1985,25.0,1,8,2,25.0,0.32,0.08,0.13,0.50,9.0,0,0,0,1.6,1.6,0.20,-0.6,-0.6
Felipe Caicedo\Felipe-Caicedo,ec ECU,FW,Lazio,it Serie A,31,1988,10.3,8,30,11,36.7,2.91,1.07,0.23,0.64,12.1,0,1,1,5.3,4.6,0.15,2.7,2.4
Marc-Aurèle Caillard\Marc-Aurele-Caillard,fr FRA,GK,Metz,fr Ligue 1,26,1994,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,eng Premier League,29,1991,8.4,1,12,4,33.3,1.42,0.47,0.08,0.25,20.0,0,0,0,0.7,0.7,0.06,0.3,0.3
Cala\Cala,es ESP,DF,Cádiz,es La Liga,30,1989,25.2,3,14,5,35.7,0.55,0.20,0.21,0.60,12.6,0,0,0,1.4,1.4,0.10,1.6,1.6
Arturo Calabresi\Arturo-Calabresi,it ITA,DFFW,Bologna,it Serie A,24,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Arturo Calabresi\Arturo-Calabresi,it ITA,DF,Cagliari,it Serie A,24,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Davide Calabria\Davide-Calabria,it ITA,DF,Milan,it Serie A,23,1996,29.4,2,24,7,29.2,0.82,0.24,0.08,0.29,21.3,0,0,0,1.2,1.2,0.05,0.8,0.8
Riccardo Calafiori\Riccardo-Calafiori,it ITA,DF,Roma,it Serie A,18,2002,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mattia Caldara\Mattia-Caldara,it ITA,DF,Atalanta,it Serie A,26,1994,1.2,0,2,0,0.0,1.62,0.00,0.00,,10.0,0,0,0,0.3,0.3,0.13,-0.3,-0.3
Luca Caldirola\Luca-Caldirola,it ITA,DF,Benevento,it Serie A,29,1991,17.5,2,8,4,50.0,0.46,0.23,0.25,0.50,12.9,0,0,0,1.0,1.0,0.12,1.0,1.0
Duje Ćaleta-Car\Duje-Caleta-Car,hr CRO,DF,Marseille,fr Ligue 1,23,1996,31.3,2,10,3,30.0,0.32,0.10,0.20,0.67,8.9,0,0,0,1.0,1.0,0.10,1.0,1.0
Hakan Çalhanoğlu\Hakan-Calhanoglu,tr TUR,MFFW,Milan,it Serie A,26,1994,29.0,4,84,23,27.4,2.89,0.79,0.04,0.13,23.0,16,1,1,5.5,4.8,0.06,-1.5,-1.8
Kerim Calhanoglu\Kerim-Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,17,2002,3.3,0,1,1,100.0,0.30,0.30,0.00,0.00,14.2,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Fabrizio Caligara\Fabrizio-Caligara,it ITA,MF,Cagliari,it Serie A,20,2000,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Daniel Caligiuri\Daniel-Caligiuri,it ITA,MFFW,Augsburg,de Bundesliga,32,1988,29.6,6,38,13,34.2,1.28,0.44,0.11,0.31,21.6,9,2,3,4.8,2.6,0.07,1.2,1.4
José Callejón\Jose-Callejon,es ESP,FWMF,Fiorentina,it Serie A,33,1987,7.4,0,9,1,11.1,1.22,0.14,0.00,0.00,17.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3
Jonathan Calleri\Jonathan-Calleri,ar ARG,FW,Osasuna,es La Liga,26,1993,17.2,5,49,17,34.7,2.86,0.99,0.10,0.29,13.6,0,0,0,5.9,5.9,0.12,-0.9,-0.9
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,23,1997,31.9,16,81,46,56.8,2.54,1.44,0.20,0.35,11.7,0,0,0,15.4,15.4,0.19,0.6,0.6
Dani Calvo\Dani-Calvo,es ESP,DF,Elche,es La Liga,26,1994,19.8,2,7,4,57.1,0.35,0.20,0.29,0.50,8.9,0,0,0,0.9,0.9,0.13,1.1,1.1
Drissa Camara\Drissa-Camara,ci CIV,MF,Parma,it Serie A,18,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Mahdi Camara\Mahdi-Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,22,1998,36.6,3,22,10,45.5,0.60,0.27,0.14,0.30,18.2,0,0,0,3.5,3.5,0.16,-0.5,-0.5
Eduardo Camavinga\Eduardo-Camavinga,fr FRA,MF,Rennes,fr Ligue 1,17,2002,26.7,1,26,8,30.8,0.97,0.30,0.04,0.13,17.9,0,0,0,1.9,1.9,0.07,-0.9,-0.9
José Campaña\Jose-Campana,es ESP,MF,Levante,es La Liga,27,1993,8.3,1,12,4,33.3,1.44,0.48,0.00,0.00,22.3,1,1,1,1.4,0.7,0.06,-0.4,-0.7
Emre Can\Emre-Can,de GER,DFMF,Dortmund,de Bundesliga,26,1994,23.7,1,17,4,23.5,0.72,0.17,0.06,0.25,17.4,0,0,0,0.8,0.8,0.05,0.2,0.2
Sergio Canales\Sergio-Canales,es ESP,MFFW,Betis,es La Liga,29,1991,27.8,8,45,11,24.4,1.62,0.40,0.13,0.55,21.2,5,2,3,5.4,2.9,0.07,2.6,3.1
João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,eng Premier League,26,1994,25.5,2,35,11,31.4,1.37,0.43,0.06,0.18,21.5,0,0,0,2.0,2.0,0.06,0.0,0.0
Antonio Candreva\Antonio-Candreva,it ITA,MF,Sampdoria,it Serie A,33,1987,27.8,5,57,18,31.6,2.05,0.65,0.05,0.17,22.2,4,2,2,4.8,3.3,0.06,0.2,-0.3
Álex Cantero\Alex-Cantero,es ESP,FW,Levante,es La Liga,20,2000,2.6,0,3,0,0.0,1.14,0.00,0.00,,,,0,0,,,,,
Ander Capa\Ander-Capa,es ESP,DF,Athletic Club,es La Liga,28,1992,23.7,2,12,6,50.0,0.51,0.25,0.17,0.33,14.8,0,0,0,1.1,1.1,0.10,0.9,0.9
Pierrick Capelle\Pierrick-Capelle,fr FRA,MFDF,Angers,fr Ligue 1,33,1987,22.8,3,29,5,17.2,1.27,0.22,0.10,0.60,20.5,1,0,0,3.6,3.6,0.13,-0.6,-0.6
Étienne Capoue\Etienne-Capoue,fr FRA,MF,Villarreal,es La Liga,32,1988,13.2,1,8,3,37.5,0.61,0.23,0.13,0.33,19.3,0,0,0,0.5,0.5,0.06,0.5,0.5
Elio Capradossi\Elio-Capradossi,it ITA,DF,Spezia,it Serie A,24,1996,1.0,0,1,0,0.0,1.00,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1
Gianluca Caprari\Gianluca-Caprari,it ITA,MFFW,Benevento,it Serie A,27,1993,20.7,5,47,15,31.9,2.27,0.72,0.11,0.33,20.7,7,0,1,4.2,3.4,0.07,0.8,1.6
Francesco Caputo\Francesco-Caputo,it ITA,FW,Sassuolo,it Serie A,32,1987,18.9,11,40,17,42.5,2.12,0.90,0.20,0.47,13.5,0,3,3,9.4,7.1,0.18,1.6,0.9
Maxence Caqueret\Maxence-Caqueret,fr FRA,MF,Lyon,fr Ligue 1,20,2000,19.6,0,9,0,0.0,0.46,0.00,0.00,,19.3,0,0,0,0.7,0.7,0.08,-0.7,-0.7
Andrea Carboni\Andrea-Carboni,it ITA,DF,Cagliari,it Serie A,19,2001,12.1,0,5,0,0.0,0.41,0.00,0.00,,9.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2
Isaac Carcelen\Isaac-Carcelen,es ESP,DF,Cádiz,es La Liga,27,1993,28.7,0,11,3,27.3,0.38,0.10,0.00,0.00,24.8,6,0,0,0.4,0.4,0.03,-0.4,-0.4
Cárdenas\Cardenas,es ESP,GK,Levante,es La Liga,23,1997,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Irvin Cardona\Irvin-Cardona,fr FRA,FWMF,Brest,fr Ligue 1,22,1997,22.5,7,56,20,35.7,2.48,0.89,0.13,0.35,13.0,1,0,0,7.6,7.6,0.14,-0.6,-0.6
Marc Cardona\Marc-Cardona,es ESP,FWMF,Osasuna,es La Liga,25,1995,0.6,0,1,1,100.0,1.70,1.70,0.00,0.00,8.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Ian Carlo Poveda\Ian-Carlo-Poveda,eng ENG,MFDF,Leeds United,eng Premier League,20,2000,3.9,0,5,3,60.0,1.27,0.76,0.00,0.00,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Diego Carlos\Diego-Carlos,br BRA,DF,Sevilla,es La Liga,27,1993,31.0,1,15,5,33.3,0.48,0.16,0.07,0.20,9.9,0,0,0,1.0,1.0,0.07,0.0,0.0
Juan Carlos\Juan-Carlos,es ESP,MFFW,Huesca,es La Liga,29,1991,3.2,0,4,1,25.0,1.24,0.31,0.00,0.00,11.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5
Lionel Carole\Lionel-Carole,fr FRA,DF,Strasbourg,fr Ligue 1,29,1991,14.9,0,3,1,33.3,0.20,0.07,0.00,0.00,21.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1
Yannick Carrasco\Yannick-Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,26,1993,24.2,6,43,25,58.1,1.78,1.03,0.14,0.24,16.9,1,0,0,6.0,6.0,0.14,0.0,0.0
Sergio Carreira\Sergio-Carreira,es ESP,DF,Celta Vigo,es La Liga,19,2000,2.9,1,2,1,50.0,0.69,0.35,0.50,1.00,8.1,0,0,0,0.4,0.4,0.19,0.6,0.6
Guido Carrillo\Guido-Carrillo,ar ARG,FW,Elche,es La Liga,29,1991,11.1,3,26,7,26.9,2.34,0.63,0.12,0.43,11.8,0,0,0,2.7,2.7,0.10,0.3,0.3
Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,eng Premier League,31,1989,4.4,1,14,2,14.3,3.21,0.46,0.07,0.50,13.4,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,eng Premier League,34,1985,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Dani Carvajal\Dani-Carvajal,es ESP,DF,Real Madrid,es La Liga,28,1992,10.6,0,10,2,20.0,0.95,0.19,0.00,0.00,23.4,0,0,0,0.6,0.6,0.06,-0.6,-0.6
Fabio Carvalho\Fabio-Carvalho,eng ENG,MFFW,Fulham,eng Premier League,17,2002,2.8,1,9,4,44.4,3.18,1.41,0.11,0.25,14.8,0,0,0,1.1,1.1,0.13,-0.1,-0.1
William Carvalho\William-Carvalho,pt POR,MF,Betis,es La Liga,28,1992,13.6,2,15,6,40.0,1.10,0.44,0.13,0.33,16.9,0,0,0,1.3,1.3,0.08,0.7,0.7
Casemiro\Casemiro,br BRA,MF,Real Madrid,es La Liga,28,1992,32.2,6,45,11,24.4,1.40,0.34,0.13,0.55,17.7,0,0,0,4.6,4.6,0.10,1.4,1.4
Matty Cash\Matty-Cash,eng ENG,DF,Aston Villa,eng Premier League,22,1997,26.4,0,9,2,22.2,0.34,0.08,0.00,0.00,22.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,eng Premier League,33,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Giuseppe Caso\Giuseppe-Caso,it ITA,MF,Genoa,it Serie A,21,1998,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Moreto Cassamã\Moreto-Cassama,gw GNB,MF,Reims,fr Ligue 1,22,1998,22.6,1,11,2,18.2,0.49,0.09,0.09,0.50,26.7,0,0,0,0.3,0.3,0.03,0.7,0.7
Francesco Cassata\Francesco-Cassata,it ITA,DF,Genoa,it Serie A,23,1997,2.3,0,1,1,100.0,0.44,0.44,0.00,0.00,25.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,eng Premier League,24,1995,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.3,0,0,0,1.3,1.3,0.16,0.7,0.7
Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,de Bundesliga,28,1992,32.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jean-Charles Castelletto\Jean-Charles-Castelletto,cm CMR,DF,Nantes,fr Ligue 1,25,1995,21.6,1,8,4,50.0,0.37,0.18,0.13,0.25,6.3,0,0,0,1.7,1.7,0.23,-0.7,-0.7
Samu Castillejo\Samu-Castillejo,es ESP,FW,Milan,it Serie A,25,1995,13.1,1,25,7,28.0,1.91,0.53,0.04,0.14,17.7,1,0,0,2.0,2.0,0.08,-1.0,-1.0
Gonzalo Castro\Gonzalo-Castro,de GER,MFFW,Stuttgart,de Bundesliga,33,1987,19.2,4,31,11,35.5,1.61,0.57,0.13,0.36,18.2,2,0,0,3.3,3.3,0.11,0.7,0.7
Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,eng Premier League,26,1994,5.5,0,1,0,0.0,0.18,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Gaetano Castrovilli\Gaetano-Castrovilli,it ITA,MF,Fiorentina,it Serie A,23,1997,25.9,5,33,14,42.4,1.27,0.54,0.15,0.36,16.7,0,0,0,3.5,3.5,0.11,1.5,1.5
Danilo Cataldi\Danilo-Cataldi,it ITA,MF,Lazio,it Serie A,25,1994,6.3,0,6,2,33.3,0.95,0.32,0.00,0.00,19.0,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,eng Premier League,26,1993,27.5,3,46,16,34.8,1.67,0.58,0.04,0.13,17.4,1,1,2,5.4,4.7,0.10,-2.4,-2.7
Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,eng Premier League,33,1987,15.3,10,35,15,42.9,2.29,0.98,0.29,0.67,11.1,0,0,0,7.4,7.4,0.21,2.6,2.6
Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,eng Premier League,23,1996,17.9,0,12,2,16.7,0.67,0.11,0.00,0.00,21.7,1,0,0,0.7,0.7,0.06,-0.7,-0.7
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Hellas Verona,it Serie A,28,1992,19.3,0,11,0,0.0,0.57,0.00,0.00,,8.8,0,0,0,0.9,0.9,0.09,-0.9,-0.9
Federico Ceccherini\Federico-Ceccherini,it ITA,DF,Fiorentina,it Serie A,28,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Zeki Çelik\Zeki-Celik,tr TUR,DF,Lille,fr Ligue 1,23,1997,26.5,3,16,6,37.5,0.60,0.23,0.19,0.50,20.6,0,0,0,0.8,0.8,0.05,2.2,2.2
Bersant Celina\Bersant-Celina,xk KVX,MFFW,Dijon,fr Ligue 1,23,1996,25.5,0,24,5,20.8,0.94,0.20,0.00,0.00,22.0,4,0,0,1.5,1.5,0.06,-1.5,-1.5
Fabien Centonze\Fabien-Centonze,fr FRA,DF,Metz,fr Ligue 1,24,1996,35.8,1,25,7,28.0,0.70,0.20,0.04,0.14,22.7,0,0,0,1.2,1.2,0.05,-0.2,-0.2
Luca Ceppitelli\Luca-Ceppitelli,it ITA,DF,Cagliari,it Serie A,30,1989,16.3,0,7,1,14.3,0.43,0.06,0.00,0.00,10.1,0,0,0,0.4,0.4,0.06,-0.4,-0.4
Alberto Cerri\Alberto-Cerri,it ITA,FW,Cagliari,it Serie A,24,1996,4.1,1,16,6,37.5,3.90,1.46,0.06,0.17,10.0,0,0,0,2.5,2.5,0.16,-1.5,-1.5
Sava Cestic\Sava-Cestic,rs SRB,DF,Köln,de Bundesliga,19,2001,10.0,0,1,0,0.0,0.10,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.11,-0.1,-0.1
Julian Chabot\Julian-Chabot,de GER,DF,Spezia,it Serie A,22,1998,18.4,1,9,2,22.2,0.49,0.11,0.11,0.50,8.9,0,0,0,0.6,0.6,0.07,0.4,0.4
Nassim Chadli\Nassim-Chadli,fr FRA,FWMF,Nîmes,fr Ligue 1,19,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Fouad Chafik\Fouad-Chafik,ma MAR,DF,Dijon,fr Ligue 1,33,1986,18.0,1,5,1,20.0,0.28,0.06,0.20,1.00,24.6,0,0,0,0.2,0.2,0.03,0.8,0.8
Mehdi Chahiri\Mehdi-Chahiri,ma MAR,FWMF,Strasbourg,fr Ligue 1,24,1996,8.9,2,21,7,33.3,2.36,0.79,0.10,0.29,19.7,0,0,0,1.9,1.9,0.09,0.1,0.1
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Villarreal,es La Liga,26,1993,0.1,0,1,0,0.0,6.92,0.00,0.00,,11.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1
Sofian Chakla\Sofian-Chakla,ma MAR,DF,Getafe,es La Liga,26,1993,10.0,0,3,1,33.3,0.30,0.10,0.00,0.00,8.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1
