Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,Corner_In,Corner_Out,Corner_Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Name_no_spec_chars
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,23.0,1997.0,14.1,262.0,249.0,13.0,0.0,1.0,86.0,2.0,20,0.0,0.0,0.0,0.0,185.0,41.0,36.0,11.0,206.0,19.0,0.0,2.0,185.0,0.0,10.0,10.0,16.0,Oliver Burke
Roman Bürki,SUI,GK,Dortmund,Bundesliga,29.0,1990.0,18.5,629.0,500.0,129.0,19.0,0.0,41.0,18.0,0,0.0,0.0,0.0,0.0,421.0,31.0,177.0,151.0,367.0,0.0,1.0,106.0,515.0,0.0,13.0,0.0,2.0,Roman Burki
Dan Burn,ENG,DF,Brighton,Premier League,28.0,1992.0,22.9,1242.0,1092.0,150.0,11.0,0.0,173.0,20.0,32,1.0,1.0,0.0,0.0,748.0,212.0,282.0,822.0,122.0,85.0,138.0,4.0,952.0,4.0,36.0,30.0,33.0,Dan Burn
Patrick Burner,FRA,DF,Nice,Ligue 1,24.0,1996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrick Burner
Patrick Burner,FRA,DF,Nîmes,Ligue 1,24.0,1996.0,14.6,676.0,515.0,161.0,10.0,1.0,52.0,12.0,22,0.0,0.0,0.0,0.0,366.0,165.0,145.0,52.0,447.0,18.0,151.0,1.0,526.0,1.0,18.0,9.0,17.0,Patrick Burner
Maxime Busi,BEL,DF,Parma,Serie A,20.0,1999.0,13.3,789.0,674.0,115.0,8.0,2.0,57.0,18.0,20,0.0,0.0,0.0,0.0,499.0,135.0,155.0,91.0,571.0,14.0,107.0,1.0,658.0,4.0,12.0,16.0,16.0,Maxime Busi
Sergio Busquets,ESP,MF,Barcelona,La Liga,32.0,1988.0,28.0,2715.0,2604.0,111.0,108.0,15.0,307.0,45.0,3,0.0,0.0,0.0,0.0,2239.0,208.0,268.0,411.0,2202.0,57.0,3.0,11.0,2484.0,7.0,22.0,58.0,18.0,Sergio Busquets
Jack Butland,ENG,GK,Crystal Palace,Premier League,27.0,1993.0,1.0,21.0,10.0,11.0,3.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,0.0,16.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,Jack Butland
David Button,ENG,GK,West Brom,Premier League,31.0,1989.0,1.0,37.0,22.0,15.0,3.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,7.0,0.0,30.0,3.0,27.0,0.0,0.0,2.0,16.0,0.0,3.0,0.0,0.0,David Button
Oskar Buur,DEN,DF,Wolves,Premier League,22.0,1998.0,0.2,15.0,14.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,14.0,0.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,Oskar Buur
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,20.0,1999.0,1.0,30.0,28.0,2.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,24.0,1.0,5.0,8.0,13.0,0.0,0.0,9.0,25.0,1.0,0.0,1.0,0.0,Marcin Bulka
Erick Cabaco,URU,DF,Getafe,La Liga,25.0,1995.0,14.7,439.0,386.0,53.0,37.0,0.0,55.0,54.0,3,0.0,0.0,0.0,0.0,188.0,53.0,198.0,53.0,306.0,37.0,16.0,0.0,297.0,3.0,24.0,5.0,9.0,Erick Cabaco
Willy Caballero,ARG,GK,Chelsea,Premier League,38.0,1981.0,1.0,26.0,19.0,7.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,21.0,2.0,3.0,3.0,21.0,0.0,0.0,2.0,24.0,0.0,0.0,0.0,0.0,Willy Caballero
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26.0,1994.0,10.5,428.0,414.0,14.0,2.0,2.0,58.0,12.0,21,9.0,5.0,1.0,0.0,315.0,60.0,53.0,69.0,349.0,6.0,3.0,0.0,319.0,0.0,6.0,17.0,16.0,Jimmy Cabot
Martín Cáceres,URU,DF,Fiorentina,Serie A,33.0,1987.0,24.9,1037.0,892.0,145.0,46.0,0.0,81.0,41.0,31,1.0,0.0,0.0,0.0,608.0,162.0,267.0,233.0,640.0,50.0,98.0,8.0,824.0,3.0,16.0,12.0,32.0,Martin Caceres
Anthony Caci,FRA,DF,Strasbourg,Ligue 1,23.0,1997.0,31.1,1883.0,1528.0,355.0,40.0,1.0,224.0,103.0,64,0.0,0.0,0.0,0.0,985.0,442.0,456.0,496.0,990.0,58.0,315.0,6.0,1469.0,4.0,32.0,52.0,59.0,Anthony Caci
Mathieu Cafaro,FRA,MFFW,Reims,Ligue 1,23.0,1997.0,23.0,823.0,758.0,65.0,31.0,1.0,96.0,50.0,55,31.0,12.0,16.0,3.0,488.0,124.0,211.0,64.0,729.0,17.0,3.0,5.0,513.0,7.0,29.0,44.0,38.0,Mathieu Cafaro
Gary Cahill,ENG,DF,Crystal Palace,Premier League,34.0,1985.0,20.0,697.0,671.0,26.0,26.0,0.0,95.0,12.0,0,0.0,0.0,0.0,0.0,483.0,68.0,146.0,94.0,521.0,35.0,0.0,7.0,590.0,2.0,11.0,8.0,5.0,Gary Cahill
Yannick Cahuzac,FRA,MF,Lens,Ligue 1,35.0,1985.0,25.0,896.0,859.0,37.0,29.0,1.0,123.0,13.0,10,1.0,0.0,0.0,0.0,612.0,113.0,171.0,63.0,729.0,64.0,6.0,5.0,755.0,1.0,19.0,11.0,14.0,Yannick Cahuzac
Felipe Caicedo,ECU,FW,Lazio,Serie A,31.0,1988.0,10.3,267.0,259.0,8.0,1.0,0.0,72.0,2.0,0,0.0,0.0,0.0,0.0,161.0,63.0,43.0,173.0,44.0,12.0,3.0,15.0,200.0,0.0,5.0,6.0,7.0,Felipe Caicedo
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,26.0,1994.0,4.0,101.0,61.0,40.0,10.0,0.0,3.0,0.0,0,0.0,0.0,0.0,0.0,47.0,4.0,50.0,4.0,68.0,0.0,0.0,27.0,65.0,1.0,6.0,0.0,1.0,Marc Aurele Caillard
Tom Cairney,SCO,MF,Fulham,Premier League,29.0,1991.0,8.4,621.0,586.0,35.0,19.0,0.0,76.0,34.0,18,14.0,2.0,9.0,1.0,473.0,51.0,97.0,577.0,32.0,9.0,0.0,2.0,551.0,1.0,6.0,7.0,11.0,Tom Cairney
Cala,ESP,DF,Cádiz,La Liga,30.0,1989.0,25.2,688.0,642.0,46.0,45.0,0.0,74.0,63.0,0,0.0,0.0,0.0,0.0,355.0,68.0,265.0,80.0,513.0,65.0,1.0,3.0,508.0,1.0,21.0,9.0,7.0,Cala
Arturo Calabresi,ITA,DFFW,Bologna,Serie A,24.0,1996.0,0.2,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,Arturo Calabresi
Arturo Calabresi,ITA,DF,Cagliari,Serie A,24.0,1996.0,0.2,18.0,14.0,4.0,0.0,0.0,2.0,0.0,1,0.0,0.0,0.0,0.0,8.0,6.0,4.0,2.0,10.0,2.0,4.0,0.0,14.0,0.0,1.0,0.0,2.0,Arturo Calabresi
Davide Calabria,ITA,DF,Milan,Serie A,23.0,1996.0,29.4,1785.0,1529.0,256.0,33.0,4.0,133.0,37.0,53,1.0,0.0,1.0,0.0,1078.0,297.0,410.0,124.0,1368.0,57.0,222.0,3.0,1396.0,14.0,29.0,37.0,43.0,Davide Calabria
Riccardo Calafiori,ITA,DF,Roma,Serie A,18.0,2002.0,0.7,45.0,35.0,10.0,2.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,34.0,8.0,3.0,29.0,6.0,0.0,8.0,0.0,35.0,0.0,0.0,3.0,4.0,Riccardo Calafiori
Mattia Caldara,ITA,DF,Atalanta,Serie A,26.0,1994.0,1.2,54.0,52.0,2.0,1.0,0.0,6.0,5.0,1,0.0,0.0,0.0,0.0,39.0,7.0,8.0,5.0,46.0,2.0,1.0,0.0,50.0,0.0,0.0,0.0,2.0,Mattia Caldara
Luca Caldirola,ITA,DF,Benevento,Serie A,29.0,1991.0,17.5,772.0,711.0,61.0,40.0,0.0,55.0,19.0,3,0.0,0.0,0.0,0.0,570.0,67.0,135.0,602.0,108.0,31.0,20.0,2.0,654.0,0.0,12.0,14.0,3.0,Luca Caldirola
Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,23.0,1996.0,31.3,1878.0,1811.0,67.0,55.0,4.0,117.0,56.0,0,0.0,0.0,0.0,0.0,1426.0,142.0,310.0,520.0,1221.0,76.0,11.0,7.0,1632.0,2.0,35.0,16.0,9.0,Duje Caleta Car
Hakan Çalhanoğlu,TUR,MFFW,Milan,Serie A,26.0,1994.0,29.0,1645.0,1395.0,250.0,72.0,5.0,209.0,110.0,62,150.0,81.0,51.0,5.0,1137.0,156.0,352.0,128.0,1456.0,27.0,14.0,10.0,1273.0,3.0,25.0,39.0,40.0,Hakan Calhanoglu
Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,17.0,2002.0,3.3,137.0,109.0,28.0,3.0,0.0,22.0,3.0,6,0.0,0.0,0.0,0.0,68.0,24.0,45.0,88.0,20.0,3.0,25.0,0.0,88.0,1.0,5.0,3.0,10.0,Kerim Calhanoglu
Fabrizio Caligara,ITA,MF,Cagliari,Serie A,20.0,2000.0,2.0,68.0,61.0,7.0,4.0,0.0,13.0,1.0,4,1.0,1.0,0.0,0.0,45.0,8.0,15.0,45.0,13.0,4.0,2.0,1.0,53.0,0.0,1.0,1.0,1.0,Fabrizio Caligara
Daniel Caligiuri,ITA,MFFW,Augsburg,Bundesliga,32.0,1988.0,29.6,1191.0,952.0,239.0,85.0,2.0,244.0,59.0,41,75.0,36.0,25.0,4.0,638.0,219.0,334.0,154.0,909.0,25.0,79.0,6.0,822.0,7.0,22.0,34.0,55.0,Daniel Caligiuri
José Callejón,ESP,FWMF,Fiorentina,Serie A,33.0,1987.0,7.4,284.0,264.0,20.0,4.0,2.0,41.0,10.0,22,1.0,0.0,1.0,0.0,187.0,49.0,48.0,28.0,226.0,10.0,14.0,3.0,211.0,2.0,2.0,7.0,16.0,Jose Callejon
Jonathan Calleri,ARG,FW,Osasuna,La Liga,26.0,1993.0,17.2,355.0,325.0,30.0,0.0,1.0,121.0,8.0,14,0.0,0.0,0.0,0.0,186.0,85.0,84.0,22.0,225.0,34.0,0.0,8.0,218.0,0.0,9.0,12.0,18.0,Jonathan Calleri
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,23.0,1997.0,31.9,669.0,651.0,18.0,0.0,1.0,224.0,8.0,15,2.0,0.0,0.0,0.0,363.0,187.0,119.0,48.0,419.0,52.0,1.0,49.0,479.0,6.0,15.0,20.0,26.0,Dominic Calvert Lewin
Dani Calvo,ESP,DF,Elche,La Liga,26.0,1994.0,19.8,743.0,712.0,31.0,28.0,0.0,73.0,28.0,1,0.0,0.0,0.0,0.0,549.0,56.0,138.0,133.0,550.0,43.0,3.0,1.0,640.0,1.0,16.0,2.0,9.0,Dani Calvo
Drissa Camara,CIV,MF,Parma,Serie A,18.0,2002.0,0.2,9.0,9.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,Drissa Camara
Mahdi Camara,FRA,MFDF,Saint-Étienne,Ligue 1,22.0,1998.0,36.6,1679.0,1596.0,83.0,32.0,0.0,246.0,43.0,28,2.0,2.0,0.0,0.0,1290.0,185.0,204.0,52.0,1474.0,69.0,44.0,6.0,1449.0,4.0,32.0,25.0,37.0,Mahdi Camara
Eduardo Camavinga,FRA,MF,Rennes,Ligue 1,17.0,2002.0,26.7,1621.0,1585.0,36.0,30.0,3.0,214.0,30.0,4,0.0,0.0,0.0,0.0,1354.0,139.0,128.0,1433.0,93.0,63.0,6.0,6.0,1447.0,0.0,15.0,39.0,19.0,Eduardo Camavinga
José Campaña,ESP,MF,Levante,La Liga,27.0,1993.0,8.3,504.0,451.0,53.0,20.0,3.0,60.0,18.0,16,30.0,11.0,4.0,3.0,352.0,57.0,95.0,66.0,410.0,18.0,3.0,2.0,387.0,5.0,16.0,8.0,18.0,Jose Campana
Emre Can,GER,DFMF,Dortmund,Bundesliga,26.0,1994.0,23.7,1816.0,1741.0,75.0,46.0,4.0,225.0,60.0,12,0.0,0.0,0.0,0.0,1414.0,172.0,230.0,377.0,1333.0,36.0,29.0,14.0,1585.0,2.0,24.0,32.0,18.0,Emre Can
Sergio Canales,ESP,MFFW,Betis,La Liga,29.0,1991.0,27.8,1745.0,1619.0,126.0,64.0,7.0,282.0,104.0,46,42.0,9.0,20.0,3.0,1275.0,158.0,312.0,1551.0,153.0,21.0,13.0,1.0,1478.0,4.0,36.0,32.0,41.0,Sergio Canales
João Cancelo,POR,DF,Manchester City,Premier League,26.0,1994.0,25.5,2094.0,1861.0,233.0,40.0,10.0,201.0,39.0,69,1.0,0.0,0.0,0.0,1445.0,328.0,321.0,233.0,1593.0,46.0,192.0,7.0,1795.0,7.0,23.0,38.0,43.0,Joao Cancelo
Antonio Candreva,ITA,MF,Sampdoria,Serie A,33.0,1987.0,27.8,1629.0,1409.0,220.0,52.0,2.0,201.0,129.0,153,102.0,31.0,41.0,12.0,808.0,278.0,543.0,249.0,1285.0,19.0,66.0,8.0,1099.0,8.0,25.0,46.0,79.0,Antonio Candreva
Álex Cantero,ESP,FW,Levante,La Liga,20.0,2000.0,2.6,,,,,,,,1,,,,,,,,,,,,,,,,,,Alex Cantero
Ander Capa,ESP,DF,Athletic Club,La Liga,28.0,1992.0,23.7,1201.0,897.0,304.0,24.0,1.0,119.0,20.0,54,0.0,0.0,0.0,0.0,615.0,313.0,273.0,80.0,775.0,50.0,280.0,1.0,915.0,4.0,30.0,24.0,53.0,Ander Capa
Pierrick Capelle,FRA,MFDF,Angers,Ligue 1,33.0,1987.0,22.8,1176.0,1096.0,80.0,13.0,3.0,215.0,23.0,24,9.0,3.0,3.0,1.0,832.0,186.0,158.0,921.0,124.0,38.0,56.0,7.0,966.0,1.0,9.0,32.0,36.0,Pierrick Capelle
Étienne Capoue,FRA,MF,Villarreal,La Liga,32.0,1988.0,13.2,748.0,729.0,19.0,18.0,2.0,107.0,18.0,0,0.0,0.0,0.0,0.0,617.0,61.0,70.0,128.0,579.0,24.0,1.0,0.0,680.0,1.0,7.0,9.0,8.0,Etienne Capoue
Elio Capradossi,ITA,DF,Spezia,Serie A,24.0,1996.0,1.0,41.0,38.0,3.0,3.0,0.0,9.0,0.0,0,0.0,0.0,0.0,0.0,34.0,3.0,4.0,17.0,22.0,2.0,0.0,0.0,34.0,0.0,1.0,1.0,0.0,Elio Capradossi
Gianluca Caprari,ITA,MFFW,Benevento,Serie A,27.0,1993.0,20.7,696.0,576.0,120.0,31.0,2.0,125.0,27.0,32,64.0,20.0,29.0,7.0,481.0,72.0,143.0,80.0,591.0,11.0,9.0,3.0,501.0,3.0,8.0,11.0,28.0,Gianluca Caprari
Francesco Caputo,ITA,FW,Sassuolo,Serie A,32.0,1987.0,18.9,421.0,374.0,47.0,0.0,1.0,103.0,2.0,4,0.0,0.0,0.0,0.0,318.0,65.0,38.0,75.0,311.0,12.0,0.0,10.0,327.0,0.0,7.0,12.0,15.0,Francesco Caputo
Maxence Caqueret,FRA,MF,Lyon,Ligue 1,20.0,2000.0,19.6,1085.0,1067.0,18.0,8.0,2.0,190.0,20.0,12,1.0,0.0,0.0,0.0,886.0,100.0,99.0,164.0,874.0,26.0,2.0,8.0,940.0,7.0,7.0,29.0,25.0,Maxence Caqueret
Andrea Carboni,ITA,DF,Cagliari,Serie A,19.0,2001.0,12.1,593.0,540.0,53.0,19.0,0.0,51.0,16.0,15,0.0,0.0,0.0,0.0,395.0,64.0,134.0,468.0,66.0,14.0,34.0,2.0,466.0,2.0,18.0,19.0,10.0,Andrea Carboni
Isaac Carcelen,ESP,DF,Cádiz,La Liga,27.0,1993.0,28.7,1098.0,796.0,302.0,45.0,1.0,156.0,33.0,36,18.0,6.0,9.0,2.0,489.0,268.0,341.0,89.0,669.0,75.0,239.0,8.0,782.0,7.0,28.0,32.0,42.0,Isaac Carcelen
Cárdenas,ESP,GK,Levante,La Liga,23.0,1997.0,8.0,264.0,184.0,80.0,23.0,0.0,27.0,21.0,0,0.0,0.0,0.0,0.0,147.0,14.0,103.0,24.0,186.0,0.0,0.0,42.0,197.0,2.0,6.0,2.0,2.0,Cardenas
Irvin Cardona,FRA,FWMF,Brest,Ligue 1,22.0,1997.0,22.5,494.0,445.0,49.0,1.0,1.0,99.0,23.0,36,1.0,0.0,1.0,0.0,285.0,118.0,91.0,60.0,372.0,36.0,4.0,7.0,340.0,2.0,18.0,17.0,20.0,Irvin Cardona
Marc Cardona,ESP,FWMF,Osasuna,La Liga,25.0,1995.0,0.6,28.0,27.0,1.0,0.0,0.0,5.0,0.0,1,0.0,0.0,0.0,0.0,12.0,9.0,7.0,7.0,16.0,4.0,1.0,0.0,17.0,1.0,1.0,0.0,2.0,Marc Cardona
Ian Carlo Poveda,ENG,MFDF,Leeds United,Premier League,20.0,2000.0,3.9,117.0,116.0,1.0,0.0,1.0,24.0,3.0,9,0.0,0.0,0.0,0.0,89.0,14.0,14.0,90.0,22.0,4.0,1.0,0.0,86.0,0.0,5.0,5.0,6.0,Ian Carlo Poveda
Diego Carlos,BRA,DF,Sevilla,La Liga,27.0,1993.0,31.0,1919.0,1872.0,47.0,42.0,1.0,142.0,99.0,3,0.0,0.0,0.0,0.0,1549.0,90.0,280.0,263.0,1582.0,42.0,2.0,7.0,1742.0,5.0,32.0,14.0,5.0,Diego Carlos
Juan Carlos,ESP,MFFW,Huesca,La Liga,29.0,1991.0,3.2,97.0,96.0,1.0,1.0,0.0,25.0,0.0,2,0.0,0.0,0.0,0.0,77.0,12.0,8.0,7.0,82.0,3.0,0.0,1.0,73.0,2.0,1.0,0.0,4.0,Juan Carlos
Lionel Carole,FRA,DF,Strasbourg,Ligue 1,29.0,1991.0,14.9,911.0,755.0,156.0,24.0,1.0,98.0,35.0,35,0.0,0.0,0.0,0.0,519.0,156.0,236.0,648.0,80.0,31.0,132.0,1.0,705.0,1.0,18.0,24.0,21.0,Lionel Carole
Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,26.0,1993.0,24.2,1048.0,895.0,153.0,46.0,6.0,153.0,34.0,69,58.0,31.0,13.0,0.0,753.0,143.0,152.0,119.0,856.0,16.0,49.0,5.0,779.0,6.0,22.0,31.0,42.0,Yannick Carrasco
Sergio Carreira,ESP,DF,Celta Vigo,La Liga,19.0,2000.0,2.9,118.0,94.0,24.0,0.0,0.0,16.0,2.0,4,0.0,0.0,0.0,0.0,66.0,25.0,27.0,7.0,81.0,4.0,24.0,1.0,91.0,0.0,2.0,2.0,7.0,Sergio Carreira
Guido Carrillo,ARG,FW,Elche,La Liga,29.0,1991.0,11.1,317.0,309.0,8.0,1.0,0.0,122.0,6.0,2,0.0,0.0,0.0,0.0,156.0,73.0,88.0,18.0,181.0,39.0,0.0,14.0,226.0,1.0,6.0,2.0,8.0,Guido Carrillo
Andy Carroll,ENG,FW,Newcastle Utd,Premier League,31.0,1989.0,4.4,141.0,136.0,5.0,1.0,0.0,49.0,4.0,3,0.0,0.0,0.0,0.0,49.0,39.0,53.0,45.0,29.0,23.0,1.0,8.0,89.0,1.0,2.0,1.0,5.0,Andy Carroll
Scott Carson,ENG,GK,Manchester City,Premier League,34.0,1985.0,1.0,16.0,14.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,0.0,10.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,Scott Carson
Dani Carvajal,ESP,DF,Real Madrid,La Liga,28.0,1992.0,10.6,822.0,700.0,122.0,15.0,1.0,62.0,23.0,22,0.0,0.0,0.0,0.0,505.0,191.0,126.0,46.0,628.0,26.0,107.0,9.0,700.0,3.0,7.0,14.0,29.0,Dani Carvajal
Fabio Carvalho,ENG,MFFW,Fulham,Premier League,17.0,2002.0,2.8,86.0,80.0,6.0,0.0,0.0,14.0,0.0,2,0.0,0.0,0.0,0.0,71.0,7.0,8.0,11.0,70.0,3.0,0.0,2.0,67.0,0.0,2.0,3.0,7.0,Fabio Carvalho
William Carvalho,POR,MF,Betis,La Liga,28.0,1992.0,13.6,954.0,931.0,23.0,23.0,2.0,140.0,31.0,2,0.0,0.0,0.0,0.0,727.0,96.0,131.0,152.0,757.0,24.0,0.0,1.0,814.0,2.0,10.0,16.0,12.0,William Carvalho
Casemiro,BRA,MF,Real Madrid,La Liga,28.0,1992.0,32.2,1949.0,1899.0,50.0,46.0,2.0,295.0,89.0,13,0.0,0.0,0.0,0.0,1371.0,249.0,329.0,225.0,1550.0,96.0,3.0,19.0,1632.0,9.0,35.0,30.0,41.0,Casemiro
Matty Cash,ENG,DF,Aston Villa,Premier League,22.0,1997.0,26.4,1298.0,1041.0,257.0,33.0,1.0,144.0,30.0,62,0.0,0.0,0.0,0.0,663.0,239.0,396.0,108.0,862.0,84.0,224.0,0.0,959.0,3.0,36.0,30.0,24.0,Matty Cash
Kiko Casilla,ESP,GK,Leeds United,Premier League,33.0,1986.0,3.0,94.0,58.0,36.0,5.0,0.0,4.0,2.0,0,0.0,0.0,0.0,0.0,66.0,5.0,23.0,1.0,71.0,0.0,0.0,21.0,82.0,0.0,2.0,3.0,0.0,Kiko Casilla
Giuseppe Caso,ITA,MF,Genoa,Serie A,21.0,1998.0,0.6,17.0,17.0,0.0,0.0,0.0,3.0,0.0,1,0.0,0.0,0.0,0.0,10.0,5.0,2.0,1.0,14.0,1.0,0.0,1.0,9.0,0.0,0.0,1.0,4.0,Giuseppe Caso
Moreto Cassamã,GNB,MF,Reims,Ligue 1,22.0,1998.0,22.6,1392.0,1335.0,57.0,51.0,4.0,176.0,78.0,6,6.0,1.0,5.0,0.0,1060.0,141.0,191.0,103.0,1263.0,19.0,0.0,4.0,1215.0,3.0,40.0,28.0,9.0,Moreto Cassama
Francesco Cassata,ITA,DF,Genoa,Serie A,23.0,1997.0,2.3,93.0,75.0,18.0,0.0,0.0,17.0,5.0,4,0.0,0.0,0.0,0.0,56.0,21.0,16.0,4.0,69.0,1.0,18.0,0.0,69.0,0.0,4.0,2.0,6.0,Francesco Cassata
Timothy Castagne,BEL,DF,Leicester City,Premier League,24.0,1995.0,26.1,1512.0,1331.0,181.0,15.0,5.0,164.0,15.0,37,0.0,0.0,0.0,0.0,972.0,261.0,279.0,167.0,1062.0,91.0,166.0,6.0,1267.0,4.0,15.0,33.0,43.0,Timothy Castagne
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,28.0,1992.0,32.0,1248.0,992.0,256.0,53.0,0.0,83.0,27.0,0,0.0,0.0,0.0,0.0,690.0,49.0,509.0,835.0,214.0,0.0,0.0,158.0,939.0,2.0,19.0,3.0,4.0,Koen Casteels
Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,25.0,1995.0,21.6,751.0,695.0,56.0,42.0,0.0,77.0,14.0,2,0.0,0.0,0.0,0.0,542.0,62.0,147.0,61.0,605.0,50.0,14.0,1.0,633.0,1.0,15.0,5.0,13.0,Jean Charles Castelletto
Samu Castillejo,ESP,FW,Milan,Serie A,25.0,1995.0,13.1,463.0,438.0,25.0,9.0,1.0,85.0,13.0,28,7.0,2.0,0.0,0.0,357.0,45.0,61.0,378.0,64.0,7.0,9.0,1.0,365.0,2.0,4.0,16.0,18.0,Samu Castillejo
Gonzalo Castro,GER,MFFW,Stuttgart,Bundesliga,33.0,1987.0,19.2,905.0,779.0,126.0,47.0,3.0,161.0,30.0,27,54.0,14.0,25.0,11.0,612.0,124.0,169.0,105.0,737.0,19.0,25.0,6.0,675.0,4.0,13.0,21.0,45.0,Gonzalo Castro
Jonny Castro,ESP,DF,Wolves,Premier League,26.0,1994.0,5.5,239.0,184.0,55.0,3.0,0.0,37.0,3.0,6,0.0,0.0,0.0,0.0,128.0,74.0,37.0,44.0,122.0,13.0,52.0,3.0,188.0,0.0,7.0,12.0,10.0,Jonny Castro
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,23.0,1997.0,25.9,774.0,742.0,32.0,16.0,2.0,143.0,33.0,30,6.0,0.0,2.0,4.0,551.0,114.0,109.0,126.0,610.0,11.0,10.0,7.0,598.0,7.0,13.0,13.0,38.0,Gaetano Castrovilli
Danilo Cataldi,ITA,MF,Lazio,Serie A,25.0,1994.0,6.3,432.0,388.0,44.0,19.0,0.0,57.0,19.0,12,20.0,12.0,5.0,1.0,294.0,54.0,84.0,85.0,327.0,11.0,3.0,4.0,356.0,1.0,3.0,8.0,5.0,Danilo Cataldi
Ivan Cavaleiro,POR,FWMF,Fulham,Premier League,26.0,1993.0,27.5,834.0,755.0,79.0,27.0,1.0,169.0,31.0,70,40.0,10.0,19.0,10.0,551.0,101.0,182.0,108.0,650.0,33.0,7.0,9.0,600.0,3.0,15.0,29.0,36.0,Ivan Cavaleiro
Edinson Cavani,URU,FW,Manchester Utd,Premier League,33.0,1987.0,15.3,343.0,330.0,13.0,0.0,2.0,55.0,7.0,5,0.0,0.0,0.0,0.0,247.0,47.0,49.0,55.0,269.0,10.0,3.0,5.0,270.0,0.0,5.0,15.0,11.0,Edinson Cavani
Dani Ceballos,ESP,MF,Arsenal,Premier League,23.0,1996.0,17.9,1286.0,1234.0,52.0,26.0,7.0,151.0,45.0,13,17.0,6.0,6.0,2.0,967.0,152.0,167.0,73.0,1164.0,31.0,8.0,5.0,1112.0,1.0,17.0,26.0,28.0,Dani Ceballos
Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,28.0,1992.0,19.3,911.0,857.0,54.0,39.0,1.0,119.0,25.0,10,0.0,0.0,0.0,0.0,583.0,130.0,198.0,287.0,501.0,60.0,15.0,2.0,745.0,6.0,21.0,15.0,9.0,Federico Ceccherini
Federico Ceccherini,ITA,DF,Fiorentina,Serie A,28.0,1992.0,3.0,111.0,105.0,6.0,6.0,0.0,11.0,6.0,0,0.0,0.0,0.0,0.0,82.0,13.0,16.0,23.0,77.0,8.0,0.0,0.0,97.0,0.0,1.0,1.0,0.0,Federico Ceccherini
Zeki Çelik,TUR,DF,Lille,Ligue 1,23.0,1997.0,26.5,1657.0,1359.0,298.0,22.0,0.0,163.0,26.0,46,0.0,0.0,0.0,0.0,1027.0,308.0,322.0,129.0,1191.0,39.0,275.0,3.0,1308.0,5.0,22.0,38.0,65.0,Zeki Celik
Bersant Celina,KVX,MFFW,Dijon,Ligue 1,23.0,1996.0,25.5,1092.0,954.0,138.0,59.0,10.0,156.0,59.0,48,64.0,29.0,29.0,4.0,750.0,117.0,225.0,112.0,935.0,30.0,7.0,5.0,844.0,5.0,16.0,31.0,29.0,Bersant Celina
Fabien Centonze,FRA,DF,Metz,Ligue 1,24.0,1996.0,35.8,1769.0,1417.0,352.0,24.0,0.0,205.0,27.0,94,0.0,0.0,0.0,0.0,1035.0,369.0,365.0,240.0,1098.0,68.0,328.0,7.0,1381.0,2.0,31.0,38.0,55.0,Fabien Centonze
