Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_SHORT,Att_SHORT,Cmp%_SHORT,Cmp_MED,Att_MED,Cmp%_MED,Cmp_LONG,Att_LONG,Cmp%_LONG,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Name_no_spec_chars
Paolo Bartolomei,ITA,MF,Spezia,Serie A,30.0,1989.0,3.6,92.0,127.0,72.4,1574.0,336.0,43.0,49.0,87.8,37.0,47.0,78.7,8.0,23.0,34.8,1,0.3,0.7,5.0,10.0,3.0,1.0,10.0,Paolo Bartolomei
Marc Bartra,ESP,DF,Betis,La Liga,29.0,1991.0,18.8,782.0,963.0,81.2,17193.0,4822.0,222.0,240.0,92.5,412.0,471.0,87.5,143.0,242.0,59.1,1,0.8,0.2,3.0,34.0,1.0,0.0,30.0,Marc Bartra
Daniele Baselli,ITA,MF,Torino,Serie A,28.0,1992.0,4.4,170.0,226.0,75.2,3365.0,1116.0,70.0,87.0,80.5,62.0,79.0,78.5,31.0,45.0,68.9,0,0.6,-0.6,9.0,20.0,4.0,0.0,25.0,Daniele Baselli
Chris Basham,ENG,DFMF,Sheffield Utd,Premier League,32.0,1988.0,28.6,900.0,1105.0,81.4,16284.0,4713.0,404.0,451.0,89.6,377.0,444.0,84.9,105.0,169.0,62.1,1,0.8,0.2,10.0,54.0,15.0,7.0,62.0,Chris Basham
Toma Bašić,CRO,MF,Bordeaux,Ligue 1,23.0,1996.0,28.9,1069.0,1300.0,82.2,21063.0,4311.0,407.0,447.0,91.1,496.0,547.0,90.7,153.0,264.0,58.0,1,1.9,-0.9,26.0,75.0,18.0,5.0,81.0,Toma Basic
Álvaro Bastida,ESP,MF,Cádiz,La Liga,16.0,2004.0,0.4,5.0,10.0,50.0,99.0,45.0,2.0,3.0,66.7,2.0,2.0,100.0,1.0,4.0,25.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Alvaro Bastida
Alessandro Bastoni,ITA,DF,Inter,Serie A,21.0,1999.0,32.5,2059.0,2291.0,89.9,41596.0,11363.0,726.0,765.0,94.9,972.0,1035.0,93.9,325.0,432.0,75.2,3,1.8,1.2,11.0,165.0,17.0,3.0,125.0,Alessandro Bastoni
Simone Bastoni,ITA,DF,Spezia,Serie A,23.0,1996.0,16.9,807.0,1066.0,75.7,15013.0,5268.0,366.0,411.0,89.1,304.0,372.0,81.7,120.0,224.0,53.6,7,3.4,3.6,30.0,52.0,26.0,8.0,77.0,Simone Bastoni
Bastos,ANG,DF,Lazio,Serie A,29.0,1991.0,0.7,39.0,42.0,92.9,647.0,160.0,18.0,20.0,90.0,16.0,17.0,94.1,3.0,3.0,100.0,0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,Bastos
Michy Batshuayi,BEL,FW,Crystal Palace,Premier League,26.0,1993.0,8.1,118.0,168.0,70.2,1722.0,350.0,63.0,81.0,77.8,39.0,55.0,70.9,8.0,10.0,80.0,1,1.4,-0.4,7.0,7.0,4.0,1.0,11.0,Michy Batshuayi
