Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_SHORT,Att_SHORT,Cmp%_SHORT,Cmp_MED,Att_MED,Cmp%_MED,Cmp_LONG,Att_LONG,Cmp%_LONG,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Name_no_spec_chars
Benjamin Bourigeaud,FRA,MFFW,Rennes,Ligue 1,26.0,1994.0,28.4,1453.0,1880.0,77.3,29341.0,7909.0,593.0,674.0,88.0,566.0,659.0,85.9,266.0,472.0,56.4,5,5.3,-0.3,62.0,149.0,42.0,7.0,178.0,Benjamin Bourigeaud
Edoardo Bove,ITA,MF,Roma,Serie A,18.0,2002.0,0.1,12.0,12.0,100.0,223.0,34.0,6.0,6.0,100.0,4.0,4.0,100.0,2.0,2.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Edoardo Bove
Jarrod Bowen,ENG,FWMF,West Ham,Premier League,23.0,1996.0,28.5,499.0,734.0,68.0,9687.0,2148.0,214.0,280.0,76.4,191.0,243.0,78.6,83.0,166.0,50.0,5,4.6,0.4,28.0,22.0,22.0,9.0,37.0,Jarrod Bowen
Dedryck Boyata,BEL,DF,Hertha BSC,Bundesliga,29.0,1990.0,17.2,911.0,1025.0,88.9,22792.0,4618.0,125.0,145.0,86.2,533.0,563.0,94.7,250.0,302.0,82.8,0,0.7,-0.7,5.0,33.0,2.0,0.0,32.0,Dedryck Boyata
John Boye,GHA,DF,Metz,Ligue 1,33.0,1987.0,33.8,1044.0,1203.0,86.8,23000.0,7111.0,287.0,308.0,93.2,546.0,587.0,93.0,204.0,291.0,70.1,2,0.2,1.8,4.0,28.0,0.0,0.0,32.0,John Boye
Lucas Boyé,ARG,FW,Elche,La Liga,24.0,1996.0,29.9,521.0,660.0,78.9,8115.0,1189.0,299.0,353.0,84.7,152.0,186.0,81.7,47.0,64.0,73.4,2,1.0,1.0,11.0,45.0,7.0,1.0,31.0,Lucas Boye
Can Bozdogan,GER,MF,Schalke 04,Bundesliga,19.0,2001.0,7.2,168.0,225.0,74.7,2930.0,622.0,76.0,89.0,85.4,74.0,90.0,82.2,15.0,33.0,45.5,2,0.5,1.5,5.0,6.0,2.0,2.0,10.0,Can Bozdogan
Umut Bozok,TUR,FWMF,Lorient,Ligue 1,23.0,1996.0,0.7,17.0,27.0,63.0,289.0,37.0,5.0,11.0,45.5,10.0,14.0,71.4,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Umut Bozok
Jayden Braaf,NED,FW,Udinese,Serie A,17.0,2002.0,1.3,23.0,31.0,74.2,344.0,45.0,11.0,13.0,84.6,8.0,11.0,72.7,2.0,2.0,100.0,0,0.1,-0.1,2.0,0.0,1.0,0.0,2.0,Jayden Braaf
Domagoj Bradarić,CRO,DF,Lille,Ligue 1,20.0,1999.0,14.0,730.0,908.0,80.4,12136.0,3682.0,371.0,406.0,91.4,296.0,350.0,84.6,52.0,125.0,41.6,2,1.3,0.7,12.0,43.0,12.0,6.0,53.0,Domagoj Bradaric
Robbie Brady,IRL,MF,Burnley,Premier League,28.0,1992.0,11.7,266.0,393.0,67.7,4703.0,1627.0,133.0,161.0,82.6,88.0,129.0,68.2,34.0,78.0,43.6,1,0.9,0.1,7.0,23.0,6.0,4.0,32.0,Robbie Brady
Martin Braithwaite,DEN,FW,Barcelona,La Liga,29.0,1991.0,13.1,230.0,283.0,81.3,3069.0,366.0,152.0,170.0,89.4,57.0,79.0,72.2,13.0,18.0,72.2,2,2.0,0.0,10.0,7.0,6.0,0.0,9.0,Martin Braithwaite
Julian Brandt,GER,FWMF,Dortmund,Bundesliga,24.0,1996.0,16.6,768.0,912.0,84.2,13300.0,3145.0,368.0,428.0,86.0,281.0,324.0,86.7,93.0,111.0,83.8,2,2.8,-0.8,30.0,60.0,31.0,3.0,87.0,Julian Brandt
Darko Brašanac,SRB,MF,Osasuna,La Liga,28.0,1992.0,10.1,229.0,315.0,72.7,3658.0,868.0,118.0,138.0,85.5,90.0,126.0,71.4,14.0,24.0,58.3,0,0.2,-0.2,6.0,25.0,7.0,2.0,27.0,Darko Brasanac
Lilian Brassier,FRA,DF,Brest,Ligue 1,20.0,1999.0,10.7,555.0,669.0,83.0,12523.0,4039.0,149.0,161.0,92.5,281.0,298.0,94.3,117.0,194.0,60.3,1,1.2,-0.2,5.0,55.0,7.0,0.0,49.0,Lilian Brassier
Álvaro Bravo,ESP,MF,Granada,La Liga,22.0,1998.0,0.2,8.0,11.0,72.7,126.0,19.0,4.0,6.0,66.7,4.0,5.0,80.0,0.0,0.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Alvaro Bravo
Claudio Bravo,CHI,GK,Betis,La Liga,37.0,1983.0,20.0,422.0,649.0,65.0,13912.0,8906.0,75.0,76.0,98.7,156.0,156.0,100.0,186.0,412.0,45.1,0,0.3,-0.3,3.0,13.0,0.0,0.0,0.0,Claudio Bravo
Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,25.0,1995.0,1.0,27.0,36.0,75.0,595.0,321.0,7.0,7.0,100.0,10.0,10.0,100.0,8.0,17.0,47.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fabian Bredlow
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,22.0,1998.0,20.2,639.0,849.0,75.3,12543.0,3049.0,249.0,310.0,80.3,270.0,329.0,82.1,103.0,159.0,64.8,3,3.4,-0.4,37.0,51.0,27.0,7.0,84.0,Josip Brekalo
Gleison Bremer,BRA,DF,Torino,Serie A,23.0,1997.0,32.6,1346.0,1595.0,84.4,29085.0,9310.0,396.0,430.0,92.1,694.0,760.0,91.3,239.0,363.0,65.8,0,0.5,-0.5,7.0,74.0,3.0,0.0,69.0,Gleison Bremer
Joshua Brenet,NED,DF,Hoffenheim,Bundesliga,26.0,1994.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Joshua Brenet
Rhian Brewster,ENG,FW,Sheffield Utd,Premier League,20.0,2000.0,12.5,156.0,225.0,69.3,2629.0,649.0,86.0,111.0,77.5,47.0,68.0,69.1,20.0,33.0,60.6,0,1.7,-1.7,8.0,13.0,4.0,2.0,14.0,Rhian Brewster
Anthony Briançon,FRA,DF,Nîmes,Ligue 1,25.0,1994.0,13.6,729.0,840.0,86.8,18558.0,5941.0,162.0,178.0,91.0,331.0,355.0,93.2,230.0,297.0,77.4,0,0.2,-0.2,4.0,46.0,5.0,0.0,52.0,Anthony Briancon
Jimmy Briand,FRA,FW,Bordeaux,Ligue 1,34.0,1985.0,6.3,123.0,166.0,74.1,1631.0,188.0,71.0,94.0,75.5,38.0,45.0,84.4,4.0,9.0,44.4,2,0.1,1.9,2.0,5.0,0.0,0.0,4.0,Jimmy Briand
Yan Brice Eteki,CMR,MF,Granada,La Liga,22.0,1997.0,14.7,278.0,357.0,77.9,4886.0,944.0,128.0,149.0,85.9,119.0,142.0,83.8,28.0,52.0,53.8,0,0.0,0.0,2.0,25.0,2.0,1.0,24.0,Yan Brice Eteki
Nathan Broadhead,WAL,MF,Everton,Premier League,22.0,1998.0,0.0,2.0,2.0,100.0,21.0,2.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nathan Broadhead
Dylan Bronn,TUN,DF,Metz,Ligue 1,25.0,1995.0,37.9,1497.0,1773.0,84.4,33678.0,11593.0,409.0,440.0,93.0,745.0,800.0,93.1,323.0,499.0,64.7,0,0.4,-0.4,7.0,113.0,8.0,1.0,87.0,Dylan Bronn
John Brooks,USA,DF,Wolfsburg,Bundesliga,27.0,1993.0,30.8,1584.0,1869.0,84.8,39489.0,11502.0,255.0,295.0,86.4,893.0,980.0,91.1,421.0,569.0,74.0,0,0.5,-0.5,5.0,114.0,6.0,0.0,123.0,John Brooks
Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,32.0,1988.0,15.9,532.0,839.0,63.4,10565.0,5544.0,197.0,238.0,82.8,250.0,347.0,72.0,79.0,225.0,35.1,1,2.4,-1.4,24.0,44.0,21.0,9.0,71.0,Daniel Brosinski
Josh Brownhill,ENG,MF,Burnley,Premier League,24.0,1995.0,31.3,938.0,1187.0,79.0,14887.0,3376.0,488.0,559.0,87.3,326.0,402.0,81.1,80.0,152.0,52.6,1,1.1,-0.1,19.0,66.0,17.0,2.0,66.0,Josh Brownhill
Marcelo Brozović,CRO,MF,Inter,Serie A,27.0,1992.0,28.7,2000.0,2273.0,88.0,41515.0,11652.0,677.0,735.0,92.1,946.0,1026.0,92.2,360.0,463.0,77.8,6,4.3,1.7,45.0,235.0,43.0,10.0,204.0,Marcelo Brozovic
Gastón Brugman,URU,MF,Parma,Serie A,27.0,1992.0,18.0,907.0,1090.0,83.2,20195.0,5253.0,253.0,294.0,86.1,459.0,507.0,90.5,186.0,263.0,70.7,1,2.4,-1.4,25.0,80.0,11.0,0.0,100.0,Gaston Brugman
Juan Brunet,ARG,MF,Granada,La Liga,22.0,1998.0,0.3,7.0,8.0,87.5,76.0,30.0,6.0,6.0,100.0,1.0,2.0,50.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Juan Brunet
Juan Brunetta,ARG,FWMF,Parma,Serie A,23.0,1997.0,5.3,152.0,189.0,80.4,3081.0,559.0,53.0,61.0,86.9,73.0,85.0,85.9,23.0,35.0,65.7,2,0.7,1.3,7.0,14.0,2.0,0.0,11.0,Juan Brunetta
Cédric Brunner,SUI,DF,Arminia,Bundesliga,26.0,1994.0,29.5,1029.0,1442.0,71.4,20801.0,8397.0,368.0,421.0,87.4,472.0,596.0,79.2,177.0,377.0,46.9,1,1.1,-0.1,17.0,79.0,29.0,15.0,93.0,Cedric Brunner
Jacob Bruun Larsen,DEN,FW,Hoffenheim,Bundesliga,21.0,1998.0,1.0,15.0,19.0,78.9,203.0,7.0,11.0,13.0,84.6,3.0,3.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jacob Bruun Larsen
Bryan,ESP,FW,Sevilla,La Liga,19.0,2001.0,0.1,5.0,7.0,71.4,68.0,9.0,3.0,4.0,75.0,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bryan
Bryan,ESP,MFFW,Eibar,La Liga,19.0,2001.0,25.2,695.0,1018.0,68.3,11265.0,3623.0,403.0,474.0,85.0,215.0,307.0,70.0,64.0,171.0,37.4,3,5.2,-2.2,52.0,45.0,53.0,18.0,88.0,Bryan
Joe Bryan,ENG,DFFW,Fulham,Premier League,26.0,1993.0,7.4,295.0,420.0,70.2,5236.0,2212.0,147.0,172.0,85.5,112.0,143.0,78.3,31.0,83.0,37.3,0,0.4,-0.4,6.0,23.0,5.0,2.0,27.0,Joe Bryan
Kean Bryan,ENG,DF,Sheffield Utd,Premier League,23.0,1996.0,11.2,323.0,443.0,72.9,6614.0,3041.0,118.0,129.0,91.5,147.0,179.0,82.1,50.0,115.0,43.5,0,0.4,-0.4,4.0,27.0,3.0,1.0,22.0,Kean Bryan
Lucas Buadés,FRA,MF,Nîmes,Ligue 1,22.0,1997.0,0.2,2.0,5.0,40.0,20.0,4.0,2.0,4.0,50.0,0.0,0.0,,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Lucas Buades
Ante Budimir,CRO,FW,Osasuna,La Liga,29.0,1991.0,18.1,251.0,400.0,62.8,3391.0,620.0,154.0,227.0,67.8,68.0,114.0,59.6,12.0,21.0,57.1,0,0.6,-0.6,8.0,20.0,5.0,0.0,22.0,Ante Budimir
Gianluigi Buffon,ITA,GK,Juventus,Serie A,42.0,1978.0,8.0,258.0,304.0,84.9,6266.0,3393.0,65.0,65.0,100.0,122.0,122.0,100.0,67.0,113.0,59.3,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Gianluigi Buffon
Marius Bülter,GER,FWMF,Union Berlin,Bundesliga,27.0,1993.0,10.9,199.0,321.0,62.0,3596.0,954.0,89.0,124.0,71.8,80.0,116.0,69.0,24.0,46.0,52.2,0,1.2,-1.2,11.0,12.0,13.0,8.0,15.0,Marius Bulter
Alessandro Buongiorno,ITA,DF,Torino,Serie A,21.0,1999.0,9.5,360.0,423.0,85.1,6932.0,1920.0,124.0,136.0,91.2,184.0,200.0,92.0,45.0,74.0,60.8,0,0.0,0.0,0.0,31.0,1.0,0.0,21.0,Alessandro Buongiorno
Esteban Burgos,ARG,DF,Eibar,La Liga,28.0,1992.0,12.3,417.0,547.0,76.2,11228.0,2783.0,76.0,93.0,81.7,190.0,234.0,81.2,149.0,211.0,70.6,1,0.1,0.9,2.0,23.0,0.0,0.0,27.0,Esteban Burgos
Burgui,ESP,MF,Alavés,La Liga,26.0,1993.0,0.2,8.0,9.0,88.9,131.0,45.0,5.0,5.0,100.0,2.0,2.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Burgui
Jonathan Burkardt,GER,FWDF,Mainz 05,Bundesliga,20.0,2000.0,15.3,283.0,400.0,70.8,4664.0,1192.0,133.0,169.0,78.7,108.0,146.0,74.0,29.0,49.0,59.2,0,1.5,-1.5,11.0,22.0,7.0,1.0,33.0,Jonathan Burkardt
Nishan Burkart,SUI,MF,Freiburg,Bundesliga,20.0,2000.0,0.2,4.0,6.0,66.7,53.0,21.0,1.0,3.0,33.3,2.0,2.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nishan Burkart
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,23.0,1997.0,14.1,185.0,262.0,70.6,2434.0,326.0,114.0,147.0,77.6,52.0,67.0,77.6,5.0,12.0,41.7,1,1.8,-0.8,13.0,5.0,8.0,1.0,11.0,Oliver Burke
Roman Bürki,SUI,GK,Dortmund,Bundesliga,29.0,1990.0,18.5,515.0,629.0,81.9,14019.0,7874.0,90.0,90.0,100.0,263.0,264.0,99.6,162.0,274.0,59.1,0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,Roman Burki
Dan Burn,ENG,DF,Brighton,Premier League,28.0,1992.0,22.9,952.0,1242.0,76.7,16883.0,5286.0,399.0,488.0,81.8,477.0,572.0,83.4,66.0,142.0,46.5,0,1.0,-1.0,9.0,73.0,15.0,5.0,77.0,Dan Burn
Patrick Burner,FRA,DF,Nice,Ligue 1,24.0,1996.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Patrick Burner
Patrick Burner,FRA,DF,Nîmes,Ligue 1,24.0,1996.0,14.6,526.0,676.0,77.8,9131.0,3701.0,255.0,286.0,89.2,218.0,254.0,85.8,48.0,114.0,42.1,0,0.3,-0.3,9.0,29.0,4.0,3.0,45.0,Patrick Burner
Maxime Busi,BEL,DF,Parma,Serie A,20.0,1999.0,13.3,658.0,789.0,83.4,12824.0,4644.0,261.0,286.0,91.3,298.0,338.0,88.2,91.0,144.0,63.2,1,1.4,-0.4,7.0,53.0,16.0,7.0,72.0,Maxime Busi
Sergio Busquets,ESP,MF,Barcelona,La Liga,32.0,1988.0,28.0,2484.0,2715.0,91.5,44164.0,11775.0,1104.0,1173.0,94.1,1055.0,1124.0,93.9,265.0,332.0,79.8,5,3.6,1.4,30.0,293.0,33.0,0.0,218.0,Sergio Busquets
Jack Butland,ENG,GK,Crystal Palace,Premier League,27.0,1993.0,1.0,6.0,21.0,28.6,258.0,207.0,2.0,2.0,100.0,0.0,0.0,,4.0,19.0,21.1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Jack Butland
David Button,ENG,GK,West Brom,Premier League,31.0,1989.0,1.0,16.0,37.0,43.2,687.0,484.0,2.0,2.0,100.0,2.0,2.0,100.0,12.0,33.0,36.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Button
Oskar Buur,DEN,DF,Wolves,Premier League,22.0,1998.0,0.2,14.0,15.0,93.3,201.0,47.0,9.0,9.0,100.0,5.0,5.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Oskar Buur
Marcin Bułka,POL,GK,Paris S-G,Ligue 1,20.0,1999.0,1.0,25.0,30.0,83.3,532.0,329.0,4.0,4.0,100.0,18.0,19.0,94.7,3.0,7.0,42.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marcin Bulka
Erick Cabaco,URU,DF,Getafe,La Liga,25.0,1995.0,14.7,297.0,439.0,67.7,8673.0,3473.0,65.0,83.0,78.3,114.0,150.0,76.0,114.0,195.0,58.5,0,0.0,0.0,0.0,38.0,0.0,0.0,34.0,Erick Cabaco
Willy Caballero,ARG,GK,Chelsea,Premier League,38.0,1981.0,1.0,24.0,26.0,92.3,496.0,302.0,8.0,8.0,100.0,13.0,13.0,100.0,3.0,5.0,60.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Willy Caballero
Jimmy Cabot,FRA,FWMF,Angers,Ligue 1,26.0,1994.0,10.5,319.0,428.0,74.5,5539.0,1458.0,162.0,194.0,83.5,119.0,159.0,74.8,34.0,58.0,58.6,1,1.3,-0.3,11.0,20.0,10.0,3.0,28.0,Jimmy Cabot
Martín Cáceres,URU,DF,Fiorentina,Serie A,33.0,1987.0,24.9,824.0,1037.0,79.5,17113.0,6280.0,283.0,322.0,87.9,385.0,448.0,85.9,143.0,228.0,62.7,2,1.1,0.9,11.0,73.0,14.0,9.0,87.0,Martin Caceres
Anthony Caci,FRA,DF,Strasbourg,Ligue 1,23.0,1997.0,31.1,1469.0,1883.0,78.0,30943.0,12972.0,556.0,633.0,87.8,632.0,755.0,83.7,262.0,437.0,60.0,2,1.7,0.3,16.0,122.0,34.0,18.0,159.0,Anthony Caci
Mathieu Cafaro,FRA,MFFW,Reims,Ligue 1,23.0,1997.0,23.0,513.0,823.0,62.3,10199.0,2694.0,219.0,284.0,77.1,205.0,284.0,72.2,78.0,212.0,36.8,2,2.0,0.0,19.0,35.0,21.0,6.0,63.0,Mathieu Cafaro
Gary Cahill,ENG,DF,Crystal Palace,Premier League,34.0,1985.0,20.0,590.0,697.0,84.6,12855.0,4415.0,164.0,191.0,85.9,328.0,351.0,93.4,94.0,148.0,63.5,1,0.7,0.3,8.0,34.0,1.0,0.0,34.0,Gary Cahill
Yannick Cahuzac,FRA,MF,Lens,Ligue 1,35.0,1985.0,25.0,755.0,896.0,84.3,13515.0,2822.0,323.0,366.0,88.3,341.0,394.0,86.5,79.0,109.0,72.5,0,0.6,-0.6,12.0,57.0,16.0,3.0,67.0,Yannick Cahuzac
Felipe Caicedo,ECU,FW,Lazio,Serie A,31.0,1988.0,10.3,200.0,267.0,74.9,2833.0,644.0,121.0,146.0,82.9,56.0,79.0,70.9,12.0,18.0,66.7,0,0.7,-0.7,11.0,21.0,4.0,0.0,19.0,Felipe Caicedo
Marc-Aurèle Caillard,FRA,GK,Metz,Ligue 1,26.0,1994.0,4.0,65.0,101.0,64.4,1948.0,1317.0,13.0,13.0,100.0,27.0,29.0,93.1,23.0,56.0,41.1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Marc Aurele Caillard
Tom Cairney,SCO,MF,Fulham,Premier League,29.0,1991.0,8.4,551.0,621.0,88.7,11165.0,2009.0,214.0,227.0,94.3,227.0,247.0,91.9,100.0,128.0,78.1,1,1.4,-0.4,20.0,61.0,10.0,5.0,32.0,Tom Cairney
Cala,ESP,DF,Cádiz,La Liga,30.0,1989.0,25.2,508.0,688.0,73.8,13594.0,4275.0,89.0,108.0,82.4,250.0,287.0,87.1,164.0,282.0,58.2,0,0.3,-0.3,4.0,36.0,2.0,0.0,24.0,Cala
Arturo Calabresi,ITA,DFFW,Bologna,Serie A,24.0,1996.0,0.2,4.0,6.0,66.7,110.0,74.0,0.0,0.0,,3.0,4.0,75.0,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Arturo Calabresi
Arturo Calabresi,ITA,DF,Cagliari,Serie A,24.0,1996.0,0.2,14.0,18.0,77.8,241.0,84.0,6.0,8.0,75.0,7.0,7.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Arturo Calabresi
Davide Calabria,ITA,DF,Milan,Serie A,23.0,1996.0,29.4,1396.0,1785.0,78.2,26433.0,10745.0,583.0,640.0,91.1,594.0,725.0,81.9,189.0,353.0,53.5,1,1.8,-0.8,20.0,152.0,37.0,13.0,176.0,Davide Calabria
Riccardo Calafiori,ITA,DF,Roma,Serie A,18.0,2002.0,0.7,35.0,45.0,77.8,597.0,175.0,16.0,19.0,84.2,18.0,21.0,85.7,1.0,1.0,100.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Riccardo Calafiori
Mattia Caldara,ITA,DF,Atalanta,Serie A,26.0,1994.0,1.2,50.0,54.0,92.6,1240.0,286.0,13.0,14.0,92.9,20.0,20.0,100.0,17.0,18.0,94.4,0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,Mattia Caldara
Luca Caldirola,ITA,DF,Benevento,Serie A,29.0,1991.0,17.5,654.0,772.0,84.7,13903.0,4975.0,200.0,213.0,93.9,339.0,375.0,90.4,110.0,175.0,62.9,0,0.2,-0.2,3.0,40.0,5.0,2.0,40.0,Luca Caldirola
Duje Ćaleta-Car,CRO,DF,Marseille,Ligue 1,23.0,1996.0,31.3,1632.0,1878.0,86.9,35472.0,12296.0,498.0,542.0,91.9,846.0,904.0,93.6,277.0,415.0,66.7,1,1.0,0.0,7.0,93.0,4.0,0.0,82.0,Duje Caleta Car
Hakan Çalhanoğlu,TUR,MFFW,Milan,Serie A,26.0,1994.0,29.0,1273.0,1645.0,77.4,24001.0,7303.0,598.0,681.0,87.8,430.0,523.0,82.2,205.0,361.0,56.8,9,8.8,0.2,100.0,117.0,60.0,11.0,168.0,Hakan Calhanoglu
Kerim Calhanoglu,GER,DF,Schalke 04,Bundesliga,17.0,2002.0,3.3,88.0,137.0,64.2,1585.0,517.0,37.0,49.0,75.5,44.0,59.0,74.6,7.0,22.0,31.8,0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,Kerim Calhanoglu
Fabrizio Caligara,ITA,MF,Cagliari,Serie A,20.0,2000.0,2.0,53.0,68.0,77.9,962.0,243.0,20.0,25.0,80.0,25.0,30.0,83.3,7.0,11.0,63.6,0,0.1,-0.1,1.0,2.0,1.0,0.0,3.0,Fabrizio Caligara
Daniel Caligiuri,ITA,MFFW,Augsburg,Bundesliga,32.0,1988.0,29.6,822.0,1191.0,69.0,15925.0,6675.0,368.0,438.0,84.0,292.0,398.0,73.4,137.0,279.0,49.1,4,3.7,0.3,48.0,61.0,33.0,9.0,94.0,Daniel Caligiuri
José Callejón,ESP,FWMF,Fiorentina,Serie A,33.0,1987.0,7.4,211.0,284.0,74.3,3671.0,781.0,107.0,124.0,86.3,79.0,103.0,76.7,20.0,35.0,57.1,1,1.3,-0.3,5.0,15.0,10.0,4.0,19.0,Jose Callejon
Jonathan Calleri,ARG,FW,Osasuna,La Liga,26.0,1993.0,17.2,218.0,355.0,61.4,3399.0,690.0,115.0,170.0,67.6,81.0,122.0,66.4,12.0,32.0,37.5,2,1.3,0.7,10.0,18.0,8.0,1.0,26.0,Jonathan Calleri
Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,23.0,1997.0,31.9,479.0,669.0,71.6,7196.0,1149.0,284.0,369.0,77.0,131.0,193.0,67.9,44.0,53.0,83.0,0,2.0,-2.0,17.0,27.0,11.0,1.0,36.0,Dominic Calvert Lewin
Dani Calvo,ESP,DF,Elche,La Liga,26.0,1994.0,19.8,640.0,743.0,86.1,13799.0,4334.0,185.0,196.0,94.4,339.0,360.0,94.2,109.0,174.0,62.6,0,0.0,0.0,0.0,25.0,0.0,0.0,26.0,Dani Calvo
Drissa Camara,CIV,MF,Parma,Serie A,18.0,2002.0,0.2,7.0,9.0,77.8,100.0,0.0,4.0,5.0,80.0,3.0,4.0,75.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Drissa Camara
Mahdi Camara,FRA,MFDF,Saint-Étienne,Ligue 1,22.0,1998.0,36.6,1449.0,1679.0,86.3,25838.0,6377.0,653.0,726.0,89.9,588.0,643.0,91.4,160.0,225.0,71.1,2,1.6,0.4,25.0,113.0,27.0,11.0,104.0,Mahdi Camara
Eduardo Camavinga,FRA,MF,Rennes,Ligue 1,17.0,2002.0,26.7,1447.0,1621.0,89.3,25971.0,5323.0,643.0,705.0,91.2,631.0,691.0,91.3,152.0,178.0,85.4,2,1.3,0.7,19.0,156.0,15.0,1.0,99.0,Eduardo Camavinga
José Campaña,ESP,MF,Levante,La Liga,27.0,1993.0,8.3,387.0,504.0,76.8,6912.0,2652.0,185.0,216.0,85.6,144.0,173.0,83.2,48.0,92.0,52.2,2,1.4,0.6,12.0,44.0,22.0,4.0,64.0,Jose Campana
Emre Can,GER,DFMF,Dortmund,Bundesliga,26.0,1994.0,23.7,1585.0,1816.0,87.3,33589.0,9708.0,499.0,553.0,90.2,803.0,872.0,92.1,272.0,367.0,74.1,4,2.4,1.6,17.0,130.0,19.0,2.0,120.0,Emre Can
Sergio Canales,ESP,MFFW,Betis,La Liga,29.0,1991.0,27.8,1478.0,1745.0,84.7,30106.0,5804.0,601.0,665.0,90.4,560.0,632.0,88.6,274.0,366.0,74.9,6,5.1,0.9,61.0,111.0,46.0,11.0,115.0,Sergio Canales
João Cancelo,POR,DF,Manchester City,Premier League,26.0,1994.0,25.5,1795.0,2094.0,85.7,31794.0,8986.0,852.0,923.0,92.3,731.0,832.0,87.9,190.0,276.0,68.8,3,4.9,-1.9,44.0,135.0,69.0,9.0,166.0,Joao Cancelo
Antonio Candreva,ITA,MF,Sampdoria,Serie A,33.0,1987.0,27.8,1099.0,1629.0,67.5,22297.0,8444.0,473.0,546.0,86.6,399.0,532.0,75.0,205.0,466.0,44.0,8,5.8,2.2,62.0,117.0,65.0,21.0,186.0,Antonio Candreva
Álex Cantero,ESP,FW,Levante,La Liga,20.0,2000.0,2.6,,,,,,,,,,,,,,,0,,,,,,,,Alex Cantero
Ander Capa,ESP,DF,Athletic Club,La Liga,28.0,1992.0,23.7,915.0,1201.0,76.2,15968.0,6125.0,415.0,476.0,87.2,405.0,501.0,80.8,75.0,160.0,46.9,1,1.6,-0.6,16.0,58.0,19.0,5.0,94.0,Ander Capa
Pierrick Capelle,FRA,MFDF,Angers,Ligue 1,33.0,1987.0,22.8,966.0,1176.0,82.1,16297.0,4862.0,487.0,544.0,89.5,367.0,425.0,86.4,94.0,151.0,62.3,3,1.3,1.7,18.0,55.0,10.0,4.0,77.0,Pierrick Capelle
Étienne Capoue,FRA,MF,Villarreal,La Liga,32.0,1988.0,13.2,680.0,748.0,90.9,12405.0,2967.0,294.0,314.0,93.6,305.0,323.0,94.4,75.0,99.0,75.8,0,0.1,-0.1,3.0,70.0,5.0,0.0,52.0,Etienne Capoue
Elio Capradossi,ITA,DF,Spezia,Serie A,24.0,1996.0,1.0,34.0,41.0,82.9,643.0,86.0,8.0,9.0,88.9,22.0,24.0,91.7,3.0,7.0,42.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Elio Capradossi
Gianluca Caprari,ITA,MFFW,Benevento,Serie A,27.0,1993.0,20.7,501.0,696.0,72.0,8670.0,2337.0,239.0,274.0,87.2,172.0,230.0,74.8,65.0,136.0,47.8,6,3.2,2.8,32.0,37.0,23.0,6.0,54.0,Gianluca Caprari
