Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Touches_Live,Drib_Succ,Drib_Att,Drib_Succ%,Drib_Past,Megs,Carries,TotDist,PrgDist,Prog_Carries,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog_Rec,Name_no_spec_chars
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26.0,1994.0,33.0,1266.0,54.0,131.0,643.0,548.0,170.0,1207.0,14.0,27.0,51.9,15.0,1.0,655.0,2702.0,1326.0,71.0,21.0,17.0,92.0,36.0,1618.0,949.0,58.7,254.0,Ludovic Ajorque
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25.0,1995.0,26.1,2349.0,235.0,1053.0,1371.0,102.0,32.0,2293.0,13.0,15.0,86.7,13.0,0.0,1705.0,10361.0,5660.0,165.0,19.0,3.0,4.0,6.0,1829.0,1794.0,98.1,3.0,Manuel Akanji
Carlos Akapo,EQG,DF,Cádiz,La Liga,27.0,1993.0,9.6,462.0,46.0,202.0,208.0,74.0,3.0,354.0,10.0,12.0,83.3,10.0,0.0,163.0,1119.0,574.0,28.0,7.0,1.0,5.0,5.0,166.0,154.0,92.8,8.0,Carlos Akapo
Marley Aké,FRA,FW,Marseille,Ligue 1,19.0,2001.0,1.6,65.0,1.0,10.0,27.0,29.0,8.0,63.0,4.0,7.0,57.1,5.0,0.0,41.0,207.0,119.0,6.0,0.0,2.0,3.0,8.0,100.0,47.0,47.0,15.0,Marley Ake
Nathan Aké,NED,DF,Manchester City,Premier League,25.0,1995.0,8.9,821.0,42.0,222.0,583.0,83.0,5.0,796.0,0.0,0.0,,0.0,0.0,607.0,3010.0,1847.0,70.0,27.0,0.0,3.0,2.0,671.0,656.0,97.8,2.0,Nathan Ake
Paul Akouokou,CIV,MF,Betis,La Liga,22.0,1997.0,4.2,216.0,14.0,56.0,151.0,23.0,0.0,215.0,3.0,4.0,75.0,3.0,2.0,146.0,812.0,351.0,10.0,1.0,0.0,1.0,4.0,152.0,144.0,94.7,2.0,Paul Akouokou
Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,Serie A,27.0,1992.0,11.7,518.0,22.0,122.0,291.0,143.0,24.0,500.0,19.0,26.0,73.1,19.0,4.0,332.0,1613.0,695.0,28.0,10.0,3.0,17.0,18.0,364.0,286.0,78.6,39.0,Jean Daniel Akpa Akpro
Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,25.0,1995.0,13.2,869.0,87.0,398.0,474.0,56.0,9.0,815.0,7.0,11.0,63.6,8.0,2.0,579.0,2927.0,1603.0,40.0,8.0,2.0,8.0,3.0,602.0,584.0,97.0,7.0,Kevin Akpoguma
David Alaba,AUT,DFMF,Bayern Munich,Bundesliga,28.0,1992.0,29.7,2516.0,171.0,908.0,1465.0,336.0,29.0,2423.0,14.0,16.0,87.5,15.0,2.0,1814.0,11662.0,5908.0,198.0,35.0,6.0,22.0,13.0,1936.0,1858.0,96.0,48.0,David Alaba
Sofiane Alakouch,FRA,DF,Nîmes,Ligue 1,22.0,1998.0,16.7,1142.0,56.0,374.0,566.0,249.0,14.0,948.0,22.0,34.0,64.7,23.0,1.0,657.0,2765.0,1713.0,67.0,21.0,4.0,13.0,21.0,670.0,620.0,92.5,24.0,Sofiane Alakouch
Jony Álamo,ESP,MF,Elche,La Liga,18.0,2001.0,0.8,25.0,1.0,12.0,11.0,3.0,1.0,25.0,1.0,1.0,100.0,1.0,0.0,19.0,97.0,35.0,1.0,0.0,0.0,0.0,2.0,13.0,13.0,100.0,1.0,Jony Alamo
Lucas Alario,ARG,FW,Leverkusen,Bundesliga,27.0,1992.0,13.8,469.0,11.0,39.0,209.0,245.0,79.0,452.0,20.0,26.0,76.9,21.0,0.0,315.0,1062.0,312.0,13.0,6.0,4.0,41.0,21.0,652.0,365.0,56.0,144.0,Lucas Alario
Jordi Alba,ESP,DF,Barcelona,La Liga,31.0,1989.0,33.6,3210.0,93.0,687.0,1312.0,1371.0,123.0,2944.0,17.0,37.0,45.9,24.0,7.0,2164.0,7771.0,4082.0,169.0,45.0,16.0,22.0,14.0,2601.0,2419.0,93.0,193.0,Jordi Alba
