Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Cristiano Biraghi,ITA,DF,Fiorentina,Serie A,27.0,1992.0,31.1,1,25,6,24.0,0.8,0.19,0.04,0.17,20.1,7.0,0,0,2.0,2.0,0.08,-1.0,-1.0,Cristiano Biraghi
Davide Biraschi,ITA,DF,Genoa,Serie A,26.0,1994.0,10.2,0,2,0,0.0,0.2,0.0,0.0,,23.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Davide Biraschi
Yves Bissouma,MLI,MF,Brighton,Premier League,23.0,1996.0,34.6,1,42,3,7.1,1.22,0.09,0.02,0.33,25.3,2.0,0,0,1.2,1.2,0.03,-0.2,-0.2,Yves Bissouma
Leonardo Bittencourt,GER,MFFW,Werder Bremen,Bundesliga,26.0,1993.0,16.8,4,42,10,23.8,2.5,0.59,0.07,0.3,20.8,7.0,1,1,4.4,3.7,0.09,-0.4,-0.7,Leonardo Bittencourt
Blanco,ESP,MFDF,Real Madrid,La Liga,20.0,2000.0,2.4,0,2,0,0.0,0.82,0.0,0.0,,29.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Blanco
Alejandro Blanco,ESP,MF,Valencia,La Liga,21.0,1998.0,6.4,1,7,2,28.6,1.09,0.31,0.14,0.5,15.6,0.0,0,0,0.8,0.8,0.11,0.2,0.2,Alejandro Blanco
Rubén Blanco,ESP,GK,Celta Vigo,La Liga,25.0,1995.0,18.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Ruben Blanco
Ludovic Blas,FRA,MFFW,Nantes,Ligue 1,22.0,1997.0,31.0,10,72,24,33.3,2.33,0.78,0.14,0.42,19.0,0.0,0,0,6.6,6.6,0.09,3.4,3.4,Ludovic Blas
Alejandro Blesa,ESP,MF,Levante,La Liga,18.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Alejandro Blesa
Jérôme Boateng,GER,DF,Bayern Munich,Bundesliga,31.0,1988.0,26.3,1,8,3,37.5,0.3,0.11,0.13,0.33,18.2,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Jerome Boateng
Antonin Bobichon,FRA,MFFW,Angers,Ligue 1,24.0,1995.0,10.1,0,22,3,13.6,2.17,0.3,0.0,0.0,22.8,3.0,0,0,1.1,1.1,0.05,-1.1,-1.1,Antonin Bobichon
Yann Bodiger,FRA,MF,Cádiz,La Liga,25.0,1995.0,2.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Yann Bodiger
Jean-Paul Boëtius,NED,MFFW,Mainz 05,Bundesliga,26.0,1994.0,22.9,2,29,9,31.0,1.26,0.39,0.07,0.22,19.3,0.0,0,0,2.8,2.8,0.1,-0.8,-0.8,Jean Paul Boetius
Sacha Boey,FRA,DF,Dijon,Ligue 1,19.0,2000.0,20.7,0,10,1,10.0,0.48,0.05,0.0,0.0,23.9,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Sacha Boey
Sacha Boey,FRA,DF,Rennes,Ligue 1,19.0,2000.0,1.4,0,1,0,0.0,0.73,0.0,0.0,,14.2,0.0,0,0,0.1,0.1,0.12,-0.1,-0.1,Sacha Boey
Jeremie Boga,CIV,FWMF,Sassuolo,Serie A,23.0,1997.0,19.8,4,33,15,45.5,1.66,0.76,0.12,0.27,15.4,0.0,0,0,3.6,3.6,0.11,0.4,0.4,Jeremie Boga
Melayro Bogarde,NED,DFMF,Hoffenheim,Bundesliga,18.0,2002.0,3.1,0,4,2,50.0,1.3,0.65,0.0,0.0,21.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Melayro Bogarde
Jayden Bogle,ENG,DF,Sheffield Utd,Premier League,20.0,2000.0,12.3,2,17,7,41.2,1.38,0.57,0.12,0.29,12.3,0.0,0,0,1.8,1.8,0.1,0.2,0.2,Jayden Bogle
Quentin Boisgard,FRA,MFFW,Lorient,Ligue 1,23.0,1997.0,14.6,2,24,7,29.2,1.64,0.48,0.08,0.29,21.1,3.0,0,0,1.9,1.9,0.08,0.1,0.1,Quentin Boisgard
Willy Boly,CIV,DF,Wolves,Premier League,29.0,1991.0,20.9,1,14,3,21.4,0.67,0.14,0.07,0.33,12.1,0.0,0,0,1.1,1.1,0.08,-0.1,-0.1,Willy Boly
Giacomo Bonaventura,ITA,MF,Fiorentina,Serie A,30.0,1989.0,25.1,3,43,11,25.6,1.72,0.44,0.07,0.27,19.6,1.0,0,0,2.8,2.8,0.06,0.2,0.2,Giacomo Bonaventura
Federico Bonazzoli,ITA,FW,Torino,Serie A,23.0,1997.0,6.3,2,21,6,28.6,3.35,0.96,0.1,0.33,16.7,0.0,0,0,1.6,1.6,0.07,0.4,0.4,Federico Bonazzoli
Federico Bonazzoli,ITA,FW,Sampdoria,Serie A,23.0,1997.0,1.5,0,4,0,0.0,2.75,0.0,0.0,,21.1,0.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Federico Bonazzoli
Kevin Bonifazi,ITA,DF,Udinese,Serie A,24.0,1996.0,27.4,0,17,0,0.0,0.62,0.0,0.0,,13.8,0.0,0,0,1.4,1.4,0.08,-1.4,-1.4,Kevin Bonifazi
Leonardo Bonucci,ITA,DF,Juventus,Serie A,33.0,1987.0,22.5,2,16,3,18.8,0.71,0.13,0.13,0.67,12.9,0.0,0,0,2.7,2.7,0.18,-0.7,-0.7,Leonardo Bonucci
Elias Bördner,GER,GK,Eint Frankfurt,Bundesliga,18.0,2002.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Elias Bordner
Dennis Borkowski,GER,MF,RB Leipzig,Bundesliga,18.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Dennis Borkowski
Sebastiaan Bornauw,BEL,DF,Köln,Bundesliga,21.0,1999.0,23.1,1,15,4,26.7,0.65,0.17,0.07,0.25,8.8,0.0,0,0,1.3,1.3,0.09,-0.3,-0.3,Sebastiaan Bornauw
Sven Botman,NED,DF,Lille,Ligue 1,20.0,2000.0,36.8,0,16,5,31.3,0.44,0.14,0.0,0.0,13.8,1.0,0,0,1.0,1.0,0.06,-1.0,-1.0,Sven Botman
Denis Bouanga,GAB,MFFW,Saint-Étienne,Ligue 1,25.0,1994.0,30.2,7,97,35,36.1,3.21,1.16,0.04,0.11,18.9,4.0,3,4,12.2,9.2,0.1,-5.2,-5.2,Denis Bouanga
Hicham Boudaoui,ALG,MFFW,Nice,Ligue 1,20.0,1999.0,19.3,3,16,9,56.3,0.83,0.47,0.19,0.33,19.2,0.0,0,0,2.3,2.3,0.15,0.7,0.7,Hicham Boudaoui
