Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Name_no_spec_chars
Francesco Cassata,ITA,DF,Genoa,Serie A,23.0,1997.0,2.3,0,1,1,100.0,0.44,0.44,0.0,0.0,25.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Francesco Cassata
Timothy Castagne,BEL,DF,Leicester City,Premier League,24.0,1995.0,26.1,2,8,3,37.5,0.31,0.12,0.25,0.67,10.3,0.0,0,0,1.3,1.3,0.16,0.7,0.7,Timothy Castagne
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,28.0,1992.0,32.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Koen Casteels
Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,25.0,1995.0,21.6,1,8,4,50.0,0.37,0.18,0.13,0.25,6.3,0.0,0,0,1.7,1.7,0.23,-0.7,-0.7,Jean Charles Castelletto
Samu Castillejo,ESP,FW,Milan,Serie A,25.0,1995.0,13.1,1,25,7,28.0,1.91,0.53,0.04,0.14,17.7,1.0,0,0,2.0,2.0,0.08,-1.0,-1.0,Samu Castillejo
Gonzalo Castro,GER,MFFW,Stuttgart,Bundesliga,33.0,1987.0,19.2,4,31,11,35.5,1.61,0.57,0.13,0.36,18.2,2.0,0,0,3.3,3.3,0.11,0.7,0.7,Gonzalo Castro
Jonny Castro,ESP,DF,Wolves,Premier League,26.0,1994.0,5.5,0,1,0,0.0,0.18,0.0,0.0,,16.3,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Jonny Castro
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,23.0,1997.0,25.9,5,33,14,42.4,1.27,0.54,0.15,0.36,16.7,0.0,0,0,3.5,3.5,0.11,1.5,1.5,Gaetano Castrovilli
Danilo Cataldi,ITA,MF,Lazio,Serie A,25.0,1994.0,6.3,0,6,2,33.3,0.95,0.32,0.0,0.0,19.0,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Danilo Cataldi
Ivan Cavaleiro,POR,FWMF,Fulham,Premier League,26.0,1993.0,27.5,3,46,16,34.8,1.67,0.58,0.04,0.13,17.4,1.0,1,2,5.4,4.7,0.1,-2.4,-2.7,Ivan Cavaleiro
Edinson Cavani,URU,FW,Manchester Utd,Premier League,33.0,1987.0,15.3,10,35,15,42.9,2.29,0.98,0.29,0.67,11.1,0.0,0,0,7.4,7.4,0.21,2.6,2.6,Edinson Cavani
Dani Ceballos,ESP,MF,Arsenal,Premier League,23.0,1996.0,17.9,0,12,2,16.7,0.67,0.11,0.0,0.0,21.7,1.0,0,0,0.7,0.7,0.06,-0.7,-0.7,Dani Ceballos
Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,28.0,1992.0,19.3,0,11,0,0.0,0.57,0.0,0.0,,8.8,0.0,0,0,0.9,0.9,0.09,-0.9,-0.9,Federico Ceccherini
Federico Ceccherini,ITA,DF,Fiorentina,Serie A,28.0,1992.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Federico Ceccherini
Zeki Çelik,TUR,DF,Lille,Ligue 1,23.0,1997.0,26.5,3,16,6,37.5,0.6,0.23,0.19,0.5,20.6,0.0,0,0,0.8,0.8,0.05,2.2,2.2,Zeki Celik
Bersant Celina,KVX,MFFW,Dijon,Ligue 1,23.0,1996.0,25.5,0,24,5,20.8,0.94,0.2,0.0,0.0,22.0,4.0,0,0,1.5,1.5,0.06,-1.5,-1.5,Bersant Celina
Fabien Centonze,FRA,DF,Metz,Ligue 1,24.0,1996.0,35.8,1,25,7,28.0,0.7,0.2,0.04,0.14,22.7,0.0,0,0,1.2,1.2,0.05,-0.2,-0.2,Fabien Centonze
Luca Ceppitelli,ITA,DF,Cagliari,Serie A,30.0,1989.0,16.3,0,7,1,14.3,0.43,0.06,0.0,0.0,10.1,0.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Luca Ceppitelli
Alberto Cerri,ITA,FW,Cagliari,Serie A,24.0,1996.0,4.1,1,16,6,37.5,3.9,1.46,0.06,0.17,10.0,0.0,0,0,2.5,2.5,0.16,-1.5,-1.5,Alberto Cerri
Sava Cestic,SRB,DF,Köln,Bundesliga,19.0,2001.0,10.0,0,1,0,0.0,0.1,0.0,0.0,,5.0,0.0,0,0,0.1,0.1,0.11,-0.1,-0.1,Sava Cestic
Julian Chabot,GER,DF,Spezia,Serie A,22.0,1998.0,18.4,1,9,2,22.2,0.49,0.11,0.11,0.5,8.9,0.0,0,0,0.6,0.6,0.07,0.4,0.4,Julian Chabot
Nassim Chadli,FRA,FWMF,Nîmes,Ligue 1,19.0,2001.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Nassim Chadli
Fouad Chafik,MAR,DF,Dijon,Ligue 1,33.0,1986.0,18.0,1,5,1,20.0,0.28,0.06,0.2,1.0,24.6,0.0,0,0,0.2,0.2,0.03,0.8,0.8,Fouad Chafik
Mehdi Chahiri,MAR,FWMF,Strasbourg,Ligue 1,24.0,1996.0,8.9,2,21,7,33.3,2.36,0.79,0.1,0.29,19.7,0.0,0,0,1.9,1.9,0.09,0.1,0.1,Mehdi Chahiri
Sofian Chakla,MAR,DF,Villarreal,La Liga,26.0,1993.0,0.1,0,1,0,0.0,6.92,0.0,0.0,,11.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Sofian Chakla
Sofian Chakla,MAR,DF,Getafe,La Liga,26.0,1993.0,10.0,0,3,1,33.3,0.3,0.1,0.0,0.0,8.3,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Sofian Chakla
Aníbal Chalá,ECU,DF,Dijon,Ligue 1,24.0,1996.0,8.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Anibal Chala
Trevoh Chalobah,ENG,DFMF,Lorient,Ligue 1,21.0,1999.0,24.9,2,14,3,21.4,0.56,0.12,0.14,0.67,12.1,0.0,0,0,1.9,1.9,0.14,0.1,0.1,Trevoh Chalobah
Calum Chambers,ENG,DF,Arsenal,Premier League,25.0,1995.0,8.4,0,8,0,0.0,0.96,0.0,0.0,,15.5,0.0,0,0,0.6,0.6,0.07,-0.6,-0.6,Calum Chambers
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,30.0,1990.0,4.8,1,6,2,33.3,1.25,0.42,0.17,0.5,15.0,0.0,0,0,0.9,0.9,0.15,0.1,0.1,Timothy Chandler
Kwon Chang-hoon,KOR,MFFW,Freiburg,Bundesliga,26.0,1994.0,2.4,0,3,0,0.0,1.25,0.0,0.0,,13.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Kwon Chang hoon
Gaëtan Charbonnier,FRA,MFFW,Brest,Ligue 1,31.0,1988.0,17.4,6,34,12,35.3,1.95,0.69,0.15,0.42,14.7,3.0,1,1,5.7,5.0,0.15,0.3,0.0,Gaetan Charbonnier
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,25.0,1994.0,30.2,3,20,9,45.0,0.66,0.3,0.15,0.33,11.1,0.0,0,0,2.4,2.4,0.12,0.6,0.6,Brendan Chardonnet
Xavier Chavalerin,FRA,MF,Reims,Ligue 1,29.0,1991.0,28.3,0,22,6,27.3,0.78,0.21,0.0,0.0,20.6,0.0,0,0,1.2,1.2,0.05,-1.2,-1.2,Xavier Chavalerin
Pape Cheikh Diop,SEN,MF,Dijon,Ligue 1,22.0,1997.0,12.1,0,6,0,0.0,0.5,0.0,0.0,,19.6,0.0,0,0,0.4,0.4,0.07,-0.4,-0.4,Pape Cheikh Diop
Chema,ESP,DFMF,Getafe,La Liga,28.0,1992.0,6.2,0,3,1,33.3,0.48,0.16,0.0,0.0,29.5,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Chema
Rayan Cherki,FRA,FWMF,Lyon,Ligue 1,16.0,2003.0,7.8,1,16,5,31.3,2.06,0.64,0.06,0.2,17.9,0.0,0,0,1.0,1.0,0.06,0.0,0.0,Rayan Cherki
Denis Cheryshev,RUS,MF,Valencia,La Liga,29.0,1990.0,12.2,0,21,5,23.8,1.72,0.41,0.0,0.0,18.6,0.0,0,0,1.5,1.5,0.07,-1.5,-1.5,Denis Cheryshev
Giorgio Chiellini,ITA,DF,Juventus,Serie A,35.0,1984.0,15.4,0,6,0,0.0,0.39,0.0,0.0,,10.8,0.0,0,0,0.6,0.6,0.1,-0.6,-0.6,Giorgio Chiellini
Federico Chiesa,ITA,DF,Fiorentina,Serie A,22.0,1997.0,2.7,1,9,1,11.1,3.38,0.37,0.11,1.0,17.7,0.0,0,0,0.7,0.7,0.08,0.3,0.3,Federico Chiesa
Federico Chiesa,ITA,MFDF,Juventus,Serie A,22.0,1997.0,24.6,8,60,25,41.7,2.44,1.02,0.13,0.32,17.7,0.0,0,0,6.0,6.0,0.1,2.0,2.0,Federico Chiesa
Ben Chilwell,ENG,DF,Chelsea,Premier League,23.0,1996.0,25.4,3,27,10,37.0,1.06,0.39,0.11,0.3,14.0,0.0,0,0,2.4,2.4,0.09,0.6,0.6,Ben Chilwell
Vlad Chiricheș,ROU,DF,Sassuolo,Serie A,30.0,1989.0,20.4,2,11,3,27.3,0.54,0.15,0.18,0.67,13.5,0.0,0,0,1.1,1.1,0.1,0.9,0.9,Vlad Chiriches
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,23.0,1997.0,25.3,0,9,2,22.2,0.36,0.08,0.0,0.0,20.6,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,Pedro Chirivella
Tahith Chong,NED,FWMF,Werder Bremen,Bundesliga,20.0,1999.0,4.3,0,9,1,11.1,2.1,0.23,0.0,0.0,20.7,0.0,0,0,0.3,0.3,0.03,-0.3,-0.3,Tahith Chong
Joris Chotard,FRA,MF,Montpellier,Ligue 1,18.0,2001.0,12.9,0,8,3,37.5,0.62,0.23,0.0,0.0,17.4,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,Joris Chotard
Hamza Choudhury,ENG,MF,Leicester City,Premier League,22.0,1997.0,3.5,0,4,1,25.0,1.14,0.28,0.0,0.0,19.3,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Hamza Choudhury
Mounir Chouiar,FRA,FWMF,Dijon,Ligue 1,21.0,1999.0,14.3,0,23,5,21.7,1.61,0.35,0.0,0.0,21.1,4.0,0,1,2.0,1.2,0.05,-2.0,-1.2,Mounir Chouiar
Andreas Christensen,DEN,DF,Chelsea,Premier League,24.0,1996.0,15.2,0,3,0,0.0,0.2,0.0,0.0,,11.1,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Andreas Christensen
Carney Chukwuemeka,ENG,FWMF,Aston Villa,Premier League,16.0,2004.0,0.2,0,1,0,0.0,4.5,0.0,0.0,,22.0,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Carney Chukwuemeka
Samuel Chukwueze,NGA,MFFW,Villarreal,La Liga,21.0,1999.0,15.2,4,31,10,32.3,2.04,0.66,0.13,0.4,16.6,0.0,0,0,3.5,3.5,0.11,0.5,0.5,Samuel Chukwueze
Darko Churlinov,MKD,DFFW,Stuttgart,Bundesliga,20.0,2000.0,2.4,0,3,0,0.0,1.25,0.0,0.0,,19.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Darko Churlinov
Víctor Chust,ESP,DF,Real Madrid,La Liga,20.0,2000.0,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Victor Chust
Sébastien Cibois,FRA,GK,Brest,Ligue 1,22.0,1998.0,3.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sebastien Cibois
Cifu,ESP,DF,Elche,La Liga,29.0,1990.0,5.0,0,3,0,0.0,0.6,0.0,0.0,,22.4,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Cifu
Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41.0,1979.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Alberto Cifuentes
Luca Cigarini,ITA,MF,Crotone,Serie A,34.0,1986.0,10.3,0,16,2,12.5,1.55,0.19,0.0,0.0,27.4,4.0,0,0,0.6,0.6,0.04,-0.6,-0.6,Luca Cigarini
Jasper Cillessen,NED,GK,Valencia,La Liga,31.0,1989.0,10.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Jasper Cillessen
Antonio Cioffi,ITA,FW,Napoli,Serie A,17.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Antonio Cioffi
Tim Civeja,GER,MFDF,Augsburg,Bundesliga,18.0,2002.0,0.4,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Tim Civeja
Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,30.0,1989.0,21.0,1,8,2,25.0,0.38,0.1,0.13,0.5,10.4,0.0,0,0,0.3,0.3,0.04,0.7,0.7,Ciaran Clark
Alexis Claude-Maurice,FRA,MFFW,Nice,Ligue 1,22.0,1998.0,21.2,4,33,15,45.5,1.55,0.71,0.12,0.27,18.2,3.0,0,0,4.0,4.0,0.13,0.0,0.0,Alexis Claude Maurice
Jonathan Clauss,FRA,DF,Lens,Ligue 1,27.0,1992.0,28.0,3,35,14,40.0,1.25,0.5,0.09,0.21,22.0,3.0,0,0,1.8,1.8,0.05,1.2,1.2,Jonathan Clauss
Carlos Clerc,ESP,DF,Levante,La Liga,28.0,1992.0,30.9,0,6,4,66.7,0.19,0.13,0.0,0.0,19.2,1.0,0,0,0.4,0.4,0.06,-0.4,-0.4,Carlos Clerc
Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29.0,1991.0,12.7,0,4,1,25.0,0.31,0.08,0.0,0.0,22.3,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Nathaniel Clyne
Conor Coady,ENG,DF,Wolves,Premier League,27.0,1993.0,36.7,1,8,2,25.0,0.22,0.05,0.13,0.5,10.6,0.0,0,0,1.3,1.3,0.16,-0.3,-0.3,Conor Coady
Marcus Coco,FRA,MFFW,Nantes,Ligue 1,24.0,1996.0,16.4,0,13,1,7.7,0.79,0.06,0.0,0.0,15.3,0.0,0,0,0.9,0.9,0.07,-0.9,-0.9,Marcus Coco
Coke,ESP,DF,Levante,La Liga,33.0,1987.0,9.3,0,10,2,20.0,1.08,0.22,0.0,0.0,17.5,1.0,0,0,0.4,0.4,0.04,-0.4,-0.4,Coke
Séamus Coleman,IRL,DFMF,Everton,Premier League,31.0,1988.0,17.9,0,12,4,33.3,0.67,0.22,0.0,0.0,19.1,0.0,0,0,1.2,1.2,0.1,-1.2,-1.2,Seamus Coleman
Ebrima Colley,GAM,FWMF,Hellas Verona,Serie A,20.0,2000.0,8.2,1,17,7,41.2,2.08,0.86,0.06,0.14,14.1,0.0,0,0,1.9,1.9,0.11,-0.9,-0.9,Ebrima Colley
Omar Colley,GAM,DF,Sampdoria,Serie A,27.0,1992.0,28.8,2,12,3,25.0,0.42,0.1,0.17,0.67,9.4,0.0,0,0,1.5,1.5,0.12,0.5,0.5,Omar Colley
Simone Colombi,ITA,GK,Parma,Serie A,29.0,1991.0,2.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Simone Colombi
Lorenzo Colombo,ITA,FW,Milan,Serie A,18.0,2002.0,1.0,0,3,1,33.3,2.87,0.96,0.0,0.0,13.0,0.0,0,0,0.6,0.6,0.2,-0.6,-0.6,Lorenzo Colombo
Racine Coly,SEN,DF,Nice,Ligue 1,24.0,1995.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Racine Coly
Kingsley Coman,FRA,FWMF,Bayern Munich,Bundesliga,24.0,1996.0,19.5,5,52,19,36.5,2.67,0.98,0.1,0.26,16.9,0.0,0,0,4.1,4.1,0.08,0.9,0.9,Kingsley Coman
Daniel Congré,FRA,DF,Montpellier,Ligue 1,35.0,1985.0,36.6,2,13,3,23.1,0.36,0.08,0.15,0.67,7.5,0.0,0,0,1.3,1.3,0.1,0.7,0.7,Daniel Congre
Aaron Connolly,IRL,FW,Brighton,Premier League,20.0,2000.0,8.8,2,23,8,34.8,2.62,0.91,0.09,0.25,13.7,0.0,0,0,3.5,3.5,0.15,-1.5,-1.5,Aaron Connolly
Andrea Consigli,ITA,GK,Sassuolo,Serie A,33.0,1987.0,37.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Andrea Consigli
Andrea Conti,ITA,DF,Milan,Serie A,26.0,1994.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Andrea Conti
Andrea Conti,ITA,DF,Parma,Serie A,26.0,1994.0,9.0,0,5,2,40.0,0.56,0.22,0.0,0.0,14.0,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Andrea Conti
Liam Cooper,SCO,DF,Leeds United,Premier League,28.0,1991.0,24.3,1,15,8,53.3,0.62,0.33,0.07,0.13,8.7,0.0,0,0,1.3,1.3,0.08,-0.3,-0.3,Liam Cooper
Francis Coquelin,FRA,MF,Villarreal,La Liga,29.0,1991.0,8.2,0,4,0,0.0,0.49,0.0,0.0,,18.2,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Francis Coquelin
Theo Corbeanu,CAN,FW,Wolves,Premier League,18.0,2002.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Theo Corbeanu
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29.0,1990.0,23.0,0,21,7,33.3,0.91,0.3,0.0,0.0,24.2,5.0,0,0,0.7,0.7,0.03,-0.7,-0.7,Sebastien Corchia
Alex Cordaz,ITA,GK,Crotone,Serie A,37.0,1983.0,36.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Alex Cordaz
Iñigo Córdoba,ESP,FWMF,Athletic Club,La Liga,23.0,1997.0,1.1,0,2,0,0.0,1.89,0.0,0.0,,16.6,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Inigo Cordoba
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23.0,1997.0,2.4,0,1,0,0.0,0.42,0.0,0.0,,17.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Inigo Cordoba
Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27.0,1993.0,17.1,7,50,19,38.0,2.93,1.11,0.14,0.37,12.6,0.0,0,0,7.4,7.4,0.15,-0.4,-0.4,Jhon Cordoba
Sergio Córdova,VEN,FWMF,Arminia,Bundesliga,22.0,1997.0,12.1,2,20,4,20.0,1.65,0.33,0.1,0.5,15.4,0.0,0,0,3.1,3.1,0.16,-1.1,-1.1,Sergio Cordova
Jack Cork,ENG,MF,Burnley,Premier League,31.0,1989.0,15.0,0,5,0,0.0,0.33,0.0,0.0,,19.8,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,Jack Cork
Andreas Cornelius,DEN,FW,Parma,Serie A,27.0,1993.0,21.1,1,31,7,22.6,1.47,0.33,0.03,0.14,11.3,0.0,0,0,2.3,2.3,0.08,-1.3,-1.3,Andreas Cornelius
Maxwel Cornet,CIV,DFFW,Lyon,Ligue 1,23.0,1996.0,27.2,2,22,11,50.0,0.81,0.4,0.09,0.18,16.8,2.0,0,0,2.5,2.5,0.12,-0.5,-0.5,Maxwel Cornet
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25.0,1995.0,26.6,9,53,23,43.4,1.99,0.87,0.17,0.39,17.0,0.0,0,0,7.6,7.4,0.14,1.4,1.6,Angel Correa
Joaquín Correa,ARG,FW,Lazio,Serie A,25.0,1994.0,21.5,8,54,22,40.7,2.51,1.02,0.13,0.32,13.4,0.0,1,1,8.3,7.8,0.14,-0.3,-0.8,Joaquin Correa
Rober Correa,ESP,DF,Eibar,La Liga,27.0,1992.0,12.6,0,6,0,0.0,0.48,0.0,0.0,,24.1,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Rober Correa
Félix Correia,POR,MF,Juventus,Serie A,19.0,2001.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Felix Correia
Thierry Correia,POR,DF,Valencia,La Liga,21.0,1999.0,23.7,1,8,2,25.0,0.34,0.08,0.13,0.5,17.1,0.0,0,0,1.0,1.0,0.12,0.0,0.0,Thierry Correia
Angelo da Costa Júnior,BRA,GK,Bologna,Serie A,36.0,1983.0,6.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Angelo da Costa Junior
Danny da Costa,GER,DF,Mainz 05,Bundesliga,27.0,1993.0,13.4,0,5,1,20.0,0.37,0.07,0.0,0.0,28.8,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Danny da Costa
Danny da Costa,GER,DF,Eint Frankfurt,Bundesliga,27.0,1993.0,1.2,0,3,0,0.0,2.45,0.0,0.0,,20.1,0.0,0,0,0.2,0.2,0.06,-0.2,-0.2,Danny da Costa
David Pereira da Costa,POR,MFFW,Lens,Ligue 1,19.0,2001.0,1.8,1,2,1,50.0,1.14,0.57,0.5,1.0,17.5,0.0,0,0,0.7,0.7,0.37,0.3,0.3,David Pereira da Costa
Diego Costa,ESP,FW,Atlético Madrid,La Liga,31.0,1988.0,2.3,2,4,2,50.0,1.73,0.87,0.25,0.5,13.1,0.0,1,1,1.4,0.6,0.16,0.6,0.4,Diego Costa
Douglas Costa,BRA,FWMF,Bayern Munich,Bundesliga,29.0,1990.0,3.6,1,4,2,50.0,1.13,0.56,0.25,0.5,20.2,0.0,0,0,0.1,0.1,0.04,0.9,0.9,Douglas Costa
Douglas Costa,BRA,MFFW,Juventus,Serie A,29.0,1990.0,0.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Douglas Costa
Hélder Costa,POR,MFFW,Leeds United,Premier League,26.0,1994.0,12.8,3,16,6,37.5,1.25,0.47,0.19,0.5,14.3,0.0,0,0,2.0,2.0,0.12,1.0,1.0,Helder Costa
Jaume Costa,ESP,DFMF,Villarreal,La Liga,32.0,1988.0,3.9,0,2,0,0.0,0.51,0.0,0.0,,15.2,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Jaume Costa
Charles Costes,FRA,MF,Dijon,Ligue 1,17.0,2002.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Charles Costes
Benoît Costil,FRA,GK,Bordeaux,Ligue 1,33.0,1987.0,38.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Benoit Costil
Vladimír Coufal,CZE,DF,West Ham,Premier League,27.0,1992.0,33.9,0,15,5,33.3,0.44,0.15,0.0,0.0,16.6,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,Vladimir Coufal
Kalifa Coulibaly,MLI,FW,Nantes,Ligue 1,28.0,1991.0,10.9,3,18,4,22.2,1.65,0.37,0.11,0.5,12.3,0.0,1,1,3.0,2.2,0.12,0.0,-0.2,Kalifa Coulibaly
Lassana Coulibaly,MLI,MFFW,Angers,Ligue 1,24.0,1996.0,18.7,1,14,4,28.6,0.75,0.21,0.07,0.25,23.3,0.0,0,0,0.7,0.7,0.05,0.3,0.3,Lassana Coulibaly
Mamadou Coulibaly,SEN,MF,Udinese,Serie A,21.0,1999.0,2.0,0,2,0,0.0,0.98,0.0,0.0,,20.5,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Mamadou Coulibaly
Senou Coulibaly,MLI,DF,Dijon,Ligue 1,25.0,1994.0,21.5,2,5,3,60.0,0.23,0.14,0.4,0.67,6.7,0.0,0,0,0.7,0.7,0.14,1.3,1.3,Senou Coulibaly
Tanguy Coulibaly,FRA,DFFW,Stuttgart,Bundesliga,19.0,2001.0,16.7,2,27,9,33.3,1.61,0.54,0.07,0.22,16.2,0.0,0,0,3.2,3.2,0.12,-1.2,-1.2,Tanguy Coulibaly
Thibaut Courtois,BEL,GK,Real Madrid,La Liga,28.0,1992.0,38.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Thibaut Courtois
Philippe Coutinho,BRA,MFFW,Barcelona,La Liga,28.0,1992.0,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.0,0.0,0,0,3.9,3.9,0.14,-1.9,-1.9,Philippe Coutinho
Nicolas Cozza,FRA,DF,Montpellier,Ligue 1,21.0,1999.0,15.2,0,1,0,0.0,0.07,0.0,0.0,,6.0,0.0,0,0,0.4,0.4,0.38,-0.4,-0.4,Nicolas Cozza
Alessio Cragno,ITA,GK,Cagliari,Serie A,26.0,1994.0,34.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Alessio Cragno
Gian Crespi,ITA,GK,Crotone,Serie A,19.0,2001.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Gian Crespi
Aaron Cresswell,ENG,DF,West Ham,Premier League,30.0,1989.0,35.2,0,19,4,21.1,0.54,0.11,0.0,0.0,24.6,11.0,0,0,0.9,0.9,0.05,-0.9,-0.9,Aaron Cresswell
Domenico Criscito,ITA,DF,Genoa,Serie A,33.0,1986.0,19.2,1,5,1,20.0,0.26,0.05,0.0,0.0,28.0,0.0,1,1,0.9,0.1,0.03,0.1,-0.1,Domenico Criscito
Bryan Cristante,ITA,DFMF,Roma,Serie A,25.0,1995.0,23.9,1,27,7,25.9,1.13,0.29,0.04,0.14,17.9,0.0,0,0,2.2,2.2,0.08,-1.2,-1.2,Bryan Cristante
Giovanni Crociata,ITA,DFMF,Crotone,Serie A,22.0,1997.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Giovanni Crociata
Juan Cruz Armada,ESP,DF,Osasuna,La Liga,28.0,1992.0,21.8,0,1,0,0.0,0.05,0.0,0.0,,20.1,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Juan Cruz Armada
Juan Cuadrado,COL,DFMF,Juventus,Serie A,32.0,1988.0,24.2,2,18,6,33.3,0.74,0.25,0.06,0.17,17.7,0.0,1,1,2.0,1.2,0.07,0.0,-0.2,Juan Cuadrado
Adrián Cubas,PAR,MF,Nîmes,Ligue 1,24.0,1996.0,24.9,1,11,5,45.5,0.44,0.2,0.09,0.2,23.5,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Adrian Cubas
Sergio Cubero Ezcurra,ESP,MF,Eibar,La Liga,20.0,1999.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Sergio Cubero Ezcurra
Cucho,COL,FWMF,Getafe,La Liga,21.0,1999.0,16.3,2,27,11,40.7,1.66,0.68,0.07,0.18,15.6,1.0,0,0,2.5,2.5,0.09,-0.5,-0.5,Cucho
Marc Cucurella,ESP,MF,Getafe,La Liga,22.0,1998.0,36.0,3,27,8,29.6,0.75,0.22,0.11,0.38,17.1,0.0,0,0,1.7,1.7,0.06,1.3,1.3,Marc Cucurella
Mickaël Cuisance,FRA,FW,Bayern Munich,Bundesliga,20.0,1999.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Mickael Cuisance
Mickaël Cuisance,FRA,MF,Marseille,Ligue 1,20.0,1999.0,11.4,2,9,3,33.3,0.79,0.26,0.22,0.67,17.3,1.0,0,0,0.9,0.9,0.1,1.1,1.1,Mickael Cuisance
