Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Yannick Carrasco,BEL,DFMF,Atlético Madrid,La Liga,26.0,1993.0,30,25,2179,24.2,6,10,6,0,0,6,0,0.25,0.41,0.66,0.25,0.66,6.0,6.0,5.6,11.6,0.25,0.23,0.48,0.25,0.48,Yannick Carrasco
Sergio Carreira,ESP,DF,Celta Vigo,La Liga,19.0,2000.0,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,0.4,0.4,0.0,0.4,0.13,0.0,0.13,0.13,0.13,Sergio Carreira
Guido Carrillo,ARG,FW,Elche,La Liga,29.0,1991.0,21,11,1002,11.1,3,2,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,2.7,2.7,1.3,4.0,0.24,0.11,0.36,0.24,0.36,Guido Carrillo
Andy Carroll,ENG,FW,Newcastle Utd,Premier League,31.0,1989.0,18,4,392,4.4,1,0,1,0,0,1,0,0.23,0.0,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29,Andy Carroll
Scott Carson,ENG,GK,Manchester City,Premier League,34.0,1985.0,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Scott Carson
Dani Carvajal,ESP,DF,Real Madrid,La Liga,28.0,1992.0,13,11,950,10.6,0,2,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19,0.6,0.6,0.8,1.4,0.05,0.08,0.13,0.05,0.13,Dani Carvajal
Fabio Carvalho,ENG,MFFW,Fulham,Premier League,17.0,2002.0,4,3,255,2.8,1,0,1,0,0,0,0,0.35,0.0,0.35,0.35,0.35,1.1,1.1,0.4,1.5,0.4,0.13,0.53,0.4,0.53,Fabio Carvalho
William Carvalho,POR,MF,Betis,La Liga,28.0,1992.0,27,12,1223,13.6,2,0,2,0,0,6,1,0.15,0.0,0.15,0.15,0.15,1.3,1.3,0.5,1.7,0.09,0.03,0.13,0.09,0.13,William Carvalho
Casemiro,BRA,MF,Real Madrid,La Liga,28.0,1992.0,34,32,2901,32.2,6,4,6,0,0,11,1,0.19,0.12,0.31,0.19,0.31,4.6,4.6,3.6,8.2,0.14,0.11,0.25,0.14,0.25,Casemiro
Matty Cash,ENG,DF,Aston Villa,Premier League,22.0,1997.0,28,28,2372,26.4,0,2,0,0,0,8,1,0.0,0.08,0.08,0.0,0.08,0.3,0.3,2.2,2.5,0.01,0.08,0.1,0.01,0.1,Matty Cash
Kiko Casilla,ESP,GK,Leeds United,Premier League,33.0,1986.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kiko Casilla
Giuseppe Caso,ITA,MF,Genoa,Serie A,21.0,1998.0,2,0,54,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Giuseppe Caso
Moreto Cassamã,GNB,MF,Reims,Ligue 1,22.0,1998.0,29,26,2031,22.6,1,1,1,0,0,8,3,0.04,0.04,0.09,0.04,0.09,0.3,0.3,0.8,1.1,0.01,0.04,0.05,0.01,0.05,Moreto Cassama
Francesco Cassata,ITA,DF,Genoa,Serie A,23.0,1997.0,7,2,204,2.3,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Francesco Cassata
Timothy Castagne,BEL,DF,Leicester City,Premier League,24.0,1995.0,27,27,2345,26.1,2,3,2,0,0,1,0,0.08,0.12,0.19,0.08,0.19,1.3,1.3,2.0,3.3,0.05,0.08,0.13,0.05,0.13,Timothy Castagne
Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,28.0,1992.0,32,32,2880,32.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koen Casteels
Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,25.0,1995.0,24,22,1947,21.6,1,0,1,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.7,1.7,0.1,1.7,0.08,0.0,0.08,0.08,0.08,Jean Charles Castelletto
Samu Castillejo,ESP,FW,Milan,Serie A,25.0,1995.0,28,12,1181,13.1,1,0,1,0,0,5,0,0.08,0.0,0.08,0.08,0.08,2.0,2.0,0.7,2.7,0.15,0.05,0.21,0.15,0.21,Samu Castillejo
Gonzalo Castro,GER,MFFW,Stuttgart,Bundesliga,33.0,1987.0,26,23,1729,19.2,4,2,4,0,0,9,0,0.21,0.1,0.31,0.21,0.31,3.3,3.3,3.0,6.4,0.17,0.16,0.33,0.17,0.33,Gonzalo Castro
Jonny Castro,ESP,DF,Wolves,Premier League,26.0,1994.0,7,7,495,5.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.03,0.04,0.01,0.04,Jonny Castro
Gaetano Castrovilli,ITA,MF,Fiorentina,Serie A,23.0,1997.0,34,29,2332,25.9,5,3,5,0,0,8,1,0.19,0.12,0.31,0.19,0.31,3.5,3.5,2.5,6.0,0.14,0.1,0.23,0.14,0.23,Gaetano Castrovilli
Danilo Cataldi,ITA,MF,Lazio,Serie A,25.0,1994.0,19,4,568,6.3,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.6,0.07,0.03,0.1,0.07,0.1,Danilo Cataldi
Ivan Cavaleiro,POR,FWMF,Fulham,Premier League,26.0,1993.0,36,27,2472,27.5,3,0,2,1,2,2,0,0.11,0.0,0.11,0.07,0.07,5.4,4.7,3.4,8.0,0.2,0.12,0.32,0.17,0.29,Ivan Cavaleiro
Edinson Cavani,URU,FW,Manchester Utd,Premier League,33.0,1987.0,26,13,1375,15.3,10,3,10,0,0,4,0,0.65,0.2,0.85,0.65,0.85,7.4,7.4,2.7,10.1,0.48,0.17,0.66,0.48,0.66,Edinson Cavani
Dani Ceballos,ESP,MF,Arsenal,Premier League,23.0,1996.0,25,17,1615,17.9,0,3,0,0,0,4,0,0.0,0.17,0.17,0.0,0.17,0.7,0.7,2.9,3.6,0.04,0.16,0.2,0.04,0.2,Dani Ceballos
Federico Ceccherini,ITA,DF,Hellas Verona,Serie A,28.0,1992.0,25,23,1738,19.3,0,0,0,0,0,8,0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.2,1.2,0.05,0.01,0.06,0.05,0.06,Federico Ceccherini
Federico Ceccherini,ITA,DF,Fiorentina,Serie A,28.0,1992.0,3,3,270,3.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Federico Ceccherini
Zeki Çelik,TUR,DF,Lille,Ligue 1,23.0,1997.0,29,28,2381,26.5,3,2,3,0,0,8,0,0.11,0.08,0.19,0.11,0.19,0.8,0.8,2.6,3.5,0.03,0.1,0.13,0.03,0.13,Zeki Celik
Bersant Celina,KVX,MFFW,Dijon,Ligue 1,23.0,1996.0,32,25,2298,25.5,0,5,0,0,0,5,1,0.0,0.2,0.2,0.0,0.2,1.5,1.5,4.5,5.9,0.06,0.17,0.23,0.06,0.23,Bersant Celina
Fabien Centonze,FRA,DF,Metz,Ligue 1,24.0,1996.0,36,36,3221,35.8,1,0,1,0,0,9,0,0.03,0.0,0.03,0.03,0.03,1.2,1.2,1.5,2.7,0.03,0.04,0.08,0.03,0.08,Fabien Centonze
Luca Ceppitelli,ITA,DF,Cagliari,Serie A,30.0,1989.0,19,16,1465,16.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.02,0.0,0.03,0.02,0.03,Luca Ceppitelli
Alberto Cerri,ITA,FW,Cagliari,Serie A,24.0,1996.0,23,3,369,4.1,1,0,1,0,0,1,0,0.24,0.0,0.24,0.24,0.24,2.5,2.5,0.8,3.4,0.61,0.2,0.82,0.61,0.82,Alberto Cerri
Sava Cestic,SRB,DF,Köln,Bundesliga,19.0,2001.0,11,11,899,10.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Sava Cestic
Julian Chabot,GER,DF,Spezia,Serie A,22.0,1998.0,25,19,1655,18.4,1,1,1,0,0,11,1,0.05,0.05,0.11,0.05,0.11,0.6,0.6,0.2,0.8,0.03,0.01,0.05,0.03,0.05,Julian Chabot
Nassim Chadli,FRA,FWMF,Nîmes,Ligue 1,19.0,2001.0,3,0,31,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nassim Chadli
Fouad Chafik,MAR,DF,Dijon,Ligue 1,33.0,1986.0,23,18,1622,18.0,1,0,1,0,0,5,0,0.06,0.0,0.06,0.06,0.06,0.2,0.2,0.7,0.8,0.01,0.04,0.05,0.01,0.05,Fouad Chafik
Mehdi Chahiri,MAR,FWMF,Strasbourg,Ligue 1,24.0,1996.0,23,8,801,8.9,2,0,2,0,0,0,0,0.22,0.0,0.22,0.22,0.22,1.9,1.9,1.3,3.2,0.22,0.14,0.36,0.22,0.36,Mehdi Chahiri
Sofian Chakla,MAR,DF,Villarreal,La Liga,26.0,1993.0,1,0,13,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.39,0.0,0.39,0.39,0.39,Sofian Chakla
Sofian Chakla,MAR,DF,Getafe,La Liga,26.0,1993.0,11,9,897,10.0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Sofian Chakla
Aníbal Chalá,ECU,DF,Dijon,Ligue 1,24.0,1996.0,13,9,744,8.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.02,0.02,0.0,0.02,Anibal Chala
Trevoh Chalobah,ENG,DFMF,Lorient,Ligue 1,21.0,1999.0,29,24,2237,24.9,2,2,2,0,0,5,0,0.08,0.08,0.16,0.08,0.16,1.9,1.9,0.9,2.8,0.08,0.04,0.11,0.08,0.11,Trevoh Chalobah
Calum Chambers,ENG,DF,Arsenal,Premier League,25.0,1995.0,10,8,753,8.4,0,2,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,0.6,0.6,1.1,1.7,0.07,0.14,0.21,0.07,0.21,Calum Chambers
Timothy Chandler,USA,DF,Eint Frankfurt,Bundesliga,30.0,1990.0,15,3,432,4.8,1,0,1,0,0,2,0,0.21,0.0,0.21,0.21,0.21,0.9,0.9,0.3,1.2,0.18,0.07,0.25,0.18,0.25,Timothy Chandler
Kwon Chang-hoon,KOR,MFFW,Freiburg,Bundesliga,26.0,1994.0,12,1,216,2.4,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.04,0.01,0.05,0.04,0.05,Kwon Chang hoon
Gaëtan Charbonnier,FRA,MFFW,Brest,Ligue 1,31.0,1988.0,36,17,1570,17.4,6,1,5,1,1,4,0,0.34,0.06,0.4,0.29,0.34,5.7,5.0,3.1,8.0,0.33,0.18,0.51,0.29,0.46,Gaetan Charbonnier
Brendan Chardonnet,FRA,DF,Brest,Ligue 1,25.0,1994.0,33,30,2716,30.2,3,1,3,0,0,3,1,0.1,0.03,0.13,0.1,0.13,2.4,2.4,1.0,3.4,0.08,0.03,0.11,0.08,0.11,Brendan Chardonnet
Xavier Chavalerin,FRA,MF,Reims,Ligue 1,29.0,1991.0,30,29,2547,28.3,0,3,0,0,0,8,0,0.0,0.11,0.11,0.0,0.11,1.2,1.2,2.4,3.6,0.04,0.09,0.13,0.04,0.13,Xavier Chavalerin
Pape Cheikh Diop,SEN,MF,Dijon,Ligue 1,22.0,1997.0,21,13,1089,12.1,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,0.03,0.06,0.09,0.03,0.09,Pape Cheikh Diop
Chema,ESP,DFMF,Getafe,La Liga,28.0,1992.0,10,7,557,6.2,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Chema
Rayan Cherki,FRA,FWMF,Lyon,Ligue 1,16.0,2003.0,27,5,698,7.8,1,3,1,0,0,1,1,0.13,0.39,0.52,0.13,0.52,1.0,1.0,2.1,3.1,0.13,0.28,0.4,0.13,0.4,Rayan Cherki
Denis Cheryshev,RUS,MF,Valencia,La Liga,29.0,1990.0,21,13,1101,12.2,0,3,0,0,0,3,0,0.0,0.25,0.25,0.0,0.25,1.5,1.5,2.4,3.9,0.12,0.2,0.32,0.12,0.32,Denis Cheryshev
Giorgio Chiellini,ITA,DF,Juventus,Serie A,35.0,1984.0,17,16,1386,15.4,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.6,0.6,0.0,0.6,0.04,0.0,0.04,0.04,0.04,Giorgio Chiellini
Federico Chiesa,ITA,DF,Fiorentina,Serie A,22.0,1997.0,3,3,240,2.7,1,1,1,0,0,0,0,0.37,0.37,0.75,0.37,0.75,0.7,0.7,0.8,1.6,0.28,0.31,0.59,0.28,0.59,Federico Chiesa
Federico Chiesa,ITA,MFDF,Juventus,Serie A,22.0,1997.0,30,28,2210,24.6,8,8,8,0,0,3,1,0.33,0.33,0.65,0.33,0.65,6.0,6.0,6.5,12.5,0.24,0.26,0.51,0.24,0.51,Federico Chiesa
Ben Chilwell,ENG,DF,Chelsea,Premier League,23.0,1996.0,27,27,2286,25.4,3,5,3,0,0,3,0,0.12,0.2,0.31,0.12,0.31,2.4,2.4,2.8,5.3,0.1,0.11,0.21,0.1,0.21,Ben Chilwell
Vlad Chiricheș,ROU,DF,Sassuolo,Serie A,30.0,1989.0,24,22,1837,20.4,2,1,2,0,0,6,0,0.1,0.05,0.15,0.1,0.15,1.1,1.1,0.7,1.8,0.05,0.03,0.09,0.05,0.09,Vlad Chiriches
Pedro Chirivella,ESP,MF,Nantes,Ligue 1,23.0,1997.0,32,26,2280,25.3,0,2,0,0,0,4,0,0.0,0.08,0.08,0.0,0.08,0.3,0.3,1.1,1.5,0.01,0.05,0.06,0.01,0.06,Pedro Chirivella
Tahith Chong,NED,FWMF,Werder Bremen,Bundesliga,20.0,1999.0,13,4,386,4.3,0,1,0,0,0,1,0,0.0,0.23,0.23,0.0,0.23,0.3,0.3,0.5,0.8,0.06,0.12,0.18,0.06,0.18,Tahith Chong
Joris Chotard,FRA,MF,Montpellier,Ligue 1,18.0,2001.0,29,11,1165,12.9,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.4,1.1,0.06,0.03,0.09,0.06,0.09,Joris Chotard
Hamza Choudhury,ENG,MF,Leicester City,Premier League,22.0,1997.0,10,4,316,3.5,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.11,0.0,0.11,0.11,0.11,Hamza Choudhury
Mounir Chouiar,FRA,FWMF,Dijon,Ligue 1,21.0,1999.0,23,14,1288,14.3,0,2,0,0,1,5,0,0.0,0.14,0.14,0.0,0.14,2.0,1.2,2.0,3.2,0.14,0.14,0.28,0.09,0.23,Mounir Chouiar
Andreas Christensen,DEN,DF,Chelsea,Premier League,24.0,1996.0,17,15,1371,15.2,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.5,0.01,0.02,0.03,0.01,0.03,Andreas Christensen
Carney Chukwuemeka,ENG,FWMF,Aston Villa,Premier League,16.0,2004.0,2,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.29,0.0,0.29,0.29,0.29,Carney Chukwuemeka
Samuel Chukwueze,NGA,MFFW,Villarreal,La Liga,21.0,1999.0,28,13,1365,15.2,4,2,4,0,0,0,0,0.26,0.13,0.4,0.26,0.4,3.5,3.5,2.6,6.1,0.23,0.17,0.41,0.23,0.41,Samuel Chukwueze
Darko Churlinov,MKD,DFFW,Stuttgart,Bundesliga,20.0,2000.0,14,0,216,2.4,0,1,0,0,0,0,0,0.0,0.42,0.42,0.0,0.42,0.1,0.1,0.4,0.5,0.05,0.16,0.2,0.05,0.2,Darko Churlinov
Víctor Chust,ESP,DF,Real Madrid,La Liga,20.0,2000.0,2,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Victor Chust
Sébastien Cibois,FRA,GK,Brest,Ligue 1,22.0,1998.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sebastien Cibois
Cifu,ESP,DF,Elche,La Liga,29.0,1990.0,11,4,451,5.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,Cifu
Alberto Cifuentes,ESP,GK,Cádiz,La Liga,41.0,1979.0,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Alberto Cifuentes
Luca Cigarini,ITA,MF,Crotone,Serie A,34.0,1986.0,14,13,929,10.3,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.6,0.6,1.2,1.8,0.06,0.12,0.18,0.06,0.18,Luca Cigarini
Jasper Cillessen,NED,GK,Valencia,La Liga,31.0,1989.0,10,10,900,10.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jasper Cillessen
Antonio Cioffi,ITA,FW,Napoli,Serie A,17.0,2002.0,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.54,0.54,0.0,0.54,Antonio Cioffi
Tim Civeja,GER,MFDF,Augsburg,Bundesliga,18.0,2002.0,3,0,34,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Civeja
Ciaran Clark,IRL,DF,Newcastle Utd,Premier League,30.0,1989.0,22,21,1891,21.0,1,0,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.3,0.3,0.1,0.4,0.02,0.0,0.02,0.02,0.02,Ciaran Clark
Alexis Claude-Maurice,FRA,MFFW,Nice,Ligue 1,22.0,1998.0,30,21,1910,21.2,4,5,4,0,0,2,0,0.19,0.24,0.42,0.19,0.42,4.0,4.0,3.1,7.0,0.19,0.14,0.33,0.19,0.33,Alexis Claude Maurice
Jonathan Clauss,FRA,DF,Lens,Ligue 1,27.0,1992.0,33,30,2521,28.0,3,6,3,0,0,2,0,0.11,0.21,0.32,0.11,0.32,1.8,1.8,6.0,7.8,0.06,0.22,0.28,0.06,0.28,Jonathan Clauss
Carlos Clerc,ESP,DF,Levante,La Liga,28.0,1992.0,35,30,2781,30.9,0,3,0,0,0,5,0,0.0,0.1,0.1,0.0,0.1,0.4,0.4,3.3,3.7,0.01,0.11,0.12,0.01,0.12,Carlos Clerc
Nathaniel Clyne,ENG,DF,Crystal Palace,Premier League,29.0,1991.0,13,13,1145,12.7,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04,Nathaniel Clyne
Conor Coady,ENG,DF,Wolves,Premier League,27.0,1993.0,37,37,3303,36.7,1,0,1,0,0,5,0,0.03,0.0,0.03,0.03,0.03,1.3,1.3,0.1,1.4,0.03,0.0,0.04,0.03,0.04,Conor Coady
Marcus Coco,FRA,MFFW,Nantes,Ligue 1,24.0,1996.0,32,16,1474,16.4,0,2,0,0,0,5,0,0.0,0.12,0.12,0.0,0.12,0.9,0.9,1.4,2.3,0.06,0.09,0.14,0.06,0.14,Marcus Coco
Coke,ESP,DF,Levante,La Liga,33.0,1987.0,17,11,835,9.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.7,0.04,0.03,0.07,0.04,0.07,Coke
Séamus Coleman,IRL,DFMF,Everton,Premier League,31.0,1988.0,25,18,1613,17.9,0,3,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17,1.2,1.2,1.9,3.1,0.06,0.11,0.17,0.06,0.17,Seamus Coleman
Ebrima Colley,GAM,FWMF,Hellas Verona,Serie A,20.0,2000.0,23,4,734,8.2,1,0,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,1.9,1.9,0.7,2.5,0.23,0.08,0.31,0.23,0.31,Ebrima Colley
Omar Colley,GAM,DF,Sampdoria,Serie A,27.0,1992.0,29,28,2591,28.8,2,0,2,0,0,6,0,0.07,0.0,0.07,0.07,0.07,1.5,1.5,0.0,1.5,0.05,0.0,0.05,0.05,0.05,Omar Colley
Simone Colombi,ITA,GK,Parma,Serie A,29.0,1991.0,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Simone Colombi
Lorenzo Colombo,ITA,FW,Milan,Serie A,18.0,2002.0,4,1,94,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.58,0.0,0.58,0.58,0.58,Lorenzo Colombo
Racine Coly,SEN,DF,Nice,Ligue 1,24.0,1995.0,1,0,17,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racine Coly
Kingsley Coman,FRA,FWMF,Bayern Munich,Bundesliga,24.0,1996.0,29,23,1752,19.5,5,10,5,0,0,1,0,0.26,0.51,0.77,0.26,0.77,4.1,4.1,6.6,10.8,0.21,0.34,0.55,0.21,0.55,Kingsley Coman
Daniel Congré,FRA,DF,Montpellier,Ligue 1,35.0,1985.0,38,38,3292,36.6,2,0,2,0,0,4,0,0.05,0.0,0.05,0.05,0.05,1.3,1.3,0.1,1.4,0.03,0.0,0.04,0.03,0.04,Daniel Congre
Aaron Connolly,IRL,FW,Brighton,Premier League,20.0,2000.0,17,9,791,8.8,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,3.5,3.5,0.2,3.7,0.4,0.02,0.42,0.4,0.42,Aaron Connolly
Andrea Consigli,ITA,GK,Sassuolo,Serie A,33.0,1987.0,37,37,3330,37.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Consigli
Andrea Conti,ITA,DF,Milan,Serie A,26.0,1994.0,3,0,28,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.47,0.47,0.0,0.47,Andrea Conti
Andrea Conti,ITA,DF,Parma,Serie A,26.0,1994.0,11,9,809,9.0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.4,0.7,0.03,0.04,0.08,0.03,0.08,Andrea Conti
Liam Cooper,SCO,DF,Leeds United,Premier League,28.0,1991.0,25,25,2185,24.3,1,0,1,0,0,4,1,0.04,0.0,0.04,0.04,0.04,1.3,1.3,0.0,1.3,0.05,0.0,0.05,0.05,0.05,Liam Cooper
Francis Coquelin,FRA,MF,Villarreal,La Liga,29.0,1991.0,22,7,736,8.2,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.5,0.7,0.03,0.06,0.09,0.03,0.09,Francis Coquelin
Theo Corbeanu,CAN,FW,Wolves,Premier League,18.0,2002.0,1,0,9,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.9,0.9,0.0,0.9,Theo Corbeanu
Sébastien Corchia,FRA,DF,Nantes,Ligue 1,29.0,1990.0,25,23,2066,23.0,0,1,0,0,0,3,0,0.0,0.04,0.04,0.0,0.04,0.7,0.7,1.5,2.1,0.03,0.06,0.09,0.03,0.09,Sebastien Corchia
Alex Cordaz,ITA,GK,Crotone,Serie A,37.0,1983.0,36,36,3240,36.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Alex Cordaz
Iñigo Córdoba,ESP,FWMF,Athletic Club,La Liga,23.0,1997.0,3,1,95,1.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.11,0.0,0.11,0.11,0.11,Inigo Cordoba
Iñigo Córdoba,ESP,MF,Alavés,La Liga,23.0,1997.0,7,3,216,2.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.01,0.11,0.12,0.01,0.12,Inigo Cordoba
Jhon Córdoba,COL,FW,Hertha BSC,Bundesliga,27.0,1993.0,21,17,1537,17.1,7,1,7,0,0,3,0,0.41,0.06,0.47,0.41,0.47,7.4,7.4,1.8,9.3,0.44,0.11,0.54,0.44,0.54,Jhon Cordoba
Sergio Córdova,VEN,FWMF,Arminia,Bundesliga,22.0,1997.0,23,13,1090,12.1,2,1,2,0,0,0,0,0.17,0.08,0.25,0.17,0.25,3.1,3.1,1.2,4.4,0.26,0.1,0.36,0.26,0.36,Sergio Cordova
Jack Cork,ENG,MF,Burnley,Premier League,31.0,1989.0,16,15,1350,15.0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.6,0.8,0.02,0.04,0.06,0.02,0.06,Jack Cork
Andreas Cornelius,DEN,FW,Parma,Serie A,27.0,1993.0,29,21,1898,21.1,1,4,1,0,0,4,0,0.05,0.19,0.24,0.05,0.24,2.3,2.3,2.9,5.2,0.11,0.14,0.25,0.11,0.25,Andreas Cornelius
Maxwel Cornet,CIV,DFFW,Lyon,Ligue 1,23.0,1996.0,36,29,2446,27.2,2,5,2,0,0,5,0,0.07,0.18,0.26,0.07,0.26,2.5,2.5,3.4,6.0,0.09,0.13,0.22,0.09,0.22,Maxwel Cornet
Ángel Correa,ARG,FWMF,Atlético Madrid,La Liga,25.0,1995.0,38,29,2393,26.6,9,8,9,0,0,3,0,0.34,0.3,0.64,0.34,0.64,7.6,7.4,5.7,13.0,0.29,0.21,0.5,0.28,0.49,Angel Correa
Joaquín Correa,ARG,FW,Lazio,Serie A,25.0,1994.0,28,25,1933,21.5,8,3,7,1,1,3,1,0.37,0.14,0.51,0.33,0.47,8.3,7.8,2.0,9.8,0.39,0.09,0.48,0.36,0.46,Joaquin Correa
Rober Correa,ESP,DF,Eibar,La Liga,27.0,1992.0,15,13,1136,12.6,0,2,0,0,0,3,0,0.0,0.16,0.16,0.0,0.16,0.2,0.2,0.8,1.1,0.02,0.07,0.08,0.02,0.08,Rober Correa
Félix Correia,POR,MF,Juventus,Serie A,19.0,2001.0,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Felix Correia
