Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG,npxG,xA,npxG+xA,xG_per90,xA_per90,xG+xA_per90,npxG_per90,npxG+xA_per90,Name_no_spec_chars
Andrea Adorante,ITA,FW,Parma,Serie A,20.0,2000.0,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andrea Adorante
Adrián,ESP,GK,Liverpool,Premier League,33.0,1987.0,3,3,270,3.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrian
Martin Agirregabiria,ESP,DFMF,Alavés,La Liga,24.0,1996.0,26,16,1558,17.3,0,1,0,0,0,1,0,0.0,0.06,0.06,0.0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Martin Agirregabiria
Lucien Agoume,FRA,MF,Spezia,Serie A,18.0,2002.0,12,9,800,8.9,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01,Lucien Agoume
Felix Agu,GER,DF,Werder Bremen,Bundesliga,20.0,1999.0,15,8,701,7.8,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,0.6,0.6,0.4,1.0,0.07,0.05,0.13,0.07,0.13,Felix Agu
Kevin Agudelo,COL,FW,Spezia,Serie A,21.0,1998.0,29,14,1356,15.1,1,2,1,0,0,4,0,0.07,0.13,0.2,0.07,0.2,1.9,1.9,0.7,2.7,0.13,0.05,0.18,0.13,0.18,Kevin Agudelo
Nayef Aguerd,MAR,DF,Rennes,Ligue 1,24.0,1996.0,35,35,3147,35.0,3,1,3,0,0,6,0,0.09,0.03,0.11,0.09,0.11,2.9,2.9,0.9,3.8,0.08,0.03,0.11,0.08,0.11,Nayef Aguerd
Sergio Agüero,ARG,FWMF,Manchester City,Premier League,32.0,1988.0,12,7,559,6.2,4,1,3,1,2,0,0,0.64,0.16,0.81,0.48,0.64,3.4,1.8,1.3,3.1,0.54,0.21,0.75,0.3,0.51,Sergio Aguero
Ruben Aguilar,FRA,DFFW,Monaco,Ligue 1,27.0,1993.0,33,27,2225,24.7,1,3,1,0,0,6,0,0.04,0.12,0.16,0.04,0.16,1.2,1.2,4.6,5.8,0.05,0.19,0.23,0.05,0.23,Ruben Aguilar
Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,18.0,2002.0,6,3,252,2.8,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.4,0.12,0.02,0.13,0.12,0.13,Naouirou Ahamada
Matteo Ahlinvi,BEN,MF,Nîmes,Ligue 1,21.0,1999.0,20,10,899,10.0,2,0,2,0,0,0,0,0.2,0.0,0.2,0.2,0.2,1.6,1.6,0.3,1.9,0.16,0.03,0.19,0.16,0.19,Matteo Ahlinvi
Cheikh Ahmadou Dieng,SEN,FW,Marseille,Ligue 1,20.0,2000.0,5,2,129,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.11,0.0,0.11,0.11,0.11,Cheikh Ahmadou Dieng
Jean-Eudes Aholou,CIV,MF,Strasbourg,Ligue 1,26.0,1994.0,27,26,2146,23.8,2,2,2,0,0,9,0,0.08,0.08,0.17,0.08,0.17,2.3,2.0,1.2,3.1,0.1,0.05,0.15,0.08,0.13,Jean Eudes Aholou
Jean-Eudes Aholou,CIV,MF,Monaco,Ligue 1,26.0,1994.0,2,0,36,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.26,0.0,0.26,0.26,0.26,Jean Eudes Aholou
Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,24.0,1995.0,25,14,1289,14.3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1,Joseph Aidoo
Ola Aina,NGA,DF,Fulham,Premier League,23.0,1996.0,31,31,2664,29.6,2,1,2,0,0,3,0,0.07,0.03,0.1,0.07,0.1,1.0,1.0,1.4,2.3,0.03,0.05,0.08,0.03,0.08,Ola Aina
Rayan Aït Nouri,FRA,DF,Angers,Ligue 1,19.0,2001.0,3,2,187,2.1,0,1,0,0,0,0,0,0.0,0.48,0.48,0.0,0.48,0.1,0.1,0.4,0.4,0.04,0.17,0.21,0.04,0.21,Rayan Ait Nouri
Rayan Aït Nouri,FRA,DF,Wolves,Premier League,19.0,2001.0,21,16,1404,15.6,1,1,1,0,0,1,0,0.06,0.06,0.13,0.06,0.13,0.6,0.6,1.0,1.6,0.04,0.06,0.1,0.04,0.1,Rayan Ait Nouri
Semi Ajayi,NGA,DF,West Brom,Premier League,26.0,1993.0,33,31,2780,30.9,2,0,2,0,0,3,1,0.06,0.0,0.06,0.06,0.06,1.3,1.3,0.3,1.5,0.04,0.01,0.05,0.04,0.05,Semi Ajayi
Ludovic Ajorque,REU,FW,Strasbourg,Ligue 1,26.0,1994.0,35,34,2967,33.0,16,4,12,4,5,5,0,0.49,0.12,0.61,0.36,0.49,16.5,12.7,3.7,16.4,0.5,0.11,0.61,0.39,0.5,Ludovic Ajorque
Manuel Akanji,SUI,DF,Dortmund,Bundesliga,25.0,1995.0,28,26,2350,26.1,2,0,2,0,0,4,0,0.08,0.0,0.08,0.08,0.08,1.8,1.8,0.1,1.9,0.07,0.0,0.07,0.07,0.07,Manuel Akanji
Carlos Akapo,EQG,DF,Cádiz,La Liga,27.0,1993.0,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0.0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Carlos Akapo
Marley Aké,FRA,FW,Marseille,Ligue 1,19.0,2001.0,9,0,146,1.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,1.1,0.67,0.0,0.67,0.67,0.67,Marley Ake
Nathan Aké,NED,DF,Manchester City,Premier League,25.0,1995.0,10,9,797,8.9,1,0,1,0,0,4,0,0.11,0.0,0.11,0.11,0.11,0.1,0.1,0.0,0.1,0.01,0.0,0.02,0.01,0.02,Nathan Ake
