Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Tkl_vs_Drib,Att_vs_Drib,Tkl%_vs_Drib,Past_vs_Drib,Press,Press_Succ,Press_Succ_%,Press_Def_3rd,Press_Mid_3rd,Press_Att_3rd,Blocks,Shot_Blocks,SoT_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Name_no_spec_chars
David Abraham,ARG,DF,Eint Frankfurt,Bundesliga,34.0,1986.0,13.6,17.0,13,10.0,5.0,2.0,8.0,20.0,40.0,12.0,144.0,64.0,44.4,81.0,47.0,16.0,26.0,5.0,1.0,21.0,15,32.0,33.0,0.0,David Abraham
Tammy Abraham,ENG,FW,Chelsea,Premier League,22.0,1997.0,11.6,8.0,4,3.0,4.0,1.0,1.0,6.0,16.7,5.0,162.0,38.0,23.5,13.0,71.0,78.0,9.0,2.0,0.0,7.0,2,10.0,17.0,0.0,Tammy Abraham
Amir Abrashi,ALB,MF,Freiburg,Bundesliga,30.0,1990.0,0.7,2.0,1,1.0,0.0,1.0,1.0,1.0,100.0,0.0,13.0,1.0,7.7,6.0,6.0,1.0,3.0,1.0,0.0,2.0,2,4.0,0.0,0.0,Amir Abrashi
Gennaro Acampora,ITA,MFFW,Spezia,Serie A,26.0,1994.0,4.9,11.0,7,1.0,7.0,3.0,5.0,7.0,71.4,2.0,88.0,22.0,25.0,8.0,57.0,23.0,6.0,1.0,0.0,5.0,4,15.0,3.0,0.0,Gennaro Acampora
Francesco Acerbi,ITA,DF,Lazio,Serie A,32.0,1988.0,31.3,55.0,38,36.0,16.0,3.0,11.0,37.0,29.7,26.0,350.0,146.0,41.7,201.0,119.0,30.0,51.0,19.0,0.0,32.0,62,117.0,155.0,1.0,Francesco Acerbi
Ragnar Ache,GER,FWDF,Eint Frankfurt,Bundesliga,22.0,1998.0,1.1,1.0,0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,29.0,5.0,17.2,1.0,18.0,10.0,2.0,0.0,0.0,2.0,0,1.0,1.0,0.0,Ragnar Ache
Marcos Acuña,ARG,DF,Sevilla,La Liga,28.0,1991.0,25.9,72.0,47,39.0,23.0,10.0,23.0,39.0,59.0,16.0,345.0,117.0,33.9,153.0,132.0,60.0,39.0,3.0,0.0,36.0,25,97.0,34.0,0.0,Marcos Acuna
Che Adams,SCO,FW,Southampton,Premier League,24.0,1996.0,29.6,30.0,17,5.0,13.0,12.0,6.0,23.0,26.1,17.0,430.0,138.0,32.1,48.0,162.0,220.0,26.0,4.0,0.0,22.0,11,41.0,16.0,1.0,Che Adams
Tyler Adams,USA,DFMF,RB Leipzig,Bundesliga,21.0,1999.0,20.6,52.0,31,19.0,26.0,7.0,15.0,36.0,41.7,21.0,362.0,118.0,32.6,94.0,202.0,66.0,37.0,6.0,0.0,31.0,31,83.0,40.0,0.0,Tyler Adams
Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,27.0,1993.0,5.3,8.0,5,3.0,3.0,2.0,3.0,11.0,27.3,8.0,81.0,15.0,18.5,16.0,33.0,32.0,5.0,0.0,0.0,5.0,7,15.0,1.0,0.0,Sargis Adamyan
Tosin Adarabioyo,ENG,DF,Fulham,Premier League,22.0,1997.0,32.8,41.0,26,31.0,9.0,1.0,20.0,38.0,52.6,18.0,182.0,59.0,32.4,115.0,60.0,7.0,38.0,23.0,0.0,15.0,55,96.0,241.0,1.0,Tosin Adarabioyo
Bobby Adekanye,NED,FWMF,Cádiz,La Liga,21.0,1999.0,0.4,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,20.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,Bobby Adekanye
Yacine Adli,FRA,MF,Bordeaux,Ligue 1,20.0,2000.0,26.9,91.0,62,39.0,40.0,12.0,28.0,86.0,32.6,58.0,695.0,186.0,26.8,210.0,358.0,127.0,36.0,4.0,0.0,32.0,41,132.0,24.0,2.0,Yacine Adli
Andrea Adorante,ITA,FW,Parma,Serie A,20.0,2000.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,1.0,33.3,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Andrea Adorante
