Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
110,[CROTONE] ,Luca Marrone ,9.895,1681
111,[CAGLIARI] ,Radja Nainggolan ,9.893,2014
112,[ROMA] ,Roger Ibanez ,9.886,2538
113,[BOLOGNA] ,Musa Barrow ,9.885,3061
114,[BENEVENTO] ,Kamil Glik ,9.883,3419
115,[ATALANTA] ,Joakim Maehle ,9.868,1288
116,[FIORENTINA] ,Nikola Milenkovic ,9.866,3235
117,[CROTONE] ,Lisandro Magallan ,9.864,2316
118,[PARMA] ,Giuseppe Pezzella ,9.861,1920
119,[JUVENTUS] ,Danilo ,9.834,3095
120,[SPEZIA] ,Nahuel Estevez ,9.831,1867
121,[BENEVENTO] ,Riccardo Improta ,9.827,2490
122,[INTER] ,Andrea Ranocchia ,9.826,731
123,[FIORENTINA] ,Lucas Martinez Quarta ,9.818,1582
124,[CROTONE] ,Salvatore Molina ,9.817,2440
125,[HELLAS VERONA] ,Adrien Tameze ,9.81,2433
126,[GENOA] ,Andrea Masiello ,9.807,2703
127,[UDINESE] ,Rodrigo Becao ,9.799,2956
128,[UDINESE] ,Walace ,9.795,2177
129,[SAMPDORIA] ,Omar Colley ,9.794,2744
130,[HELLAS VERONA] ,Darko Lazovic ,9.778,2660
131,[NAPOLI] ,Kalidou Koulibaly ,9.767,2351
132,[SAMPDORIA] ,Jakub Jankto ,9.761,2517
133,[UDINESE] ,Kevin Bonifazi ,9.759,2609
134,[SPEZIA] ,Martin Erlic ,9.759,1941
135,[GENOA] ,Kevin Strootman ,9.755,1356
136,[PARMA] ,Andrea Conti ,9.752,892
137,[SPEZIA] ,M'Bala Nzola ,9.742,2007
138,[ROMA] ,Leonardo Spinazzola ,9.739,2249
139,[ROMA] ,Jordan Veretout ,9.734,2160
140,[NAPOLI] ,Elseid Hysaj ,9.732,1876
141,[UDINESE] ,Nahuel Molina ,9.73,1962
142,[CAGLIARI] ,Charalampos Lykogiannis ,9.695,2542
143,[TORINO] ,Lyanco ,9.688,2102
144,[FIORENTINA] ,Cristiano Biraghi ,9.687,2979
145,[JUVENTUS] ,Juan Cuadrado ,9.666,2308
146,[MILAN] ,Simon Kjaer ,9.662,2538
147,[BOLOGNA] ,Lorenzo De Silvestri ,9.657,2268
148,[CROTONE] ,Pedro Pereira ,9.642,2673
149,[ROMA] ,Rick Karsdorp ,9.628,2685
150,[LAZIO] ,Luis Alberto ,9.621,2742
151,[BOLOGNA] ,Adama Soumaoro ,9.603,1854
152,[HELLAS VERONA] ,Mert Cetin ,9.594,453
153,[HELLAS VERONA] ,Ivan Ilic ,9.593,1943
154,[GENOA] ,Miha Zajc ,9.588,1953
155,[GENOA] ,Domenico Criscito ,9.58,1831
156,[HELLAS VERONA] ,Miguel Veloso ,9.574,1404
157,[SPEZIA] ,Claudio Terzi ,9.553,1984
158,[JUVENTUS] ,Dejan Kulusevski ,9.553,2034
159,[SPEZIA] ,Emmanuel Gyasi ,9.547,3034
160,[TORINO] ,Sasa Lukic ,9.544,2260
161,[CROTONE] ,Simy ,9.531,3111
162,[SASSUOLO] ,Maxime Lopez ,9.53,1969
163,[HELLAS VERONA] ,Ronaldo Vieira ,9.526,249
164,[BENEVENTO] ,Fabio Depaoli ,9.519,1470
165,[SPEZIA] ,Ardian Ismajli ,9.515,1382
166,[GENOA] ,Edoardo Goldaniga ,9.505,1977
167,[TORINO] ,Alessandro Buongiorno ,9.505,914
168,[SASSUOLO] ,Rogerio ,9.504,2003
169,[BOLOGNA] ,Rodrigo Palacio ,9.502,2625
170,[CAGLIARI] ,Gabriele Zappa ,9.501,2529
171,[LAZIO] ,Gil Patric ,9.481,1700
172,[ROMA] ,Chris Smalling ,9.472,1180
173,[NAPOLI] ,Mario Rui ,9.463,1792
174,[PARMA] ,Andreas Cornelius ,9.461,2016
175,[ATALANTA] ,Jose' Palomino ,9.457,2587
176,[ROMA] ,Gonzalo Villar ,9.442,1965
177,[PARMA] ,Hernani ,9.44,2300
178,[UDINESE] ,Samir ,9.439,2360
179,[PARMA] ,Simone Iacoponi ,9.437,1277
180,[BENEVENTO] ,Luca Caldirola ,9.432,1691
181,[BENEVENTO] ,Nicolas Viola ,9.43,1105
182,[HELLAS VERONA] ,Federico Dimarco ,9.422,2771
183,[SPEZIA] ,Juan Ramos ,9.417,333
184,[FIORENTINA] ,Martin Caceres ,9.408,2376
185,[SASSUOLO] ,Domenico Berardi ,9.402,2620
186,[LAZIO] ,Joaquin Correa ,9.388,2036
187,[PARMA] ,Riccardo Gagliolo ,9.384,2083
188,[SAMPDORIA] ,Adrien Silva ,9.381,1673
189,[TORINO] ,Cristian Ansaldi ,9.378,2099
190,[SPEZIA] ,Salva Ferrer ,9.375,1271
191,[CAGLIARI] ,Luca Ceppitelli ,9.368,1551
192,[TORINO] ,Karol Linetty ,9.361,1950
193,[PARMA] ,Gaston Brugman ,9.353,1701
194,[ROMA] ,Federico Fazio ,9.353,430
195,[HELLAS VERONA] ,Federico Ceccherini ,9.348,2124
196,[CROTONE] ,Giuseppe Cuomo ,9.342,842
197,[GENOA] ,Ivan Radovanovic ,9.335,2359
198,[SASSUOLO] ,Vlad Chiriches ,9.324,1940
199,[SAMPDORIA] ,Lorenzo Tonelli ,9.316,1882
200,[SPEZIA] ,Riccardo Marchizza ,9.313,1661
201,[SASSUOLO] ,Marlon ,9.311,1857
202,[SAMPDORIA] ,Maya Yoshida ,9.292,2412
203,[TORINO] ,Nicolas Nkoulou ,9.286,1472
204,[JUVENTUS] ,Alvaro Morata ,9.266,2140
205,[NAPOLI] ,Kostas Manolas ,9.261,2451
206,[FIORENTINA] ,Gaetano Castrovilli ,9.26,2449
207,[INTER] ,Romelu Lukaku ,9.255,3055
208,[GENOA] ,Cristian Zapata ,9.242,1028
209,[SPEZIA] ,Giulio Maggiore ,9.226,2335
210,[GENOA] ,Lennart Czyborra ,9.221,1235
211,[JUVENTUS] ,Gianluca Frabotta ,9.219,743
212,[TORINO] ,Wilfried Stephane Singo ,9.205,2008
213,[SPEZIA] ,Julian Chabot ,9.187,1776
214,[CROTONE] ,Adam Ounas ,9.167,1582
215,[FIORENTINA] ,Maximiliano Olivera ,9.166,95
216,[JUVENTUS] ,Federico Chiesa ,9.164,2565
217,[HELLAS VERONA] ,Pawel Dawidowicz ,9.159,1970
218,[JUVENTUS] ,Cristiano Ronaldo ,9.149,2973
219,[JUVENTUS] ,Leonardo Bonucci ,9.14,2142
220,[SASSUOLO] ,Filip Djuricic ,9.137,2190
221,[LAZIO] ,Wesley Hoedt ,9.12,1034
222,[ATALANTA] ,Cristian Romero ,9.109,2682
223,[SASSUOLO] ,Georgios Kyriakopoulos ,9.109,1559
224,[FIORENTINA] ,Giacomo Bonaventura ,9.1,2364
225,[FIORENTINA] ,Franck Ribery ,9.093,2230
226,[CAGLIARI] ,Ragnar Klavan ,9.085,833
227,[GENOA] ,Davide Biraschi ,9.071,960
228,[BOLOGNA] ,Aaron Hickey ,9.067,804
229,[JUVENTUS] ,Arthur ,9.044,1228
230,[ROMA] ,Marash Kumbulla ,9.03,1446
231,[TORINO] ,Andrea Belotti ,9.029,3073
232,[INTER] ,Matias Vecino ,9.029,303
233,[INTER] ,Danilo D'Ambrosio ,9.023,767
234,[MILAN] ,Diogo Dalot ,9.022,1169
235,[SPEZIA] ,Simone Bastoni ,8.998,1599
236,[NAPOLI] ,Victor Osimhen ,8.986,1664
237,[ROMA] ,Edin Dzeko ,8.982,1930
238,[JUVENTUS] ,Weston Mckennie ,8.981,1814
239,[BENEVENTO] ,Gaetano Letizia ,8.953,1684
240,[INTER] ,Lautaro Martinez ,8.952,2686
241,[TORINO] ,Ricardo Rodriguez ,8.947,1312
242,[MILAN] ,Alexis Saelemaekers ,8.941,2108
243,[PARMA] ,Daan Dierckx ,8.92,502
244,[INTER] ,Christian Eriksen ,8.92,1449
245,[HELLAS VERONA] ,Kevin Lasagna ,8.901,2532
246,[BOLOGNA] ,Mitchell Dijks ,8.901,1544
247,[HELLAS VERONA] ,Koray Gunter ,8.899,1876
248,[UDINESE] ,Marvin Zeegelaar ,8.883,1824
249,[TORINO] ,Mergim Vojvoda ,8.882,1449
250,[HELLAS VERONA] ,Mattia Zaccagni ,8.867,2734
251,[SASSUOLO] ,Jeremie Boga ,8.851,1878
252,[JUVENTUS] ,Paulo Dybala ,8.848,1194
253,[TORINO] ,Antonio Sanabria ,8.841,1028
254,[PARMA] ,Simon Sohm ,8.822,958
255,[SPEZIA] ,Tommaso Pobega ,8.81,1293
256,[PARMA] ,Maxime Busi ,8.806,1286
257,[ROMA] ,Stephan El Shaarawy ,8.796,610
258,[PARMA] ,Alberto Grassi ,8.773,1254
259,,Paolo Bartolomei ,8.771,350
260,[LAZIO] ,Lucas Leiva ,8.765,2211
261,[CAGLIARI] ,Alfred Duncan ,8.763,1329
262,[MILAN] ,Sandro Tonali ,8.755,1421
263,[INTER] ,Ivan Perisic ,8.754,1891
264,[PARMA] ,Vincent Laurini ,8.748,931
265,[PARMA] ,Botond Balogh ,8.744,175
266,[MILAN] ,Ismael Bennacer ,8.743,1395
267,[FIORENTINA] ,Lorenzo Venuti ,8.721,1861
268,[LAZIO] ,Luiz Felipe ,8.719,970
269,[BENEVENTO] ,Gianluca Lapadula ,8.696,2699
270,[CAGLIARI] ,Leonardo Pavoletti ,8.691,1711
271,[HELLAS VERONA] ,Stefano Sturaro ,8.687,924
272,[MILAN] ,Ante Rebic ,8.672,1889
273,[ROMA] ,Pedro ,8.67,1679
274,[UDINESE] ,Sebastian De Maio ,8.644,926
275,,Christian Oliva ,8.626,424
276,[INTER] ,Roberto Gagliardini ,8.612,1314
277,[SAMPDORIA] ,Fabio Quagliarella ,8.612,2305
278,[CROTONE] ,Eduardo Henrique ,8.609,975
279,[FIORENTINA] ,Igor ,8.608,1247
280,[BENEVENTO] ,Alessandro Tuia ,8.607,1874
281,[MILAN] ,Rafael Leao ,8.604,2026
282,[CROTONE] ,Milos Vulic ,8.601,1389
283,[UDINESE] ,Stefano Okaka ,8.597,1585
284,[SASSUOLO] ,Francesco Caputo ,8.57,1822
285,[JUVENTUS] ,Aaron Ramsey ,8.567,1157
286,[PARMA] ,Gervinho ,8.563,2126
287,[MILAN] ,Pierre Kalulu ,8.547,780
288,,Alejandro Berenguer ,8.534,137
289,[SASSUOLO] ,Federico Peluso ,8.446,241
290,[SASSUOLO] ,Pedro Obiang ,8.423,1592
291,[ROMA] ,Borja Mayoral ,8.42,1644
292,[PARMA] ,Dennis Man ,8.415,756
293,[UDINESE] ,Tolgay Arslan ,8.411,1904
294,[SASSUOLO] ,Jeremy Toljan ,8.405,1589
