Serie_A_rank,Team,Player,KM_RUN_avg,Total_minutes
485,[UDINESE] ,Fernando Forestieri ,4.801,613
486,[SASSUOLO] ,Andrea Consigli ,4.799,3553
487,[UDINESE] ,Simone Scuffet ,4.764,96
488,[GENOA] ,Manolo Portanova ,4.712,148
489,[ROMA] ,Juan Jesus ,4.701,170
490,[PARMA] ,Vasilios Zagaritis ,4.688,68
491,[BENEVENTO] ,Christian Pastina ,4.668,128
492,[CROTONE] ,Denis Dragus ,4.664,203
493,[SPEZIA] ,Rafael ,4.663,224
494,[HELLAS VERONA] ,Destiny Udogie ,4.647,189
495,,Fabrizio Caligara ,4.639,213
496,[BOLOGNA] ,Lukasz Skorupski ,4.624,2673
497,[ATALANTA] ,Pierluigi Gollini ,4.611,2273
498,[GENOA] ,Giuseppe Caso ,4.595,60
499,[LAZIO] ,Andreas Pereira ,4.556,627
500,[JUVENTUS] ,Wojciech Szczesny ,4.553,2853
501,[SAMPDORIA] ,Karlo Letica ,4.552,91
502,[PARMA] ,Luigi Sepe ,4.551,3445
503,[TORINO] ,Salvatore Sirigu ,4.532,3096
504,[NAPOLI] ,David Ospina ,4.532,1529
505,[INTER] ,Andrea Pinamonti ,4.523,184
506,,Nicolas ,4.494,193
507,,Giacomo Ricci ,4.481,75
508,[UDINESE] ,Mato Jajalo ,4.47,37
509,[ROMA] ,Riccardo Calafiori ,4.464,71
510,[TORINO] ,Vanja Milinkovic-Savic ,4.439,481
511,[BENEVENTO] ,Giuseppe Di Serio ,4.407,350
512,,Lorenzo Colombo ,4.343,111
513,[INTER] ,Samir Handanovic ,4.289,3436
514,[PARMA] ,Simone Colombi ,4.287,191
515,[SASSUOLO] ,Lukas Haraslin ,4.267,374
516,[LAZIO] ,Djavan Anderson ,4.256,78
517,[SPEZIA] ,Federico Mattiello ,4.179,40
518,[ROMA] ,Antonio Mirante ,4.1,1212
519,,Augustus Kargbo ,4.089,35
520,[GENOA] ,Federico Marchetti ,4.029,350
521,[FIORENTINA] ,Aleksandr Kokorin ,3.946,107
522,[CAGLIARI] ,Gaston Pereiro ,3.94,330
523,[MILAN] ,Mario Mandzukic ,3.823,235
524,,Denis Vavro ,3.797,34
525,[CAGLIARI] ,Alberto Cerri ,3.766,452
526,[BOLOGNA] ,Omar Khailoti ,3.58,31
527,[CROTONE] ,Luis Rojas ,3.552,128
528,[PARMA] ,Joshua Zirkzee ,3.551,127
529,,Bastos ,3.495,68
530,[ATALANTA] ,Sam Lammers ,3.416,333
531,[INTER] ,Ionut Radu ,3.411,140
532,,Patrick Cutrone ,3.34,240
533,,Giuseppe Mastinu ,3.285,44
534,,Douglas Costa ,3.283,45
535,[ATALANTA] ,Mattia Caldara ,3.273,116
536,[JUVENTUS] ,Nicolo' Fagioli ,3.102,23
537,[CAGLIARI] ,Matteo Tramoni ,2.895,88
538,[PARMA] ,Mattia Sprocati ,2.887,25
539,[SAMPDORIA] ,Kristoffer Askildsen ,2.818,114
540,,Mattia De Sciglio ,2.801,25
541,[GENOA] ,Steeve Eyango ,2.669,59
542,,Luca Siligardi ,2.641,107
543,,Leo Duarte ,2.367,23
544,[ROMA] ,Javier Pastore ,2.348,92
545,[PARMA] ,Drissa Camara ,2.247,18
546,[NAPOLI] ,Stanislav Lobotka ,2.212,200
547,,Vittorio Parigini ,2.193,76
548,[INTER] ,Daniele Padelli ,2.193,45
549,,Amad Diallo ,2.144,16
550,,Ryder Matos ,2.096,17
551,[HELLAS VERONA] ,Philip Yeboah Ankrah ,2.042,16
552,[SASSUOLO] ,Nicolas Schiappacasse ,1.963,17
553,,Tomislav Gomelt ,1.944,25
554,[BOLOGNA] ,Musa Juwara ,1.93,61
555,[UDINESE] ,Petar Micin ,1.881,16
556,[CAGLIARI] ,Arturo Calabresi ,1.872,49
557,[BOLOGNA] ,Edoardo Vergani ,1.868,15
558,,Andrea Adorante ,1.818,13
559,,Lorenzo Del Pinto ,1.785,13
560,[SASSUOLO] ,Brian Oddei ,1.778,51
561,[BOLOGNA] ,Mattia Pagliuca ,1.754,14
562,[LAZIO] ,Raul Moro ,1.748,13
563,,Vincenzo Millico ,1.728,31
564,,Kiril Despodov ,1.676,15
565,,Giovanni Crociata ,1.645,31
566,[BOLOGNA] ,Federico Santander ,1.644,51
567,[BENEVENTO] ,Siriky Sanogo ,1.596,15
568,[BOLOGNA] ,Simone Rabbi ,1.564,49
569,[NAPOLI] ,Antonio Cioffi ,1.551,11
570,[HELLAS VERONA] ,Alessandro Berardi ,1.538,31
571,,Justin Kluivert ,1.519,26
572,[MILAN] ,Daniel Maldini ,1.451,48
573,[ROMA] ,Nicola Zalewski ,1.392,11
574,[ROMA] ,Edoardo Bove ,1.386,11
575,[PARMA] ,Chaka Traore ,1.362,28
576,[JUVENTUS] ,Felix Correia ,1.317,12
577,[JUVENTUS] ,Carlo Pinsoglio ,1.312,23
578,,Antonio Palumbo ,1.086,11
579,[LAZIO] ,Marco Bertini ,1.083,7
580,[LAZIO] ,Nicolo' Armini ,0.987,7
581,,Federico Ricci ,0.984,7
582,[JUVENTUS] ,Alessandro Di Pardo ,0.971,24
583,[ATALANTA] ,Viktor Kovalenko ,0.859,6
584,[BENEVENTO] ,Amadou Diambo ,0.781,7
585,,Davide Angelo Ghislandi ,0.778,5
586,[JUVENTUS] ,Giacomo Vrioni ,0.764,6
587,[BOLOGNA] ,Kacper Urbanski ,0.707,5
588,,Emmanuel Gyabuaa ,0.694,4
589,[FIORENTINA] ,Cristobal Montiel ,0.656,9
590,[BOLOGNA] ,Wisdom Amey ,0.652,5
591,[SASSUOLO] ,Isaac Issiaka Karamoko ,0.651,4
592,[BOLOGNA] ,Antonio Raimondo ,0.528,3
593,[JUVENTUS] ,Radu Dragusin ,0.349,3
594,[UDINESE] ,Manuel Gasparini ,0.134,2
